Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação,
Prefeito,MG,ALTEROSA,PT,13,DIMAS DOS REIS RIBEIRO,"2,583",Não eleito,37.283,(sem coligação),
Prefeito,MG,ALTEROSA,PMDB,15,ODILON CABRAL,"1,025",Não eleito,14.795,(sem coligação),
Prefeito,MG,ALTEROSA,PFL,25,TIMOTHEO DE SOUZA NETTO,"3,320",Eleito,47.921,(sem coligação),
Prefeito,MG,ABAETE,PL,22,ANTONIO CARLOS LATALIZA FRANCA,"1,718",Não eleito,14.195,(sem coligação),
Prefeito,MG,ABAETE,PTB,14,EDWARD ALVARES DE CAMPOS ABREU,"4,786",Não eleito,39.544,(sem coligação),
Prefeito,MG,ABAETE,PFL,25,GILBERTO ALVES SOARES,"5,599",Eleito,46.261,(sem coligação),
Prefeito,MG,ALTO CAPARAO,PMDB,15,DELFINO JOSE EMERICH,"1,298",Eleito,61.169,(sem coligação),
Prefeito,MG,ALTO CAPARAO,PFL,25,JACY TAVARES DA SILVA,759,Não eleito,35.768,(sem coligação),
Prefeito,MG,ALTO CAPARAO,PT,13,JOAO ALVES DOS SANTOS,65,Não eleito,3.063,(sem coligação),
Prefeito,MG,ALAGOA,PFL,25,ELI CHAVES,"1,004",Eleito,52.898,(sem coligação),
Prefeito,MG,ALAGOA,PSDB,45,JOAO BENEDITO MENDES,894,Não eleito,47.102,(sem coligação),
Prefeito,MG,ABRE CAMPO,PPB,11,JOSE RAIMUNDO DA SILVA,"4,038",Eleito,54.649,(sem coligação),
Prefeito,MG,ABRE CAMPO,PMDB,15,LORIVALDO RODRIGUES MARQUES,"3,351",Não eleito,45.351,(sem coligação),
Prefeito,MG,AGUA BOA,PSL,17,FAUSMIR LAFAIETE BARBOSA,"1,744",Não eleito,25.378,(sem coligação),
Prefeito,MG,AGUA BOA,PMDB,15,JOAO FERNANDES DOS SANTOS,"5,128",Eleito,74.622,(sem coligação),
Prefeito,MG,AGUAS VERMELHAS,PL,22,GILBERTO DA SILVA CARDOSO,"2,607",Não eleito,46.637,(sem coligação),
Prefeito,MG,AGUAS VERMELHAS,PDT,12,HUMBERTO ALVES GOBIRA,147,Não eleito,2.63,(sem coligação),
Prefeito,MG,AGUAS VERMELHAS,PT,13,VALDECY JOSE DE SOUZA,"2,836",Eleito,50.733,(sem coligação),
Prefeito,MG,ALBERTINA,PMDB,15,BENEDITO EDIVINO LUIZ,"1,474",Eleito,100,(sem coligação),
Prefeito,MG,ALPINOPOLIS,PFL,25,ELOI FARIA NETO,"3,512",Não eleito,38.046,(sem coligação),
Prefeito,MG,ALPINOPOLIS,PL,22,JOAQUIM ITAMAR DA SILVEIRA,"5,719",Eleito,61.954,(sem coligação),
Prefeito,MG,ALEM PARAIBA,PTB,14,LUIZ BREVES RODRIGUES,"1,668",Não eleito,8.713,(sem coligação),
Prefeito,MG,ALEM PARAIBA,PSB,40,MIGUEL BELMIRO DE SOUZA,"9,340",Eleito,48.788,(sem coligação),
Prefeito,MG,ALEM PARAIBA,PPB,11,SERGIO ANTONIO RIBEIRO FERREIRA,"8,136",Não eleito,42.499,(sem coligação),
Prefeito,MG,AGUA COMPRIDA,PFL,25,ELBAS FERREIRA DE ALMEIDA,"1,272",Eleito,69.243,(sem coligação),
Prefeito,MG,AGUA COMPRIDA,PL,22,RODOLFO ALMEIDA PRATA,565,Não eleito,30.757,(sem coligação),
Prefeito,MG,AIMORES,PFL,25,ADAUTO RANGEL MOTA,"3,686",Não eleito,26.903,(sem coligação),
Prefeito,MG,AIMORES,PT,13,GETULIO LEITE,558,Não eleito,4.073,(sem coligação),
Prefeito,MG,AIMORES,PMDB,15,JURANDIR DA ROCHA,"9,457",Eleito,69.024,(sem coligação),
Prefeito,MG,ABADIA DOS DOURADOS,PMDB,15,JESUS DA SILVA RAMOS,874,Não eleito,20.555,(sem coligação),
Prefeito,MG,ABADIA DOS DOURADOS,PFL,25,JOSE LEMES DOS SANTOS,"3,378",Eleito,79.445,(sem coligação),
Prefeito,MG,ACAIACA,PFL,25,JOSE CALIXTO MILAGRES,"1,569",Eleito,70.58,(sem coligação),
Prefeito,MG,ACAIACA,PDT,12,NILSON SILVA,654,Não eleito,29.42,(sem coligação),
Prefeito,MG,AGUANIL,PPB,11,SILVIO MOREIRA,173,Não eleito,8.616,(sem coligação),
Prefeito,MG,AGUANIL,PTB,14,VICENTE ALVES OLIVEIRA,905,Não eleito,45.07,(sem coligação),
Prefeito,MG,AGUANIL,PFL,25,WANTUIL DE SOUZA,930,Eleito,46.315,(sem coligação),
Prefeito,MG,ALFENAS,PTB,14,GERALDO PAULINO DA COSTA,"4,248",Não eleito,14.491,(sem coligação),
Prefeito,MG,ALFENAS,PMDB,15,HESSE LUIZ PEREIRA,"14,142",Eleito,48.242,(sem coligação),
Prefeito,MG,ALFENAS,PAN,26,JOSE WURTEMBERG MANSO,"8,310",Não eleito,28.347,(sem coligação),
Prefeito,MG,ALFENAS,PT,13,JOSELITO DE SOUZA,"2,615",Não eleito,8.92,(sem coligação),
Prefeito,MG,ALFREDO VASCONCELOS,PSL,17,AMERICO MONTEIRO DE OLIVEIRA,273,Não eleito,9.492,(sem coligação),
Prefeito,MG,ALFREDO VASCONCELOS,PSD,41,MARCIO FERREIRA ARMOND DE SOUZA,240,Não eleito,8.345,(sem coligação),
Prefeito,MG,ALFREDO VASCONCELOS,PPB,11,OLACIR ELY DA SILVA,"1,260",Eleito,43.811,(sem coligação),
Prefeito,MG,ALFREDO VASCONCELOS,PRP,44,PLINIO BIANCHETTI,"1,103",Não eleito,38.352,(sem coligação),
Prefeito,MG,ALPERCATA,PT,13,ADILSON CUSTODIO PEREIRA,116,Não eleito,2.724,(sem coligação),
Prefeito,MG,AREADO,PMDB,15,WELLINGTON AMARAL,"2,858",Não eleito,41.802,(sem coligação),
Prefeito,MG,ALPERCATA,PSDB,45,ARNOBIO VIEIRA DE ANDRADE,"1,756",Não eleito,41.24,(sem coligação),
Prefeito,MG,ALPERCATA,PMDB,15,EDSON AMANCIO DE SA,"2,386",Eleito,56.036,(sem coligação),
Prefeito,MG,BARAO DE COCAIS,PRP,44,ANTONIO NONATO DE MOURA,97,Não eleito,0.81,(sem coligação),
Prefeito,MG,BARAO DE COCAIS,PFL,25,COSME DAMIAO DE CASTRO,501,Não eleito,4.182,(sem coligação),
Prefeito,MG,BARAO DE COCAIS,PDT,12,JAIR PEREIRA COSTA,"5,619",Eleito,46.907,(sem coligação),
