,Feature,Coeff
0,forest_formation,0.4704098708445233
1,forest_lag,0.4690499984428615
2,soy_price,0.007680374565178341
3,silver,0.0036955213213625215
4,gold,0.0032365171713103365
5,year,0.002210990134197438
6,copper,0.0013854311433872477
7,ag_jobs,0.0011723386540006962
8,n_companies_AGRICULTURE,0.0011290952591689267
9,n_companies_SERVICES FOR COMPANIES,0.0010531372503895643
10,mun_election_year,0.0010481220171745696
11,n_jobs_PUBLIC ADMIN,0.0010242560688013046
12,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0009841416190476636
13,n_companies_METALLIC PRODUCTS,0.0008768449110232654
14,n_companies_AERO TRANSPORT,0.0007437729921454646
15,n_jobs_WHOLESALE,0.0006160108244230085
16,n_jobs_WOOD PROD,0.0006129290810955656
17,n_companies_PUBLIC ADMIN,0.000564153663080612
18,n_companies_WOOD PROD,0.0005507077638318207
19,assassination,0.0005464410510343335
20,n_jobs_AGRICULTURE,0.0005457441410735167
21,n_jobs_RUBBER AND PLASTIC,0.0005285856985197972
22,n_companies_FISHING AND AQUACULTURE,0.0005167935901038694
23,near_hidrovia,0.0005158968345662325
24,mining_jobs,0.0005034719395510908
25,n_companies_RECYCLING,0.0004893604894964177
26,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0004865971836792788
27,populacao,0.00048195836642438215
28,n_companies_HEALTH,0.0004515407801437693
29,ironore,0.0004332746416789227
30,construction_jobs,0.00042760870065211673
31,n_companies_RETAIL,0.0003997489995100952
32,n_companies_MACHINERY,0.0003824127851547002
33,beef_price,0.0003499456897350478
34,n_jobs_RETAIL,0.0003496682546343526
35,incumbant,0.0003262967265586873
36,n_jobs_TEXTILES,0.00031124605068959927
37,n_companies_REAL ESTATE,0.00030812212866673355
38,aspect,0.00030657445703439535
39,public_jobs,0.00029532781993559453
40,n_companies_FINANCES,0.00029462180652466006
41,n_jobs_MINING,0.0002897300854685755
42,n_companies_TOTAL INDUSTRIAL,0.00028037003436123754
43,n_jobs_FOOD AND DRINKS,0.00026742020532501864
44,indigenous_homol,0.00026439174801766815
45,n_jobs_RESEARCH AND DEVELOPMENT,0.00025659153212055955
46,slope,0.0002508487029192775
47,n_jobs_CLOTHING,0.00023239378280830153
48,n_companies_TRANSPORTATION,0.0002280695635722794
49,n_jobs_AERO TRANSPORT,0.0002273063915408793
50,n_jobs_FINANCES,0.0002270947487397595
51,overall_winner_partido_PT,0.00022545361836494182
52,fed_election_year,0.0002141859445767254
53,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.00020972687495039597
54,near_roads,0.0002064996473974911
55,n_jobs_BASIC METALLURGY,0.0002056582076902274
56,n_companies_TOTAL SERVICE,0.00020331576178424427
57,n_companies_DOMESTIC SERVICES,0.00020294862407980465
58,overall_winner_professional_job,0.0002012880141960872
59,n_jobs_HEALTH,0.00020021858641477554
60,n_companies_WHOLESALE,0.0001995397435279373
61,n_jobs_PAPER,0.0001983937690813968
62,overall_winner_partido_other,0.0001977382887638874
63,n_jobs_TRANSPORTATION,0.00019538023977533993
64,n_companies_TRADE REP VEHICLES,0.00019506657820663633
65,pib_pc,0.00019401143645148656
66,n_jobs_ELECTRICITY AND GAS,0.00019297048534136247
67,n_jobs_REAL ESTATE,0.00019266441555356007
68,murder_threats,0.00019127451092870533
69,runnerup_partido_PSDB,0.00018992593978106354
70,n_companies_CULTURE AND SPORT,0.00018950177833045617
71,elevation,0.00018834940404926722
72,n_jobs_TOTAL,0.0001865607699194603
73,illegal_industry,0.00018546766248138554
74,overall_winner_health_job,0.0001852292920035608
75,n_companies_TOTAL,0.00018288036468778134
76,expen_prom_ani_pro,0.00018195131996402765
77,n_companies_CONSTRUCTION,0.00018177350726324943
78,n_jobs_GROUND TRANSPORT,0.00018104059365692133
79,overall_winner_agriculture_job,0.00017999697823250268
80,runnerup_partido_PMDB_MDB,0.0001798292451717652
81,f_emitted_count,0.00017971351812819897
82,illegal_mining,0.0001791261815652119
83,assassination_attempt,0.0001788509987886353
84,savanna,0.00017826548451424116
85,other_crop,0.0001774570762722754
86,n_companies_CLEANING AND SEWAGE,0.000176984936802191
87,overall_winner_feminino,0.00017657499906747386
88,n_companies_CLOTHING,0.0001765006078350247
89,expen_env_man,0.00017635422384858814
90,n_jobs_FISHING AND AQUACULTURE,0.0001754153589754043
91,n_companies_AUTOMOBILES AND TRANSPORT,0.0001748870525209715
