,Feature,Coeff
203,forest_lag,0.5984005419128298
187,forest_formation,0.2230234832672888
191,pasture,0.16787066167199077
199,other_crop,0.008951726266208878
50,n_companies_WOOD PROD,0.00012977577477449204
190,silvicultura,9.969938608604712e-05
77,n_companies_AERO TRANSPORT,7.173735366329958e-05
55,n_companies_TRANSPORTATION,6.946990200447129e-05
168,overall_winner_corporate_job,6.61405312824394e-05
51,n_companies_NON-METALLIC MINERAL PRODUCTS,5.25976811255248e-05
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,4.184972230318546e-05
92,n_jobs_MAIL AND TELECOM,3.8649482774110364e-05
45,n_companies_FINANCES,3.855192003525149e-05
17,pib_pc,3.7268280561107024e-05
113,n_jobs_METALLIC PRODUCTS,3.645284574065771e-05
7,near_hidrovia,3.5184800402848e-05
72,n_companies_RECYCLING,3.3296526609676724e-05
44,n_companies_ELECTRICITY AND GAS,3.295256661936469e-05
27,construction_jobs,3.2219116311547834e-05
41,n_companies_CULTURE AND SPORT,3.160058834635772e-05
93,n_jobs_CULTURE AND SPORT,3.147299500685518e-05
99,n_jobs_MACHINERY,3.1218003599401564e-05
179,runnerup_partido_PT,3.0363643578236863e-05
31,n_companies_FOOD AND DRINKS,2.9565593790900515e-05
111,n_jobs_COMPUTING,2.8140713300612886e-05
34,n_companies_WHOLESALE,2.761607252978482e-05
28,PIB,2.6027871823314913e-05
24,ag_jobs,2.530093484601422e-05
86,n_jobs_WHOLESALE,2.492965361992299e-05
110,n_jobs_RETAIL,2.476811333753687e-05
25,mining_jobs,2.2046517424934088e-05
184,runnerup_partido_other,2.0650814300928486e-05
32,n_companies_ACCOMODATION AND FOOD,1.9954436937541696e-05
60,n_companies_INSURANCE AND SOCIAL SECURITY,1.9884248560023744e-05
90,n_jobs_TRADE REP VEHICLES,1.9756752887385413e-05
30,n_companies_AGRICULTURE,1.9257525153065296e-05
5,near_mines,1.9031992583095443e-05
106,n_jobs_PERSONAL SERVICES,1.9016485626143345e-05
64,n_companies_CLOTHING,1.873068314255742e-05
59,n_companies_COMPUTING,1.7912504076428057e-05
36,n_companies_AUTOMOBILES AND TRANSPORT,1.7422535607987426e-05
26,public_jobs,1.7342840113405632e-05
159,emiss_agropec_full,1.694134771874104e-05
174,overall_winner_partido_PMDB_MDB,1.6574247818878117e-05
