,Feature,Coeff
203,forest_lag,2.5237751746039563
187,forest_formation,-2.0707890333734187
76,n_companies_RESEARCH AND DEVELOPMENT,1.0948139527836016
72,n_companies_RECYCLING,-0.8078663722251864
114,n_jobs_DOMESTIC SERVICES,-0.3676504931272529
73,n_companies_LEATHERS AND FOOTWEAR,0.356021047907273
79,n_companies_PETROLEUM REFINING,-0.27124218052379795
98,n_jobs_CLEANING AND SEWAGE,-0.26557769310428014
94,n_jobs_EDITING AND PRINTING,0.25986442629664747
67,n_companies_OIL AND GAS,0.23738423741282108
111,n_jobs_COMPUTING,0.23090781481079475
57,n_companies_WATER TREATMENT AND DISTRIBUTION,-0.1959744344361834
116,n_jobs_CLOTHING,-0.19443750131862092
127,n_jobs_TEXTILES,0.1769906375656416
126,n_jobs_RUBBER AND PLASTIC,0.1726639874413426
74,n_companies_RUBBER AND PLASTIC,0.14459645418823083
113,n_jobs_METALLIC PRODUCTS,0.1280753359390602
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.12545885001152293
47,n_companies_MACHINERY,-0.11428781430648279
42,n_companies_EDITING AND PRINTING,-0.09468090658086717
48,n_companies_BASIC METALLURGY,-0.0937163710708723
62,n_companies_DOMESTIC SERVICES,0.08408750289155734
52,n_companies_HEALTH,0.08339159210549547
129,n_jobs_AERO TRANSPORT,-0.08337347640927577
118,n_jobs_INTERNATIONAL BODIES,-0.08278790327692005
55,n_companies_TRANSPORTATION,0.06053003809231751
33,n_companies_EQUIPMENT RENTAL,-0.05905787389393464
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.05788238758161604
117,n_jobs_PAPER,0.05416975668219298
71,n_companies_REAL ESTATE,-0.04945320209023137
125,n_jobs_LEATHERS AND FOOTWEAR,-0.049208329523400145
121,n_jobs_CHEMICALS,-0.04323979771405971
108,n_jobs_GROUND TRANSPORT,-0.042021744873891126
77,n_companies_AERO TRANSPORT,-0.03471034952163461
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.03439195590426548
93,n_jobs_CULTURE AND SPORT,-0.0342881114954856
59,n_companies_COMPUTING,-0.032403880376503234
84,n_jobs_ACCOMODATION AND FOOD,0.032283954390287375
45,n_companies_FINANCES,-0.030207689691730464
120,n_jobs_FISHING AND AQUACULTURE,0.02932397950638306
191,pasture,0.029304298373009085
64,n_companies_CLOTHING,0.02904107840193196
68,n_companies_FISHING AND AQUACULTURE,0.027541043564388957
61,n_companies_METALLIC PRODUCTS,0.026178315784244375
46,n_companies_CLEANING AND SEWAGE,0.02174287264932174
31,n_companies_FOOD AND DRINKS,-0.0174962521223703
102,n_jobs_WOOD PROD,-0.01729516016891981
