,Feature,Coeff
203,forest_lag,-1888.5055890389297
187,forest_formation,1887.3299428890314
16,populacao,5.147684295879809
134,n_jobs_TOTAL SERVICE,-3.4654592506205666
133,n_jobs_TOTAL INDUSTRIAL,-2.9249881448085837
136,n_companies_TOTAL SERVICE,-2.5896353839181954
135,n_companies_TOTAL INDUSTRIAL,2.4659463679555094
159,emiss_agropec_full,-1.916233620048782
1,rain1,1.1418368469250633
138,n_jobs_TOTAL,0.8302864777317899
191,pasture,-0.7614316814255228
179,runnerup_partido_PT,0.6506959100315028
52,n_companies_HEALTH,-0.581089988098777
157,emiss_pec_full,0.5777789327503174
137,n_companies_TOTAL,0.563087493631951
158,emiss_agr_full,-0.5467435850583744
184,runnerup_partido_other,0.5313700089522331
0,year,0.49979534044776985
140,assassination,-0.49225868043786164
127,n_jobs_TEXTILES,-0.47797999478495584
2,elevation,-0.453583612284541
196,water,-0.4372774196170674
173,overall_winner_partido_PT,0.42534724446945393
114,n_jobs_DOMESTIC SERVICES,0.42307496036326353
11,lula,0.42256570762296236
17,pib_pc,0.41523834469539284
28,PIB,0.4058697444081252
182,runnerup_partido_DEM,0.3844831510833945
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.3777102570861026
180,runnerup_partido_PMDB_MDB,0.34858690655108243
86,n_jobs_WHOLESALE,-0.34635092442702825
123,n_jobs_REAL ESTATE,0.33355445544262136
98,n_jobs_CLEANING AND SEWAGE,0.3271535808705784
6,near_roads,0.3203998746865935
72,n_companies_RECYCLING,-0.3097154808025535
47,n_companies_MACHINERY,0.3065524793245493
30,n_companies_AGRICULTURE,-0.30588854955236
186,vote_participation_proportion,-0.3052701349826106
197,soybean,0.291283932515891
178,overall_winner_partido_other,0.28800591838281175
121,n_jobs_CHEMICALS,0.28143319388631866
8,indigenous_homol,0.2809143354598844
155,illegal_industry,-0.2701649751916673
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.2697690615610896
89,n_jobs_FINANCIAL ASSISTANCE,-0.26637051623536045
26,public_jobs,0.2616197774852659
181,runnerup_partido_PSDB,0.25485197706769935
161,term_limited_seat,-0.25103475051912993
139,murder_threats,0.24783448070531908
107,n_jobs_TRANSPORTATION,-0.24411911874635414
176,overall_winner_partido_DEM,0.23712504693318376
67,n_companies_OIL AND GAS,-0.23440614778583943
115,n_jobs_FORESTRY,0.22587242163391533
113,n_jobs_METALLIC PRODUCTS,-0.22413455809606295
167,overall_winner_health_job,-0.22208871259551197
199,other_crop,-0.21886168686471832
175,overall_winner_partido_PSDB,0.2113209025349655
15,fed_election_year,0.21034161874864882
65,n_companies_PAPER,0.20245328983236488
9,mun_election_year,0.20134863639758438
75,n_companies_TEXTILES,0.19695416858313092
87,n_jobs_ASSOCIATIVE ACTIVITIES,-0.1967801198612804
3,slope,0.19110238468284832
116,n_jobs_CLOTHING,0.19034975670225368
25,mining_jobs,-0.18967829037351674
90,n_jobs_TRADE REP VEHICLES,-0.18888039413482094
31,n_companies_FOOD AND DRINKS,0.18497874124738187
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.18136070128729836
45,n_companies_FINANCES,-0.18065047433366632
94,n_jobs_EDITING AND PRINTING,0.1784400452102722
84,n_jobs_ACCOMODATION AND FOOD,-0.17833268658273185
38,n_companies_TRADE REP VEHICLES,0.17402261229186847
160,incumbant,-0.17302507631790603
56,n_companies_GROUND TRANSPORT,0.1712445981454444
34,n_companies_WHOLESALE,0.16828729941084422
37,n_companies_FINANCIAL ASSISTANCE,-0.16801311722508516
69,n_companies_CHEMICALS,0.1650935623471501
19,silver,-0.16478648110045993
96,n_jobs_ELECTRICITY AND GAS,0.16397073822541253
119,n_jobs_OIL AND GAS,-0.1621583139981838
81,n_jobs_PUBLIC ADMIN,-0.15533566733702361
164,overall_winner_feminino,-0.15468750126806424
68,n_companies_FISHING AND AQUACULTURE,-0.15453706406007872
82,n_jobs_AGRICULTURE,0.15194484814301826
50,n_companies_WOOD PROD,-0.15170805334988322
62,n_companies_DOMESTIC SERVICES,-0.14900765141839115
195,mining,-0.14896138484323254
166,overall_winner_public_service_job,-0.14763155080710502
101,n_jobs_MINING,0.14558617448662847
42,n_companies_EDITING AND PRINTING,0.1447709355495405
5,near_mines,-0.1423315852844047
169,overall_winner_law_job,-0.13917162762120208
35,n_companies_ASSOCIATIVE ACTIVITIES,0.13644365538046463
53,n_companies_SERVICES FOR COMPANIES,0.13226527155492243
74,n_companies_RUBBER AND PLASTIC,-0.13210574931372066
73,n_companies_LEATHERS AND FOOTWEAR,-0.12967560291245983
44,n_companies_ELECTRICITY AND GAS,0.12784151376379202
102,n_jobs_WOOD PROD,0.12710732330631977
71,n_companies_REAL ESTATE,0.12557561556504757
141,assassination_attempt,-0.12534681722628105
59,n_companies_COMPUTING,-0.1223142576057823
49,n_companies_MINING,0.12195907292947915
185,winner_votes_proportion,0.12122265038308383
125,n_jobs_LEATHERS AND FOOTWEAR,0.12105962104130438
156,audits,-0.12069492355492464
193,mosaic_ag,0.11974050213249415
95,n_jobs_EDUCATION,-0.11150201241507396
100,n_jobs_BASIC METALLURGY,0.10985824298712632
128,n_jobs_RESEARCH AND DEVELOPMENT,-0.10523875032766908
126,n_jobs_RUBBER AND PLASTIC,-0.10522513112286397
27,construction_jobs,-0.1051293115561761
76,n_companies_RESEARCH AND DEVELOPMENT,0.10220414780363128
144,expen_env_man,-0.10195481354977727
142,f_emitted_count,-0.10163030316916116
112,n_jobs_INSURANCE AND SOCIAL SECURITY,-0.09898174206252643
168,overall_winner_corporate_job,0.09817145534523909
174,overall_winner_partido_PMDB_MDB,0.09611522260317241
154,illegal_other,-0.09391244375393852
190,silvicultura,0.09205134996158268
77,n_companies_AERO TRANSPORT,0.09195119027391914
93,n_jobs_CULTURE AND SPORT,0.08963699613047374
70,n_companies_WATER-BASED TRANSPORTATION,-0.08593988758478327
32,n_companies_ACCOMODATION AND FOOD,0.08555153952254756
36,n_companies_AUTOMOBILES AND TRANSPORT,-0.08534306326357405
149,expen_prom_veg_pro,-0.08321408168575103
4,aspect,0.08221848950768908
163,overall_winner_complete_college,0.07895837633582577
171,overall_winner_professional_job,0.07613759637764908
48,n_companies_BASIC METALLURGY,0.07588045930164676
129,n_jobs_AERO TRANSPORT,0.07473804585626889
118,n_jobs_INTERNATIONAL BODIES,0.07458403195640924
120,n_jobs_FISHING AND AQUACULTURE,0.071006016596125
85,n_jobs_EQUIPMENT RENTAL,-0.06941161139202774
117,n_jobs_PAPER,-0.06924854162011161
63,n_companies_FORESTRY,0.06911681340584712
145,expen_agr_org,-0.06812591682475018
66,n_companies_INTERNATIONAL BODIES,-0.06513079514581427
58,n_companies_RETAIL,-0.062229775125303144
55,n_companies_TRANSPORTATION,-0.06079227214819169
64,n_companies_CLOTHING,-0.060450925383210646
124,n_jobs_RECYCLING,0.05975326647764109
202,other_perennial,0.059141896653858515
46,n_companies_CLEANING AND SEWAGE,0.058494097704915954
