,Feature,Coeff
187,forest_formation,66.63420642608448
203,forest_lag,-65.90466315584993
37,n_companies_FINANCIAL ASSISTANCE,-0.12528038650546386
45,n_companies_FINANCES,0.06655289345795737
94,n_jobs_EDITING AND PRINTING,0.06511515685823092
127,n_jobs_TEXTILES,0.06391922732518526
116,n_jobs_CLOTHING,0.06264855446201971
124,n_jobs_RECYCLING,-0.0533520843757162
93,n_jobs_CULTURE AND SPORT,0.049443802650596294
69,n_companies_CHEMICALS,-0.04400025942575587
100,n_jobs_BASIC METALLURGY,-0.042073275359960874
61,n_companies_METALLIC PRODUCTS,0.03998526442395198
99,n_jobs_MACHINERY,0.03901000594848708
56,n_companies_GROUND TRANSPORT,0.03899471769620343
73,n_companies_LEATHERS AND FOOTWEAR,-0.03727797683097882
33,n_companies_EQUIPMENT RENTAL,0.03382073043229284
191,pasture,0.03010905939377176
59,n_companies_COMPUTING,0.028183114926005625
46,n_companies_CLEANING AND SEWAGE,0.0280424376777658
113,n_jobs_METALLIC PRODUCTS,0.026986443613267797
36,n_companies_AUTOMOBILES AND TRANSPORT,0.026790134248009117
125,n_jobs_LEATHERS AND FOOTWEAR,0.02567719758519566
95,n_jobs_EDUCATION,-0.02283985773715414
44,n_companies_ELECTRICITY AND GAS,-0.018196754282104828
63,n_companies_FORESTRY,-0.01748630585142672
108,n_jobs_GROUND TRANSPORT,-0.01642641265056008
88,n_jobs_AUTOMOBILES AND TRANSPORT,-0.016191750205923165
199,other_crop,-0.0156449450851744
121,n_jobs_CHEMICALS,-0.015612768677395125
122,n_jobs_WATER-BASED TRANSPORTATION,0.01395287436947236
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,-0.01371354820649114
119,n_jobs_OIL AND GAS,0.013564247813421618
178,overall_winner_partido_other,0.012929040560407178
54,n_companies_PERSONAL SERVICES,-0.01258050660867834
174,overall_winner_partido_PMDB_MDB,0.011993655552650894
38,n_companies_TRADE REP VEHICLES,-0.011247735316533497
175,overall_winner_partido_PSDB,0.01107024590785372
192,sugarcane,0.010826935639984861
28,PIB,-0.010508493565426633
184,runnerup_partido_other,-0.010474096351469734
177,overall_winner_partido_PL,0.010375762579253999
133,n_jobs_TOTAL INDUSTRIAL,0.009380309374766842
90,n_jobs_TRADE REP VEHICLES,0.009337399616448272
50,n_companies_WOOD PROD,-0.0087425988061845
96,n_jobs_ELECTRICITY AND GAS,0.008714711723873909
115,n_jobs_FORESTRY,0.008613999461030152
126,n_jobs_RUBBER AND PLASTIC,0.0081854087081644
173,overall_winner_partido_PT,0.00804064163904968
86,n_jobs_WHOLESALE,-0.007891713236710476
136,n_companies_TOTAL SERVICE,0.007842725177382949
183,runnerup_partido_PL,-0.007774107406109221
181,runnerup_partido_PSDB,-0.007748837091699901
32,n_companies_ACCOMODATION AND FOOD,-0.007403145835558492
97,n_jobs_FINANCES,0.00714652342037064
180,runnerup_partido_PMDB_MDB,-0.007025087759907481
135,n_companies_TOTAL INDUSTRIAL,-0.006928923997306655
43,n_companies_EDUCATION,-0.006853501901358444
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.006731003636270045
53,n_companies_SERVICES FOR COMPANIES,-0.006626251739471879
82,n_jobs_AGRICULTURE,0.006363693563237373
117,n_jobs_PAPER,0.0062623815478754005
159,emiss_agropec_full,-0.006217701321811091
131,n_jobs_PETROLEUM REFINING,-0.00620336681286624
179,runnerup_partido_PT,-0.005888724429665073
29,n_companies_PUBLIC ADMIN,0.005512534835701471
31,n_companies_FOOD AND DRINKS,0.00536076644267476
104,n_jobs_HEALTH,0.005047269041913148
8,indigenous_homol,0.00497557557741868
157,emiss_pec_full,0.004900278152599278
170,overall_winner_technical_job,0.0048915455969818795
35,n_companies_ASSOCIATIVE ACTIVITIES,-0.004798916483724795
197,soybean,0.00477705347541342
195,mining,-0.004467201276527583
68,n_companies_FISHING AND AQUACULTURE,0.004020680382583181
101,n_jobs_MINING,0.0038268547312472192
105,n_jobs_SERVICES FOR COMPANIES,0.003768264482407141
83,n_jobs_FOOD AND DRINKS,-0.0034264138666899
164,overall_winner_feminino,0.0033913873426263
186,vote_participation_proportion,-0.00312347730715388
193,mosaic_ag,0.003040105736800781
2,elevation,-0.0030140936152475814
34,n_companies_WHOLESALE,0.00296227267406637
107,n_jobs_TRANSPORTATION,0.002952891464038634
188,savanna,0.00276492810062256
39,n_companies_CONSTRUCTION,-0.00262134812901662
98,n_jobs_CLEANING AND SEWAGE,0.0026136145854880797
0,year,0.0025967765562448803
190,silvicultura,-0.002577279684961479
134,n_jobs_TOTAL SERVICE,0.0023137966611221543
30,n_companies_AGRICULTURE,-0.002038397815249869
196,water,-0.0020189006683755386
167,overall_winner_health_job,-0.00184389593122986
166,overall_winner_public_service_job,-0.0018365942058225803
155,illegal_industry,0.0018270982577177318
49,n_companies_MINING,-0.00166373342783382
153,illegal_mining,0.0016153605060065259
22,soy_price,0.0015718832108058804
6,near_roads,0.0015658281396423173
26,public_jobs,0.00144329094988262
16,populacao,-0.001416300045622591
194,urban,0.00135513488991802
102,n_jobs_WOOD PROD,-0.0012424938483583095
168,overall_winner_corporate_job,0.0011645618275897879
58,n_companies_RETAIL,0.001151977317462177
137,n_companies_TOTAL,-0.0011246372916788598
165,overall_winner_agriculture_job,-0.0010492045160580801
3,slope,0.00103231576908048
1,rain1,0.0010064992579288828
40,n_companies_MAIL AND TELECOM,-0.001000675899101867
123,n_jobs_REAL ESTATE,0.000990880436744689
169,overall_winner_law_job,-0.0009133027746104399
71,n_companies_REAL ESTATE,-0.0008558814540809522
24,ag_jobs,-0.0008525671705003792
