,Feature,Coeff
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
203,forest_lag,
