,Feature,Coeff
203,forest_lag,0.38915531751810567
191,pasture,0.12042445092392716
94,n_jobs_EDITING AND PRINTING,0.04298846504818915
187,forest_formation,0.037071396510320334
50,n_companies_WOOD PROD,0.03703278368913728
6,near_roads,0.031131494512895413
113,n_jobs_METALLIC PRODUCTS,0.02900669694199423
122,n_jobs_WATER-BASED TRANSPORTATION,0.026435827716806908
167,overall_winner_health_job,0.019911192942980303
99,n_jobs_MACHINERY,0.01879473135899235
153,illegal_mining,0.01580905602678727
42,n_companies_EDITING AND PRINTING,0.013807409297169617
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.01290115693284634
27,construction_jobs,0.011878193034629017
37,n_companies_FINANCIAL ASSISTANCE,0.01076669071567838
5,near_mines,0.009548053815914765
159,emiss_agropec_full,0.009253895075138357
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.00891853857449298
54,n_companies_PERSONAL SERVICES,0.008692240012944536
70,n_companies_WATER-BASED TRANSPORTATION,0.007816729428204846
116,n_jobs_CLOTHING,0.007336491680391305
4,aspect,0.007149973397862403
2,elevation,0.00696248184408559
1,rain1,0.006901627733232893
136,n_companies_TOTAL SERVICE,0.006528965019587839
33,n_companies_EQUIPMENT RENTAL,0.005654705134171837
143,expen_agri,0.005218021415360706
7,near_hidrovia,0.004915804606747285
199,other_crop,0.004596283239077087
38,n_companies_TRADE REP VEHICLES,0.004506912655327815
96,n_jobs_ELECTRICITY AND GAS,0.004057993066132862
39,n_companies_CONSTRUCTION,0.003963160960782643
77,n_companies_AERO TRANSPORT,0.003917599680559588
93,n_jobs_CULTURE AND SPORT,0.0035886886742649737
83,n_jobs_FOOD AND DRINKS,0.002892754174017902
127,n_jobs_TEXTILES,0.002723798870115822
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0025833183877591375
58,n_companies_RETAIL,0.002516466927230306
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0024691715440954922
35,n_companies_ASSOCIATIVE ACTIVITIES,0.002182574427066677
79,n_companies_PETROLEUM REFINING,0.0021415868781804836
78,n_companies_SMOKE,0.002131617689754787
30,n_companies_AGRICULTURE,0.00205807942484163
110,n_jobs_RETAIL,0.0019871846873453
120,n_jobs_FISHING AND AQUACULTURE,0.0019291301249990702
69,n_companies_CHEMICALS,0.0018277843659008056
186,vote_participation_proportion,0.0017040772269091382
121,n_jobs_CHEMICALS,0.0016499334396465873
24,ag_jobs,0.0013164597324242455
101,n_jobs_MINING,0.0012796120470367125
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0012674896753213007
111,n_jobs_COMPUTING,0.0011852027870597247
40,n_companies_MAIL AND TELECOM,0.0011678250813457406
177,overall_winner_partido_PL,0.001146564043643757
34,n_companies_WHOLESALE,0.001083445469535883
3,slope,0.0010390924409335461
149,expen_prom_veg_pro,0.0010128092635679922
126,n_jobs_RUBBER AND PLASTIC,0.0010115686164285233
158,emiss_agr_full,0.0010077274696597095
135,n_companies_TOTAL INDUSTRIAL,0.0009324345871357102
196,water,0.000861020322497388
61,n_companies_METALLIC PRODUCTS,0.000858557199086952
41,n_companies_CULTURE AND SPORT,0.0007851471622033251
128,n_jobs_RESEARCH AND DEVELOPMENT,0.0007007247255259143
28,PIB,0.0006747510143783065
202,other_perennial,0.0006059919328207244
73,n_companies_LEATHERS AND FOOTWEAR,0.0005875166536725989
173,overall_winner_partido_PT,0.0005647536107156224
31,n_companies_FOOD AND DRINKS,0.0005616356123196511
63,n_companies_FORESTRY,0.0005315169570290928
185,winner_votes_proportion,0.0005206623967939041
46,n_companies_CLEANING AND SEWAGE,0.0005117600208088658
55,n_companies_TRANSPORTATION,0.0005048680688955971
16,populacao,0.0005018103682757832
133,n_jobs_TOTAL INDUSTRIAL,0.0004928483758202602
91,n_jobs_CONSTRUCTION,0.00048701593959264825
62,n_companies_DOMESTIC SERVICES,0.0004585471315737908
105,n_jobs_SERVICES FOR COMPANIES,0.00043775965049611224
97,n_jobs_FINANCES,0.00040507253429747765
90,n_jobs_TRADE REP VEHICLES,0.0003934738820333547
140,assassination,0.00038870490235394734
102,n_jobs_WOOD PROD,0.00035590199651665147
64,n_companies_CLOTHING,0.00034103048192237053
139,murder_threats,0.0002788351960618007
