,Feature,Coeff
139,murder_threats,0.17716365277895277
30,n_companies_AGRICULTURE,0.10877162553950862
6,near_roads,0.08403019996791634
144,expen_env_man,0.08175887140116317
28,PIB,0.07923882943977817
59,n_companies_COMPUTING,0.07293531675782776
53,n_companies_SERVICES FOR COMPANIES,0.05845297672329825
191,pasture,0.05723828174346904
187,forest_formation,0.052519528070535705
27,construction_jobs,0.04912274122253989
91,n_jobs_CONSTRUCTION,0.03241362666139935
33,n_companies_EQUIPMENT RENTAL,0.02854571740809242
5,near_mines,0.02580512484722901
85,n_jobs_EQUIPMENT RENTAL,0.012987345909763207
69,n_companies_CHEMICALS,0.01072945547673829
38,n_companies_TRADE REP VEHICLES,0.008497528204697796
77,n_companies_AERO TRANSPORT,0.007556707633706927
16,populacao,0.0051551497390076514
43,n_companies_EDUCATION,0.005123934556517224
32,n_companies_ACCOMODATION AND FOOD,0.0030126836531145017
159,emiss_agropec_full,0.002839342973752291
166,overall_winner_public_service_job,0.0027072755035995526
158,emiss_agr_full,0.002575070311608178
45,n_companies_FINANCES,0.002424882688973639
7,near_hidrovia,0.002316759998598986
31,n_companies_FOOD AND DRINKS,0.0022892734370517976
157,emiss_pec_full,0.001964100036771149
35,n_companies_ASSOCIATIVE ACTIVITIES,0.001664909896773063
137,n_companies_TOTAL,0.0014891882449366485
34,n_companies_WHOLESALE,0.0014464045507623989
68,n_companies_FISHING AND AQUACULTURE,0.001388029130758396
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0013672458585991623
185,winner_votes_proportion,0.0013576653809125835
50,n_companies_WOOD PROD,0.0011885736785771956
4,aspect,0.0011138564367583167
58,n_companies_RETAIL,0.0008012429543123436
92,n_jobs_MAIL AND TELECOM,0.0007325433227833573
188,savanna,0.0007162352617619065
203,forest_lag,0.0006684804649408905
55,n_companies_TRANSPORTATION,0.0006632041052106732
23,beef_price,0.0006580723260157505
63,n_companies_FORESTRY,0.0006498250796460124
73,n_companies_LEATHERS AND FOOTWEAR,0.00042758753547664935
24,ag_jobs,0.0004213040767978086
47,n_companies_MACHINERY,0.0003961064328118069
81,n_jobs_PUBLIC ADMIN,0.00039075444582182536
3,slope,0.0003398810497896925
39,n_companies_CONSTRUCTION,0.00033282435778188426
84,n_jobs_ACCOMODATION AND FOOD,0.0003289513884194018
2,elevation,0.00032235046774747633
20,copper,0.00028837787254230466
102,n_jobs_WOOD PROD,0.00027320538771438105
40,n_companies_MAIL AND TELECOM,0.0002569431164770718
37,n_companies_FINANCIAL ASSISTANCE,0.00023478303648954445
196,water,0.00021337169796133382
108,n_jobs_GROUND TRANSPORT,0.00020074479796157427
26,public_jobs,0.00018960468158157556
71,n_companies_REAL ESTATE,0.00015291174270104413
178,overall_winner_partido_other,0.00014882869559016491
133,n_jobs_TOTAL INDUSTRIAL,0.00014473228259651927
110,n_jobs_RETAIL,0.00012999789726512165
163,overall_winner_complete_college,0.00012703299566206938
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.00012506890144112884
70,n_companies_WATER-BASED TRANSPORTATION,0.00011278885134861134
95,n_jobs_EDUCATION,8.379165411428685e-05
186,vote_participation_proportion,4.664212641856251e-05
143,expen_agri,4.3727039613297184e-05
160,incumbant,3.763423785097459e-05
51,n_companies_NON-METALLIC MINERAL PRODUCTS,3.0283249629760833e-05
1,rain1,2.9290168810789507e-05
97,n_jobs_FINANCES,2.7874823914106128e-05
149,expen_prom_veg_pro,1.9169769612429808e-05
0,year,1.16038099921135e-05
60,n_companies_INSURANCE AND SOCIAL SECURITY,9.115979164167126e-06
90,n_jobs_TRADE REP VEHICLES,8.27458423102909e-06
179,runnerup_partido_PT,7.062186407536478e-06
177,overall_winner_partido_PL,2.462116573284305e-06
115,n_jobs_FORESTRY,1.742369619925218e-06
44,n_companies_ELECTRICITY AND GAS,1.5855857629199611e-06
17,pib_pc,5.8437982424073257e-08
87,n_jobs_ASSOCIATIVE ACTIVITIES,5.0769962929615766e-08
41,n_companies_CULTURE AND SPORT,0.0
169,overall_winner_law_job,0.0
42,n_companies_EDITING AND PRINTING,0.0
171,overall_winner_professional_job,0.0
170,overall_winner_technical_job,0.0
172,overall_winner_mining_job,0.0
173,overall_winner_partido_PT,0.0
174,overall_winner_partido_PMDB_MDB,0.0
175,overall_winner_partido_PSDB,0.0
176,overall_winner_partido_DEM,0.0
168,overall_winner_corporate_job,0.0
130,n_jobs_SMOKE,0.0
46,n_companies_CLEANING AND SEWAGE,0.0
48,n_companies_BASIC METALLURGY,0.0
49,n_companies_MINING,0.0
165,overall_winner_agriculture_job,0.0
164,overall_winner_feminino,0.0
52,n_companies_HEALTH,0.0
162,special,0.0
54,n_companies_PERSONAL SERVICES,0.0
161,term_limited_seat,0.0
56,n_companies_GROUND TRANSPORT,0.0
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0
156,audits,0.0
155,illegal_industry,0.0
61,n_companies_METALLIC PRODUCTS,0.0
167,overall_winner_health_job,0.0
180,runnerup_partido_PMDB_MDB,0.0
154,illegal_other,0.0
14,bolsonaro,0.0
201,citrus,0.0
200,coffee,0.0
199,other_crop,0.0
198,rice,0.0
197,soybean,0.0
195,mining,0.0
194,urban,0.0
8,indigenous_homol,0.0
9,mun_election_year,0.0
10,new_forest_code,0.0
11,lula,0.0
12,dilma,0.0
13,temer,0.0
15,fed_election_year,0.0
181,runnerup_partido_PSDB,0.0
193,mosaic_ag,0.0
18,ironore,0.0
19,silver,0.0
192,sugarcane,0.0
21,gold,0.0
22,soy_price,0.0
190,silvicultura,0.0
189,mangrove,0.0
25,mining_jobs,0.0
184,runnerup_partido_other,0.0
183,runnerup_partido_PL,0.0
182,runnerup_partido_DEM,0.0
29,n_companies_PUBLIC ADMIN,0.0
62,n_companies_DOMESTIC SERVICES,0.0
65,n_companies_PAPER,0.0
64,n_companies_CLOTHING,0.0
113,n_jobs_METALLIC PRODUCTS,0.0
100,n_jobs_BASIC METALLURGY,0.0
202,other_perennial,0.0
135,n_companies_TOTAL INDUSTRIAL,0.0
134,n_jobs_TOTAL SERVICE,0.0
104,n_jobs_HEALTH,0.0
105,n_jobs_SERVICES FOR COMPANIES,0.0
