,Feature,Coeff
0,n_companies_MAIL AND TELECOM,0.12017083553593269
1,near_mines,0.115565166077266
2,n_jobs_TEXTILES,0.052281500919455985
3,indigenous_homol,0.03964892792190969
4,n_jobs_RESEARCH AND DEVELOPMENT,0.03484134870294446
5,copper,0.03407411759193294
6,forest_formation,0.03212376793902122
7,n_companies_FINANCES,0.030029033473387878
8,pasture,0.027572945199559447
9,aspect,0.023250624671432504
10,n_jobs_FISHING AND AQUACULTURE,0.015850772944337954
11,gold,0.014309922468457066
12,n_jobs_LEATHERS AND FOOTWEAR,0.013183556049902827
13,n_jobs_EDUCATION,0.012645113223759549
14,near_hidrovia,0.012560184473146847
15,n_jobs_TOTAL SERVICE,0.012273745328351685
16,n_companies_FORESTRY,0.011694958594505072
17,n_jobs_PERSONAL SERVICES,0.010986431828608877
18,n_companies_RESEARCH AND DEVELOPMENT,0.010671543251702414
19,public_jobs,0.010665697515402651
20,n_jobs_DOMESTIC SERVICES,0.010134523351510933
21,n_jobs_CHEMICALS,0.009915726385108976
22,f_emitted_count,0.009529766181844765
23,n_companies_RECYCLING,0.009021557348420023
24,n_companies_SERVICES FOR COMPANIES,0.007990635963135045
25,n_jobs_PUBLIC ADMIN,0.007505816336399344
26,n_jobs_INSURANCE AND SOCIAL SECURITY,0.007382552296001537
27,n_jobs_CULTURE AND SPORT,0.00733312182915062
28,near_roads,0.00691636123294252
29,n_companies_EDITING AND PRINTING,0.006705734378838459
30,n_companies_CHEMICALS,0.006609697743225704
31,n_jobs_MAIL AND TELECOM,0.006103770654754437
32,n_companies_LEATHERS AND FOOTWEAR,0.005946740139238782
33,slope,0.005782801245598254
34,n_companies_WHOLESALE,0.005729008259148971
35,n_companies_DOMESTIC SERVICES,0.005600535528742401
36,n_companies_PERSONAL SERVICES,0.005550200761433005
37,rain1,0.005532422581846526
38,n_jobs_RECYCLING,0.005493794407378549
39,construction_jobs,0.005468631376582195
40,n_companies_ELECTRICITY AND GAS,0.00525611832932834
41,assassination,0.00522305220341082
42,savanna,0.005004751634120385
43,n_companies_AERO TRANSPORT,0.004991759165011414
44,n_companies_TOTAL INDUSTRIAL,0.004896986827268492
45,n_jobs_AUTOMOBILES AND TRANSPORT,0.00488784723310471
46,n_jobs_METALLIC PRODUCTS,0.0046720398809636425
47,n_companies_AGRICULTURE,0.0046265800997526575
48,overall_winner_partido_other,0.0046170924962045485
49,n_jobs_EDITING AND PRINTING,0.004613756407924029
50,n_companies_SMOKE,0.004549031829229318
51,runnerup_partido_PT,0.004525463332664747
52,n_companies_FISHING AND AQUACULTURE,0.004314952166183676
53,overall_winner_partido_PSDB,0.004228512772900561
54,n_companies_OIL AND GAS,0.003983063908582208
55,n_companies_EDUCATION,0.003921124055103753
56,expen_agr_org,0.0038846446443853945
57,n_jobs_MACHINERY,0.0037734600634533686
58,n_companies_MINING,0.0037567883439706693
59,n_jobs_MINING,0.0036984159361456606
60,n_companies_HEALTH,0.0035833716542932456
61,n_companies_CLEANING AND SEWAGE,0.0035558010920761903
62,mining_jobs,0.003499847187556881
63,n_companies_AUTOMOBILES AND TRANSPORT,0.003465810846137297
64,overall_winner_feminino,0.0034628735092461734
65,n_jobs_AERO TRANSPORT,0.003350259904994818
66,n_jobs_AGRICULTURE,0.0032369639443265634
67,mosaic_ag,0.003192100417955771
68,expen_env_man,0.003012725802794407
69,n_companies_CONSTRUCTION,0.00299816822756731
70,expen_prom_veg_pro,0.0029861290055104546
71,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0029735427297752385
72,n_companies_EQUIPMENT RENTAL,0.002877082092425847
73,n_companies_PUBLIC ADMIN,0.0028660004213354635
74,overall_winner_agriculture_job,0.0028540675847438064
75,n_companies_MACHINERY,0.002807023303415597
76,n_companies_BASIC METALLURGY,0.0027845204591636133
77,n_companies_GROUND TRANSPORT,0.002771255595025984
78,emiss_agropec_full,0.002750609906717883
79,n_jobs_TOTAL,0.002705214724066649
80,emiss_agr_full,0.0026388146423684975
81,ag_jobs,0.002633468307678877
82,n_jobs_REAL ESTATE,0.002552123241618757
83,murder_threats,0.0025234605778369497
84,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.002497678232549331
85,pib_pc,0.002494792952717358
86,n_jobs_TRADE REP VEHICLES,0.0024698714754283245
