,Feature,Coeff
139,murder_threats,0.27370561386445835
69,n_companies_CHEMICALS,0.10046942599894472
33,n_companies_EQUIPMENT RENTAL,0.09949444193316616
30,n_companies_AGRICULTURE,0.08458186872336192
43,n_companies_EDUCATION,0.0440521768718284
191,pasture,0.04396771854944594
59,n_companies_COMPUTING,0.04256481873674839
6,near_roads,0.031420190540550876
28,PIB,0.031132899175411063
53,n_companies_SERVICES FOR COMPANIES,0.02847174792960825
27,construction_jobs,0.02445221589984918
5,near_mines,0.021453186493754717
91,n_jobs_CONSTRUCTION,0.01999051393796911
24,ag_jobs,0.019926450768420326
82,n_jobs_AGRICULTURE,0.019653554005349506
85,n_jobs_EQUIPMENT RENTAL,0.014789225123104266
159,emiss_agropec_full,0.01183676504553379
58,n_companies_RETAIL,0.0067734399446559975
31,n_companies_FOOD AND DRINKS,0.006179077375570158
158,emiss_agr_full,0.005982375694876909
157,emiss_pec_full,0.005563557459422688
47,n_companies_MACHINERY,0.005552073718567203
7,near_hidrovia,0.005158873665616586
63,n_companies_FORESTRY,0.004386983270637491
68,n_companies_FISHING AND AQUACULTURE,0.0029993106975490973
29,n_companies_PUBLIC ADMIN,0.002990252568183828
55,n_companies_TRANSPORTATION,0.0023492511640340425
153,illegal_mining,0.002125541245063441
45,n_companies_FINANCES,0.0020578195030432206
40,n_companies_MAIL AND TELECOM,0.0020049460423426538
110,n_jobs_RETAIL,0.0019197194506573748
2,elevation,0.0018875930799136605
181,runnerup_partido_PSDB,0.001608301844426963
65,n_companies_PAPER,0.0013886812316193907
179,runnerup_partido_PT,0.0011909303726630061
38,n_companies_TRADE REP VEHICLES,0.001179234162133934
4,aspect,0.0011769212369308348
203,forest_lag,0.0011400236855813226
16,populacao,0.001126722014794153
185,winner_votes_proportion,0.0010332461460328352
17,pib_pc,0.000960484809272425
143,expen_agri,0.0008370748264249041
73,n_companies_LEATHERS AND FOOTWEAR,0.0008295613922729538
48,n_companies_BASIC METALLURGY,0.0007763850044802345
50,n_companies_WOOD PROD,0.0006921530288804598
97,n_jobs_FINANCES,0.0006671782606346616
137,n_companies_TOTAL,0.0006427876615409914
187,forest_formation,0.0006411838251842218
81,n_jobs_PUBLIC ADMIN,0.0005911514665281791
125,n_jobs_LEATHERS AND FOOTWEAR,0.0005899759017221726
193,mosaic_ag,0.0005678924677487571
70,n_companies_WATER-BASED TRANSPORTATION,0.0005549562431921483
62,n_companies_DOMESTIC SERVICES,0.0005461046018535154
54,n_companies_PERSONAL SERVICES,0.0005419264957069394
196,water,0.0005178767856832971
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.0004962217732105448
199,other_crop,0.0004715334234553739
102,n_jobs_WOOD PROD,0.000470781667600358
23,beef_price,0.0004632341539089501
108,n_jobs_GROUND TRANSPORT,0.0004598680675055795
115,n_jobs_FORESTRY,0.0004575444057831841
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0004335487697322811
25,mining_jobs,0.000425409729275559
135,n_companies_TOTAL INDUSTRIAL,0.0003963579160778257
44,n_companies_ELECTRICITY AND GAS,0.0003895446832133128
133,n_jobs_TOTAL INDUSTRIAL,0.00035975861323988943
34,n_companies_WHOLESALE,0.00033144584100165263
89,n_jobs_FINANCIAL ASSISTANCE,0.00031683207745118914
175,overall_winner_partido_PSDB,0.00029648520441806915
106,n_jobs_PERSONAL SERVICES,0.0002486588391928022
49,n_companies_MINING,0.0002444880264316489
26,public_jobs,0.00022648487737578495
52,n_companies_HEALTH,0.0002135885087257365
39,n_companies_CONSTRUCTION,0.00021270165012705105
160,incumbant,0.00020998423389160332
72,n_companies_RECYCLING,0.00020414191873504688
105,n_jobs_SERVICES FOR COMPANIES,0.00020406117718152557
144,expen_env_man,0.00019841605732808329
90,n_jobs_TRADE REP VEHICLES,0.0001981147622077739
117,n_jobs_PAPER,0.0001799327505864922
32,n_companies_ACCOMODATION AND FOOD,0.00017989944403533085
184,runnerup_partido_other,0.00017807458443767717
92,n_jobs_MAIL AND TELECOM,0.00016621679971942944
19,silver,0.00015631982847775618
86,n_jobs_WHOLESALE,0.0001486943925489642
83,n_jobs_FOOD AND DRINKS,0.00014589504093779737
188,savanna,0.00014371313784851983
42,n_companies_EDITING AND PRINTING,0.0001171175700793711
56,n_companies_GROUND TRANSPORT,0.00010266693676524652
100,n_jobs_BASIC METALLURGY,9.741601674079766e-05
142,f_emitted_count,9.064899301121692e-05
127,n_jobs_TEXTILES,7.973401369510269e-05
66,n_companies_INTERNATIONAL BODIES,7.717778871862834e-05
104,n_jobs_HEALTH,6.304737870537016e-05
131,n_jobs_PETROLEUM REFINING,5.3537029634019054e-05
74,n_companies_RUBBER AND PLASTIC,5.0207120360174364e-05
1,rain1,4.585579221347597e-05
136,n_companies_TOTAL SERVICE,3.777062952027603e-05
186,vote_participation_proportion,2.9208036118425117e-05
51,n_companies_NON-METALLIC MINERAL PRODUCTS,2.6239638900816103e-05
111,n_jobs_COMPUTING,2.270313767644704e-05
46,n_companies_CLEANING AND SEWAGE,1.680476433236913e-05
123,n_jobs_REAL ESTATE,1.5259442877017036e-05
60,n_companies_INSURANCE AND SOCIAL SECURITY,1.4831007463908807e-05
138,n_jobs_TOTAL,1.3573175756586797e-05
94,n_jobs_EDITING AND PRINTING,1.354221446806773e-05
156,audits,1.1485329378947752e-05
101,n_jobs_MINING,9.341992410674684e-06
21,gold,8.901850007937061e-06
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,7.1057818453147624e-06
0,year,6.725515314143363e-06
148,expen_prom_ani_pro,6.370577301306199e-06
113,n_jobs_METALLIC PRODUCTS,6.212312709284857e-06
134,n_jobs_TOTAL SERVICE,5.6955244692180564e-06
22,soy_price,5.0160638356249345e-06
18,ironore,4.939155150566071e-06
64,n_companies_CLOTHING,4.3409099403307345e-06
180,runnerup_partido_PMDB_MDB,4.272031720045433e-06
61,n_companies_METALLIC PRODUCTS,4.191524081052093e-06
20,copper,3.8218525111059155e-06
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,2.960222794078169e-06
37,n_companies_FINANCIAL ASSISTANCE,2.7388210053598257e-06
88,n_jobs_AUTOMOBILES AND TRANSPORT,2.577064694789543e-06
3,slope,2.4851424971538983e-06
93,n_jobs_CULTURE AND SPORT,2.439059218665855e-06
124,n_jobs_RECYCLING,2.254803370107469e-06
107,n_jobs_TRANSPORTATION,2.1749091743285338e-06
116,n_jobs_CLOTHING,2.1380828355975275e-06
169,overall_winner_law_job,1.247913450459379e-06
96,n_jobs_ELECTRICITY AND GAS,4.629128159763996e-07
168,overall_winner_corporate_job,4.2121093272404677e-07
197,soybean,4.4508876273761745e-09
10,new_forest_code,0.0
173,overall_winner_partido_PT,0.0
177,overall_winner_partido_PL,0.0
176,overall_winner_partido_DEM,0.0
174,overall_winner_partido_PMDB_MDB,0.0
171,overall_winner_professional_job,0.0
200,coffee,0.0
172,overall_winner_mining_job,0.0
170,overall_winner_technical_job,0.0
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0
201,citrus,0.0
167,overall_winner_health_job,0.0
178,overall_winner_partido_other,0.0
198,rice,0.0
11,lula,0.0
182,runnerup_partido_DEM,0.0
183,runnerup_partido_PL,0.0
195,mining,0.0
194,urban,0.0
8,indigenous_homol,0.0
189,mangrove,0.0
165,overall_winner_agriculture_job,0.0
9,mun_election_year,0.0
190,silvicultura,0.0
192,sugarcane,0.0
15,fed_election_year,0.0
14,bolsonaro,0.0
13,temer,0.0
12,dilma,0.0
166,overall_winner_public_service_job,0.0
95,n_jobs_EDUCATION,0.0
41,n_companies_CULTURE AND SPORT,0.0
67,n_companies_OIL AND GAS,0.0
121,n_jobs_CHEMICALS,0.0
71,n_companies_REAL ESTATE,0.0
120,n_jobs_FISHING AND AQUACULTURE,0.0
119,n_jobs_OIL AND GAS,0.0
118,n_jobs_INTERNATIONAL BODIES,0.0
75,n_companies_TEXTILES,0.0
76,n_companies_RESEARCH AND DEVELOPMENT,0.0
77,n_companies_AERO TRANSPORT,0.0
78,n_companies_SMOKE,0.0
79,n_companies_PETROLEUM REFINING,0.0
80,n_companies_,0.0
114,n_jobs_DOMESTIC SERVICES,0.0
84,n_jobs_ACCOMODATION AND FOOD,0.0
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0
202,other_perennial,0.0
99,n_jobs_MACHINERY,0.0
98,n_jobs_CLEANING AND SEWAGE,0.0
122,n_jobs_WATER-BASED TRANSPORTATION,0.0
126,n_jobs_RUBBER AND PLASTIC,0.0
164,overall_winner_feminino,0.0
128,n_jobs_RESEARCH AND DEVELOPMENT,0.0
163,overall_winner_complete_college,0.0
162,special,0.0
161,term_limited_seat,0.0
155,illegal_industry,0.0
152,expen_min_fuel,0.0
151,expen_agr_defense,0.0
150,expen_other_agr,0.0
149,expen_prom_veg_pro,0.0
147,expen_petrol,0.0
146,expen_mining,0.0
145,expen_agr_org,0.0
141,assassination_attempt,0.0
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0
140,assassination,0.0
132,n_jobs_,0.0
130,n_jobs_SMOKE,0.0
129,n_jobs_AERO TRANSPORT,0.0
154,illegal_other,0.0
