,Feature,Coeff
0,forest_formation,0.43928326800318657
1,forest_lag,0.4359142078787535
2,silver,0.019928516233756324
3,gold,0.014258321708752292
4,soy_price,0.008513866007687831
5,copper,0.004921698598146996
6,ag_jobs,0.0018042514982573557
7,year,0.0017478036128734577
8,n_jobs_PUBLIC ADMIN,0.0016879444449310133
9,n_companies_AGRICULTURE,0.001486072147724624
10,n_companies_AERO TRANSPORT,0.0013503732444058601
11,beef_price,0.0012081933096955296
12,n_jobs_LEATHERS AND FOOTWEAR,0.0011937552876992751
13,public_jobs,0.0011611774871409402
14,construction_jobs,0.0010555490080360742
15,n_companies_MAIL AND TELECOM,0.0009816094893368374
16,mun_election_year,0.0009577283813319264
17,n_companies_TOTAL SERVICE,0.0008384348940295386
18,special,0.0007592046302135987
19,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0007448181927713408
20,n_jobs_PAPER,0.0007447921156000692
21,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0007233198143723949
22,pib_pc,0.0006975493404159467
23,overall_winner_partido_DEM,0.0006911248283276917
24,near_mines,0.0006749457401833452
25,n_companies_METALLIC PRODUCTS,0.0006705373522459154
26,fed_election_year,0.0006621124000931806
27,n_jobs_AERO TRANSPORT,0.0006467056986933751
28,assassination,0.0006420432429683084
29,ironore,0.0006112000248740105
30,n_jobs_WATER-BASED TRANSPORTATION,0.0006075330674418996
31,soybean,0.0005957565498752447
32,n_companies_RETAIL,0.0005919352345044431
33,n_companies_LEATHERS AND FOOTWEAR,0.0005760596707520637
34,indigenous_homol,0.0005744368995836003
35,n_jobs_FINANCIAL ASSISTANCE,0.0005545534206212127
36,overall_winner_public_service_job,0.0005451548081797996
37,n_jobs_HEALTH,0.0005421078459461354
38,n_companies_WHOLESALE,0.0005385026145612912
39,overall_winner_professional_job,0.0005287808411917336
40,mosaic_ag,0.000524150275271834
41,n_jobs_WOOD PROD,0.0005229884145871781
42,overall_winner_partido_PSDB,0.0005222536813144754
43,expen_agri,0.0005181111981865818
44,illegal_other,0.0005163915500866327
45,n_companies_WOOD PROD,0.0005158326473844934
46,n_jobs_CLOTHING,0.0005071270570960954
47,savanna,0.0004993464019740176
48,n_companies_AUTOMOBILES AND TRANSPORT,0.0004814332130815589
49,n_jobs_RETAIL,0.00047270628061884347
50,n_companies_EDITING AND PRINTING,0.00046531481310098144
51,n_companies_TRANSPORTATION,0.00046414175637571206
52,runnerup_partido_PSDB,0.00046369662403134205
53,n_jobs_SERVICES FOR COMPANIES,0.00045591815662501367
54,overall_winner_complete_college,0.0004549274284828521
55,n_jobs_CONSTRUCTION,0.00045071111327318143
56,n_jobs_PETROLEUM REFINING,0.00044922846506529696
