,Feature,Coeff
130,n_jobs_SMOKE,0.18006198453149055
16,populacao,0.14781370505489155
134,n_jobs_TOTAL SERVICE,0.0771421609132255
142,f_emitted_count,0.06135694118876995
159,emiss_agropec_full,0.0458085004134084
48,n_companies_BASIC METALLURGY,0.04156573890106587
136,n_companies_TOTAL SERVICE,0.0332071707816872
34,n_companies_WHOLESALE,0.03156419464737143
135,n_companies_TOTAL INDUSTRIAL,0.03064900073920608
61,n_companies_METALLIC PRODUCTS,0.029807584082748174
26,public_jobs,0.027687473881940903
128,n_jobs_RESEARCH AND DEVELOPMENT,0.026453690199525152
6,near_roads,0.02497071226898623
50,n_companies_WOOD PROD,0.023950040594262183
76,n_companies_RESEARCH AND DEVELOPMENT,0.023861189285646782
133,n_jobs_TOTAL INDUSTRIAL,0.02290022694616306
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.02267116931798043
102,n_jobs_WOOD PROD,0.016557932417777317
85,n_jobs_EQUIPMENT RENTAL,0.013991753844810164
68,n_companies_FISHING AND AQUACULTURE,0.011798925778560078
32,n_companies_ACCOMODATION AND FOOD,0.010954816771707851
31,n_companies_FOOD AND DRINKS,0.010761508773972193
191,pasture,0.009078740189057348
45,n_companies_FINANCES,0.008382144255283904
53,n_companies_SERVICES FOR COMPANIES,0.008055197402612214
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.007399882422982613
139,murder_threats,0.0066273593226699
138,n_jobs_TOTAL,0.005856970654197219
182,runnerup_partido_DEM,0.0058086237298604505
29,n_companies_PUBLIC ADMIN,0.005590211922307751
41,n_companies_CULTURE AND SPORT,0.004748603948064933
1,rain1,0.004654152840351784
3,slope,0.0034862339538111794
28,PIB,0.0027176116446363183
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0021481616636147157
27,construction_jobs,0.001574825714873627
40,n_companies_MAIL AND TELECOM,0.0013007025829729455
186,vote_participation_proportion,0.001121168791606144
47,n_companies_MACHINERY,0.0008049273299032628
156,audits,0.0007676847971762153
181,runnerup_partido_PSDB,0.0005825408487032721
75,n_companies_TEXTILES,0.0005485849979550027
25,mining_jobs,0.0004261386054327806
120,n_jobs_FISHING AND AQUACULTURE,0.00038545897317613607
164,overall_winner_feminino,0.00038334990973848756
38,n_companies_TRADE REP VEHICLES,0.0003460964236723822
92,n_jobs_MAIL AND TELECOM,0.0003201416978749196
93,n_jobs_CULTURE AND SPORT,0.00029682872124184816
104,n_jobs_HEALTH,0.0002512014890152948
5,near_mines,0.0002335892881543439
2,elevation,0.00019203679738705228
127,n_jobs_TEXTILES,0.00016983552862935973
84,n_jobs_ACCOMODATION AND FOOD,0.0001329775257753624
63,n_companies_FORESTRY,4.5649398352979905e-05
107,n_jobs_TRANSPORTATION,2.5945293711094223e-05
62,n_companies_DOMESTIC SERVICES,0.0
64,n_companies_CLOTHING,0.0
59,n_companies_COMPUTING,0.0
203,forest_lag,0.0
65,n_companies_PAPER,0.0
78,n_companies_SMOKE,0.0
86,n_jobs_WHOLESALE,0.0
83,n_jobs_FOOD AND DRINKS,0.0
82,n_jobs_AGRICULTURE,0.0
81,n_jobs_PUBLIC ADMIN,0.0
80,n_companies_,0.0
79,n_companies_PETROLEUM REFINING,0.0
77,n_companies_AERO TRANSPORT,0.0
66,n_companies_INTERNATIONAL BODIES,0.0
73,n_companies_LEATHERS AND FOOTWEAR,0.0
72,n_companies_RECYCLING,0.0
71,n_companies_REAL ESTATE,0.0
70,n_companies_WATER-BASED TRANSPORTATION,0.0
69,n_companies_CHEMICALS,0.0
67,n_companies_OIL AND GAS,0.0
74,n_companies_RUBBER AND PLASTIC,0.0
49,n_companies_MINING,0.0
58,n_companies_RETAIL,0.0
23,beef_price,0.0
21,gold,0.0
20,copper,0.0
19,silver,0.0
18,ironore,0.0
17,pib_pc,0.0
15,fed_election_year,0.0
14,bolsonaro,0.0
