,Feature,Coeff
0,n_companies_INTERNATIONAL BODIES,0.018796706810323752
1,n_jobs_PAPER,0.013974640472004616
2,n_jobs_FORESTRY,0.011284795984373952
3,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.01062542215818931
4,forest_formation,0.010613174211425009
5,n_jobs_TEXTILES,0.008874525191059681
6,forest_lag,0.006919347860662256
7,n_jobs_RETAIL,0.006908332333213341
8,n_jobs_WHOLESALE,0.006561291112801063
9,slope,0.006460658252586416
10,n_jobs_FISHING AND AQUACULTURE,0.005762772535597812
11,runnerup_partido_other,0.0053132010939622425
12,n_jobs_GROUND TRANSPORT,0.0051518007631620065
13,n_jobs_PERSONAL SERVICES,0.0046248984622206035
14,expen_agr_org,0.004551054566544274
15,n_companies_NON-METALLIC MINERAL PRODUCTS,0.004431084496818244
16,emiss_agr_full,0.004417906933743778
17,n_jobs_TRADE REP VEHICLES,0.0043979372553921885
18,incumbant,0.004123951444553167
19,n_jobs_MAIL AND TELECOM,0.003912776170195815
20,overall_winner_corporate_job,0.003651828027908808
21,n_jobs_CLEANING AND SEWAGE,0.003610347234537985
22,runnerup_partido_PSDB,0.003571006546725118
23,n_companies_FOOD AND DRINKS,0.0035193535750326047
24,emiss_agropec_full,0.0035043568274196026
25,overall_winner_health_job,0.0034852390244404854
26,rain1,0.0034462562050402287
27,n_jobs_RUBBER AND PLASTIC,0.0033966437459436987
28,n_companies_RUBBER AND PLASTIC,0.003365042278434518
29,n_companies_TRADE REP VEHICLES,0.003363175905956214
30,soybean,0.003313139614830596
31,n_jobs_REAL ESTATE,0.0033097843480603796
32,construction_jobs,0.0032747251483579874
33,pasture,0.0032464177165472063
34,n_companies_WATER TREATMENT AND DISTRIBUTION,0.003204489408692334
35,n_companies_EDUCATION,0.003103776497564892
36,audits,0.003102967518228206
37,n_companies_ACCOMODATION AND FOOD,0.003101701038689878
38,n_jobs_CULTURE AND SPORT,0.0030527024007174493
39,n_jobs_AGRICULTURE,0.002953391482112766
40,n_companies_SERVICES FOR COMPANIES,0.002888943583190929
41,runnerup_partido_PL,0.0028644934099831304
42,n_jobs_SERVICES FOR COMPANIES,0.002858309101027364
43,near_roads,0.002844430135824172
44,n_companies_PUBLIC ADMIN,0.0027756840691222167
45,n_jobs_HEALTH,0.0027499323258623714
46,overall_winner_partido_PT,0.002725049596405908
47,term_limited_seat,0.0027190410794384373
48,gold,0.0026745770813911005
49,n_jobs_FINANCIAL ASSISTANCE,0.0026526852445651968
50,dilma,0.0026490265969539564
51,n_jobs_MINING,0.0026438499764936886
52,n_jobs_INSURANCE AND SOCIAL SECURITY,0.00253036946657986
53,n_jobs_EDITING AND PRINTING,0.0024892415722752317
54,n_companies_EQUIPMENT RENTAL,0.002287636930872902
55,n_companies_ASSOCIATIVE ACTIVITIES,0.0022529270930478056
56,n_companies_WHOLESALE,0.002237357150584256
57,n_companies_SMOKE,0.0022289494892823764
58,n_companies_HEALTH,0.002212132469371204
59,f_emitted_count,0.0022046964188426276
60,n_companies_CLEANING AND SEWAGE,0.002126928671020764
61,n_companies_DOMESTIC SERVICES,0.0020947630419920946
62,vote_participation_proportion,0.002080099868580291
63,n_companies_LEATHERS AND FOOTWEAR,0.0020677068891395717
64,n_companies_AGRICULTURE,0.0020536534475494193
65,soy_price,0.002050192009221267
66,aspect,0.002038720078293893
67,n_companies_TEXTILES,0.0020261629753049524
68,silver,0.0020210092737511553
69,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0019191544211094535
70,n_jobs_WATER-BASED TRANSPORTATION,0.0019021922129981996
71,n_jobs_AUTOMOBILES AND TRANSPORT,0.0018968926653430958
72,n_companies_TOTAL SERVICE,0.001890527001820665
73,n_companies_METALLIC PRODUCTS,0.0018738646745449787
74,ironore,0.0018580469850751527
75,n_jobs_EQUIPMENT RENTAL,0.001854243293258991
76,illegal_mining,0.0018297401106909467
77,n_companies_TRANSPORTATION,0.0018280828832258034
78,beef_price,0.0018235421709707933
79,expen_agri,0.001794732274672974
80,mining_jobs,0.0017918909687442068
81,copper,0.0017822737518305867
82,n_companies_CLOTHING,0.0017559882910382703
83,indigenous_homol,0.0017554785753211852
84,n_companies_MACHINERY,0.0017471276518223175
85,elevation,0.0017403226387766335
86,n_companies_MAIL AND TELECOM,0.0017403191184462328
87,n_companies_ELECTRICITY AND GAS,0.0017223023389733698
88,n_companies_TOTAL,0.001721320539148871
89,n_companies_FISHING AND AQUACULTURE,0.001711994421209458
90,ag_jobs,0.0017024369858365215
91,n_jobs_EDUCATION,0.0016982528975113657
92,pib_pc,0.0016905254037236001
93,overall_winner_professional_job,0.0016674685797233657
94,near_mines,0.0016427137454625188
95,n_companies_AUTOMOBILES AND TRANSPORT,0.0016306071489629612
96,n_jobs_TOTAL SERVICE,0.0016263060292137125
97,savanna,0.0016147700001124348
98,n_companies_FINANCES,0.001611560471020747
99,overall_winner_partido_PMDB_MDB,0.0016054787283965254
