,Feature,Coeff
31,n_companies_FOOD AND DRINKS,0.1190947078031571
111,n_jobs_COMPUTING,0.06916849649446398
159,emiss_agropec_full,0.06779528950669995
136,n_companies_TOTAL SERVICE,0.05582962197042493
134,n_jobs_TOTAL SERVICE,0.05302282949580882
138,n_jobs_TOTAL,0.0499066518006256
128,n_jobs_RESEARCH AND DEVELOPMENT,0.03833152210912202
113,n_jobs_METALLIC PRODUCTS,0.03565529637216133
118,n_jobs_INTERNATIONAL BODIES,0.03432816704743004
137,n_companies_TOTAL,0.034111556318713904
28,PIB,0.0337777787143986
16,populacao,0.032214217248103805
130,n_jobs_SMOKE,0.02779264052589782
1,rain1,0.025696825778449305
106,n_jobs_PERSONAL SERVICES,0.025688713505276597
66,n_companies_INTERNATIONAL BODIES,0.018089978944860762
135,n_companies_TOTAL INDUSTRIAL,0.016182943001198793
34,n_companies_WHOLESALE,0.015203323934053959
61,n_companies_METALLIC PRODUCTS,0.013977458407208565
37,n_companies_FINANCIAL ASSISTANCE,0.013936299967802821
144,expen_env_man,0.012395357394330123
142,f_emitted_count,0.011984869385364277
76,n_companies_RESEARCH AND DEVELOPMENT,0.011585643408350325
85,n_jobs_EQUIPMENT RENTAL,0.011510234121076416
95,n_jobs_EDUCATION,0.011155375981617786
133,n_jobs_TOTAL INDUSTRIAL,0.010592434775995746
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.00957275946545538
157,emiss_pec_full,0.008970372619900462
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.00789740347537605
83,n_jobs_FOOD AND DRINKS,0.00743984232329483
176,overall_winner_partido_DEM,0.007258977811886669
139,murder_threats,0.0070517491237040535
105,n_jobs_SERVICES FOR COMPANIES,0.006877719465325114
40,n_companies_MAIL AND TELECOM,0.006515438046589455
2,elevation,0.005755635569777147
47,n_companies_MACHINERY,0.005523205890503788
48,n_companies_BASIC METALLURGY,0.004140955222096458
98,n_jobs_CLEANING AND SEWAGE,0.0036879251702785125
77,n_companies_AERO TRANSPORT,0.0031864397431308243
54,n_companies_PERSONAL SERVICES,0.003129860017160804
3,slope,0.0025609138754588453
199,other_crop,0.0022030600677421163
71,n_companies_REAL ESTATE,0.0021840007380864177
53,n_companies_SERVICES FOR COMPANIES,0.0021181785350063605
4,aspect,0.0020374387175970763
120,n_jobs_FISHING AND AQUACULTURE,0.0020373759895103466
182,runnerup_partido_DEM,0.0019962176037415322
73,n_companies_LEATHERS AND FOOTWEAR,0.0019480678258975025
123,n_jobs_REAL ESTATE,0.0018691697239576542
165,overall_winner_agriculture_job,0.0018182220465209876
32,n_companies_ACCOMODATION AND FOOD,0.0017934683526860471
50,n_companies_WOOD PROD,0.0016975412256179535
129,n_jobs_AERO TRANSPORT,0.001690822358957669
167,overall_winner_health_job,0.0016822402058646714
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0016709202552823966
125,n_jobs_LEATHERS AND FOOTWEAR,0.0016603610265067909
124,n_jobs_RECYCLING,0.0015975551652742464
94,n_jobs_EDITING AND PRINTING,0.0015813808722849678
185,winner_votes_proportion,0.0015729854681442775
42,n_companies_EDITING AND PRINTING,0.0014799899616774602
52,n_companies_HEALTH,0.0011591316857261118
6,near_roads,0.001139711706674144
196,water,0.001126812649199044
33,n_companies_EQUIPMENT RENTAL,0.0010430379124892065
171,overall_winner_professional_job,0.0009837646662117366
5,near_mines,0.0009625493861843614
17,pib_pc,0.0009328134391160365
18,ironore,0.0009285655059190217
9,mun_election_year,0.0008709271925090387
203,forest_lag,0.0007805353929457524
193,mosaic_ag,0.0007692658518544733
38,n_companies_TRADE REP VEHICLES,0.0007591534259656652
197,soybean,0.0007409356987269412
143,expen_agri,0.0006729182325017677
89,n_jobs_FINANCIAL ASSISTANCE,0.0006009122017976372
104,n_jobs_HEALTH,0.00059579283979946
81,n_jobs_PUBLIC ADMIN,0.0005885808937155086
156,audits,0.0005706015148074989
191,pasture,0.0005668085515621189
101,n_jobs_MINING,0.0005453898232927797
92,n_jobs_MAIL AND TELECOM,0.0005250511414363878
127,n_jobs_TEXTILES,0.0005057580563350015
43,n_companies_EDUCATION,0.000467953554651519
72,n_companies_RECYCLING,0.0004512217735457982
24,ag_jobs,0.0004464066802477769
116,n_jobs_CLOTHING,0.00043839363044038835
155,illegal_industry,0.00042366362411073527
100,n_jobs_BASIC METALLURGY,0.0004158241276667782
115,n_jobs_FORESTRY,0.00041505076885860567
126,n_jobs_RUBBER AND PLASTIC,0.000411129623374941
65,n_companies_PAPER,0.0004063712804457565
121,n_jobs_CHEMICALS,0.000400758090261783
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0003698932822341326
15,fed_election_year,0.00036736894290393204
46,n_companies_CLEANING AND SEWAGE,0.00036694393058682185
67,n_companies_OIL AND GAS,0.0003641000099051355
180,runnerup_partido_PMDB_MDB,0.0003197317652916376
23,beef_price,0.00030248305936835977
49,n_companies_MINING,0.0003014391751850864
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.00027476864882966355
7,near_hidrovia,0.0002661616522845015
39,n_companies_CONSTRUCTION,0.00020679193233007635
86,n_jobs_WHOLESALE,0.00019211386077926457
45,n_companies_FINANCES,0.00018458874456116401
19,silver,0.00017048084011106303
122,n_jobs_WATER-BASED TRANSPORTATION,0.00015825044776936173
187,forest_formation,0.0001427555369969912
178,overall_winner_partido_other,0.00013849155957984158
140,assassination,0.00012357286509078464
55,n_companies_TRANSPORTATION,0.00011363991618926748
26,public_jobs,0.00010959026696809665
181,runnerup_partido_PSDB,8.632169308940969e-05
68,n_companies_FISHING AND AQUACULTURE,8.50130534800096e-05
21,gold,8.34720384166253e-05
186,vote_participation_proportion,7.740713106063923e-05
188,savanna,6.419541432358293e-05
63,n_companies_FORESTRY,5.755910435845896e-05
30,n_companies_AGRICULTURE,5.029699103609015e-05
99,n_jobs_MACHINERY,4.1126932735180554e-05
20,copper,3.8855147423018515e-05
70,n_companies_WATER-BASED TRANSPORTATION,2.8319309485344935e-05
108,n_jobs_GROUND TRANSPORT,1.1632086976691743e-05
93,n_jobs_CULTURE AND SPORT,9.135980599940042e-06
56,n_companies_GROUND TRANSPORT,8.163476999344704e-06
29,n_companies_PUBLIC ADMIN,9.458342304850839e-07
64,n_companies_CLOTHING,9.43550501945841e-07
36,n_companies_AUTOMOBILES AND TRANSPORT,8.865897895661397e-07
74,n_companies_RUBBER AND PLASTIC,2.3678424243982677e-07
11,lula,1.0354902406652512e-07
174,overall_winner_partido_PMDB_MDB,0.0
177,overall_winner_partido_PL,0.0
41,n_companies_CULTURE AND SPORT,0.0
175,overall_winner_partido_PSDB,0.0
198,rice,0.0
200,coffee,0.0
44,n_companies_ELECTRICITY AND GAS,0.0
201,citrus,0.0
12,dilma,0.0
179,runnerup_partido_PT,0.0
173,overall_winner_partido_PT,0.0
14,bolsonaro,0.0
10,new_forest_code,0.0
189,mangrove,0.0
190,silvicultura,0.0
22,soy_price,0.0
8,indigenous_homol,0.0
25,mining_jobs,0.0
195,mining,0.0
27,construction_jobs,0.0
192,sugarcane,0.0
184,runnerup_partido_other,0.0
13,temer,0.0
194,urban,0.0
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0
183,runnerup_partido_PL,0.0
164,overall_winner_feminino,0.0
172,overall_winner_mining_job,0.0
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0
91,n_jobs_CONSTRUCTION,0.0
151,expen_agr_defense,0.0
150,expen_other_agr,0.0
96,n_jobs_ELECTRICITY AND GAS,0.0
97,n_jobs_FINANCES,0.0
149,expen_prom_veg_pro,0.0
202,other_perennial,0.0
102,n_jobs_WOOD PROD,0.0
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0
148,expen_prom_ani_pro,0.0
147,expen_petrol,0.0
146,expen_mining,0.0
107,n_jobs_TRANSPORTATION,0.0
145,expen_agr_org,0.0
110,n_jobs_RETAIL,0.0
141,assassination_attempt,0.0
132,n_jobs_,0.0
114,n_jobs_DOMESTIC SERVICES,0.0
117,n_jobs_PAPER,0.0
131,n_jobs_PETROLEUM REFINING,0.0
119,n_jobs_OIL AND GAS,0.0
90,n_jobs_TRADE REP VEHICLES,0.0
152,expen_min_fuel,0.0
153,illegal_mining,0.0
69,n_companies_CHEMICALS,0.0
170,overall_winner_technical_job,0.0
169,overall_winner_law_job,0.0
168,overall_winner_corporate_job,0.0
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0
58,n_companies_RETAIL,0.0
59,n_companies_COMPUTING,0.0
166,overall_winner_public_service_job,0.0
62,n_companies_DOMESTIC SERVICES,0.0
163,overall_winner_complete_college,0.0
162,special,0.0
84,n_jobs_ACCOMODATION AND FOOD,0.0
161,term_limited_seat,0.0
75,n_companies_TEXTILES,0.0
160,incumbant,0.0
158,emiss_agr_full,0.0
78,n_companies_SMOKE,0.0
79,n_companies_PETROLEUM REFINING,0.0
80,n_companies_,0.0
82,n_jobs_AGRICULTURE,0.0
154,illegal_other,0.0
0,year,0.0
