,Feature,Coeff
31,n_companies_FOOD AND DRINKS,0.0016578864285194258
16,populacao,0.001623581447071545
134,n_jobs_TOTAL SERVICE,0.0014351676514513943
136,n_companies_TOTAL SERVICE,0.001299427678061453
138,n_jobs_TOTAL,0.0012780943730152901
159,emiss_agropec_full,0.0011332346494059798
106,n_jobs_PERSONAL SERVICES,0.001131135045364202
111,n_jobs_COMPUTING,0.0008922764917174216
137,n_companies_TOTAL,0.0007483737084841815
142,f_emitted_count,0.0006300122041862221
135,n_companies_TOTAL INDUSTRIAL,0.0006009477414274964
130,n_jobs_SMOKE,0.0005384923373577954
128,n_jobs_RESEARCH AND DEVELOPMENT,0.0005368511573045938
28,PIB,0.0005023467261921485
61,n_companies_METALLIC PRODUCTS,0.0004775266660493684
1,rain1,0.0004620990430367069
34,n_companies_WHOLESALE,0.0004544158016255075
48,n_companies_BASIC METALLURGY,0.00041528987334348884
66,n_companies_INTERNATIONAL BODIES,0.0004098200836896851
133,n_jobs_TOTAL INDUSTRIAL,0.00040087848870873615
76,n_companies_RESEARCH AND DEVELOPMENT,0.00039290456521262347
118,n_jobs_INTERNATIONAL BODIES,0.0003561680408903354
113,n_jobs_METALLIC PRODUCTS,0.0003488741512841523
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.00033985199362976143
50,n_companies_WOOD PROD,0.00024992601990383745
85,n_jobs_EQUIPMENT RENTAL,0.00024052933234451024
6,near_roads,0.0002067670163868642
139,murder_threats,0.0002031877898655067
95,n_jobs_EDUCATION,0.0002003883675084168
144,expen_env_man,0.0001976428970979878
26,public_jobs,0.00016732874107842452
68,n_companies_FISHING AND AQUACULTURE,0.00014248205903687072
47,n_companies_MACHINERY,0.00011775601056654777
157,emiss_pec_full,0.00011291848809993407
32,n_companies_ACCOMODATION AND FOOD,0.00011001243280922138
176,overall_winner_partido_DEM,0.00010396456355918839
37,n_companies_FINANCIAL ASSISTANCE,0.00010224123481128728
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,9.253089992097462e-05
182,runnerup_partido_DEM,8.949346439065526e-05
45,n_companies_FINANCES,8.250134859132933e-05
83,n_jobs_FOOD AND DRINKS,8.216176820141622e-05
81,n_jobs_PUBLIC ADMIN,8.029700775597146e-05
191,pasture,7.144137094231224e-05
40,n_companies_MAIL AND TELECOM,6.438126016427408e-05
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,6.433703013060995e-05
2,elevation,6.132969546739507e-05
29,n_companies_PUBLIC ADMIN,5.328933190240393e-05
105,n_jobs_SERVICES FOR COMPANIES,5.0575299319083146e-05
102,n_jobs_WOOD PROD,4.992503589860907e-05
98,n_jobs_CLEANING AND SEWAGE,4.729413952575815e-05
167,overall_winner_health_job,4.6875118905102555e-05
196,water,4.5258579893434615e-05
112,n_jobs_INSURANCE AND SOCIAL SECURITY,4.438899788147025e-05
53,n_companies_SERVICES FOR COMPANIES,4.3627685176766555e-05
41,n_companies_CULTURE AND SPORT,4.060417846041483e-05
3,slope,3.54764049942227e-05
123,n_jobs_REAL ESTATE,3.1635982766426504e-05
110,n_jobs_RETAIL,2.716438128948199e-05
23,beef_price,-2.4066351076011395e-05
171,overall_winner_professional_job,2.323507213323073e-05
125,n_jobs_LEATHERS AND FOOTWEAR,2.297317468477805e-05
73,n_companies_LEATHERS AND FOOTWEAR,2.2962978414116763e-05
43,n_companies_EDUCATION,2.0636540964684313e-05
143,expen_agri,2.057216101285432e-05
4,aspect,1.9738522497964206e-05
25,mining_jobs,1.9735091441085857e-05
54,n_companies_PERSONAL SERVICES,1.960042139064973e-05
120,n_jobs_FISHING AND AQUACULTURE,1.9107770894244847e-05
165,overall_winner_agriculture_job,1.7789853788789226e-05
129,n_jobs_AERO TRANSPORT,1.7411567653595804e-05
35,n_companies_ASSOCIATIVE ACTIVITIES,1.713733668313006e-05
18,ironore,-1.711345540703124e-05
