,Feature,Coeff
187,forest_formation,91.00325195221015
203,forest_lag,-90.1809744927629
136,n_companies_TOTAL SERVICE,0.06539267389902073
128,n_jobs_RESEARCH AND DEVELOPMENT,-0.06513182654430652
16,populacao,-0.04666912930479768
157,emiss_pec_full,0.0451650331373827
138,n_jobs_TOTAL,-0.04477090730937444
191,pasture,0.04264625981022472
56,n_companies_GROUND TRANSPORT,0.03576004850155806
168,overall_winner_corporate_job,0.03567543291334003
66,n_companies_INTERNATIONAL BODIES,0.03416744496622646
139,murder_threats,0.03377588936482946
43,n_companies_EDUCATION,0.03359913964211879
28,PIB,0.03163358206524566
134,n_jobs_TOTAL SERVICE,0.028179189212118965
135,n_companies_TOTAL INDUSTRIAL,-0.015064601074353095
130,n_jobs_SMOKE,-0.014173244042314907
78,n_companies_SMOKE,0.013727720316927174
137,n_companies_TOTAL,-0.013524447551284475
178,overall_winner_partido_other,-0.012674586731414597
159,emiss_agropec_full,-0.011132581718441437
175,overall_winner_partido_PSDB,-0.011043745847516473
89,n_jobs_FINANCIAL ASSISTANCE,-0.007227609245958777
111,n_jobs_COMPUTING,-0.007126767762086114
177,overall_winner_partido_PL,-0.0070803044201197774
173,overall_winner_partido_PT,-0.006848027579087782
72,n_companies_RECYCLING,0.006656683574758052
79,n_companies_PETROLEUM REFINING,0.006238484077059051
124,n_jobs_RECYCLING,-0.006089507187345808
174,overall_winner_partido_PMDB_MDB,-0.006076975723774693
94,n_jobs_EDITING AND PRINTING,0.005434616850327823
1,rain1,0.005377444188815651
26,public_jobs,-0.0052314923567472445
98,n_jobs_CLEANING AND SEWAGE,0.005217366433752614
99,n_jobs_MACHINERY,0.005081258811304519
77,n_companies_AERO TRANSPORT,0.0049200653507572465
170,overall_winner_technical_job,0.004770910164684316
81,n_jobs_PUBLIC ADMIN,0.004734804569359099
24,ag_jobs,-0.004688547970928264
114,n_jobs_DOMESTIC SERVICES,-0.004646083835802525
8,indigenous_homol,0.004383536927076723
133,n_jobs_TOTAL INDUSTRIAL,-0.004286718795381399
2,elevation,-0.00408756353874408
25,mining_jobs,0.004075249342133639
6,near_roads,0.0040365389417121676
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.00401733101885534
67,n_companies_OIL AND GAS,-0.003978233378081644
42,n_companies_EDITING AND PRINTING,-0.003908707744626313
197,soybean,0.003525020640516121
73,n_companies_LEATHERS AND FOOTWEAR,-0.003499907964108751
153,illegal_mining,0.003414038393516326
118,n_jobs_INTERNATIONAL BODIES,0.003404339590858877
101,n_jobs_MINING,-0.0030320732030254542
126,n_jobs_RUBBER AND PLASTIC,0.0029870714508325193
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0029565123585592076
17,pib_pc,-0.002946839332422275
61,n_companies_METALLIC PRODUCTS,0.002935821746625068
48,n_companies_BASIC METALLURGY,0.002886942660069275
69,n_companies_CHEMICALS,-0.0028787677727693237
35,n_companies_ASSOCIATIVE ACTIVITIES,-0.0028202450809409313
184,runnerup_partido_other,0.0027681894043833067
76,n_companies_RESEARCH AND DEVELOPMENT,0.002626674073666413
121,n_jobs_CHEMICALS,0.0025300912975285057
82,n_jobs_AGRICULTURE,0.0025172272097166585
131,n_jobs_PETROLEUM REFINING,-0.002423609967257997
129,n_jobs_AERO TRANSPORT,-0.0024007175016994334
123,n_jobs_REAL ESTATE,-0.0023719884986778475
140,assassination,-0.0023427543015283672
127,n_jobs_TEXTILES,0.002273895640317355
188,savanna,0.0022634973062483623
115,n_jobs_FORESTRY,0.0022473760892890446
95,n_jobs_EDUCATION,-0.002245552113424307
186,vote_participation_proportion,-0.0021250908075239323
158,emiss_agr_full,-0.0021139161431633774
45,n_companies_FINANCES,0.002085644678272777
181,runnerup_partido_PSDB,0.0019358201548609199
180,runnerup_partido_PMDB_MDB,0.001859128669957004
37,n_companies_FINANCIAL ASSISTANCE,-0.001775049648846011
144,expen_env_man,0.0017510524563278298
91,n_jobs_CONSTRUCTION,-0.001745808285450158
52,n_companies_HEALTH,-0.0017278558800212667
27,construction_jobs,0.0017039196595754966
110,n_jobs_RETAIL,-0.0016595297638507885
50,n_companies_WOOD PROD,-0.0016488949311125542
116,n_jobs_CLOTHING,0.0016248275751158253
167,overall_winner_health_job,0.0016175114321678795
88,n_jobs_AUTOMOBILES AND TRANSPORT,-0.001601875376221373
75,n_companies_TEXTILES,0.0016010417915719242
160,incumbant,-0.0015549716496829741
155,illegal_industry,-0.0015302179594373082
106,n_jobs_PERSONAL SERVICES,-0.0014859769685671817
122,n_jobs_WATER-BASED TRANSPORTATION,0.001481822071509775
125,n_jobs_LEATHERS AND FOOTWEAR,0.0014428691867393365
71,n_companies_REAL ESTATE,0.0014177516358655378
86,n_jobs_WHOLESALE,0.0014144942756998968
143,expen_agri,0.0013877568271936384
183,runnerup_partido_PL,0.0013454111240237337
29,n_companies_PUBLIC ADMIN,0.0013097973944811551
55,n_companies_TRANSPORTATION,-0.0013074376161647098
108,n_jobs_GROUND TRANSPORT,-0.0012829267786499086
102,n_jobs_WOOD PROD,-0.0012135209320817525
0,year,0.001180567056912526
74,n_companies_RUBBER AND PLASTIC,0.0011749888799631035
31,n_companies_FOOD AND DRINKS,-0.0011496372666114773
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0011494173327746206
179,runnerup_partido_PT,0.0011262396116317095
32,n_companies_ACCOMODATION AND FOOD,-0.0011187617451068146
