,Feature,Coeff
187,forest_formation,125.6157270801687
203,forest_lag,-124.87098735353818
136,n_companies_TOTAL SERVICE,0.42947743218751944
16,populacao,-0.2124753701987891
135,n_companies_TOTAL INDUSTRIAL,-0.18271778069725417
159,emiss_agropec_full,-0.1613480858766947
138,n_jobs_TOTAL,-0.16093510833995972
157,emiss_pec_full,0.1513048860085118
137,n_companies_TOTAL,-0.0894655717372099
72,n_companies_RECYCLING,0.07790245119612785
128,n_jobs_RESEARCH AND DEVELOPMENT,0.07578104213201683
78,n_companies_SMOKE,0.07039686447029848
133,n_jobs_TOTAL INDUSTRIAL,0.06990574278271121
28,PIB,0.06811339046177076
94,n_jobs_EDITING AND PRINTING,0.040381270317555853
143,expen_agri,0.039452731432987206
76,n_companies_RESEARCH AND DEVELOPMENT,-0.03826622626145704
1,rain1,0.032160754027790825
144,expen_env_man,0.029365994517501687
191,pasture,-0.02832989223322262
48,n_companies_BASIC METALLURGY,0.027416915908219618
69,n_companies_CHEMICALS,0.027062049469084838
8,indigenous_homol,0.025658153110572755
111,n_jobs_COMPUTING,-0.025549071429486418
24,ag_jobs,-0.023902264218114942
70,n_companies_WATER-BASED TRANSPORTATION,0.021195065091766163
81,n_jobs_PUBLIC ADMIN,0.020963845823411268
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.02093103878393272
29,n_companies_PUBLIC ADMIN,-0.02091317437133665
153,illegal_mining,0.02004252369380332
55,n_companies_TRANSPORTATION,-0.01823837685183089
43,n_companies_EDUCATION,-0.01722527978572066
6,near_roads,0.016673380141946484
106,n_jobs_PERSONAL SERVICES,-0.01646941780346318
46,n_companies_CLEANING AND SEWAGE,0.01562856373476506
167,overall_winner_health_job,-0.015503105741678763
62,n_companies_DOMESTIC SERVICES,-0.015494985941312035
35,n_companies_ASSOCIATIVE ACTIVITIES,-0.015174920032678152
27,construction_jobs,0.015093287549161638
33,n_companies_EQUIPMENT RENTAL,-0.015011065547514902
166,overall_winner_public_service_job,-0.014882748323841361
95,n_jobs_EDUCATION,-0.01460182404594626
83,n_jobs_FOOD AND DRINKS,-0.014503215189817412
177,overall_winner_partido_PL,0.01422683808838306
174,overall_winner_partido_PMDB_MDB,0.013750683333267403
116,n_jobs_CLOTHING,-0.01329990656893924
181,runnerup_partido_PSDB,-0.01285824643562978
197,soybean,0.01244340632750984
59,n_companies_COMPUTING,0.012058181671578665
26,public_jobs,-0.011585515952045985
45,n_companies_FINANCES,0.0115288616392617
38,n_companies_TRADE REP VEHICLES,-0.01152767206802378
173,overall_winner_partido_PT,0.0114099922777177
77,n_companies_AERO TRANSPORT,0.011353290029832699
53,n_companies_SERVICES FOR COMPANIES,0.01108684753833548
188,savanna,0.011045926619146381
56,n_companies_GROUND TRANSPORT,0.010924018490435419
90,n_jobs_TRADE REP VEHICLES,0.010872558917385162
158,emiss_agr_full,-0.010810781601925898
36,n_companies_AUTOMOBILES AND TRANSPORT,0.01076893037253224
139,murder_threats,-0.01050748182279156
121,n_jobs_CHEMICALS,0.010338428163143601
65,n_companies_PAPER,-0.01032012416776244
123,n_jobs_REAL ESTATE,-0.01023523128055448
91,n_jobs_CONSTRUCTION,-0.0101423558487007
170,overall_winner_technical_job,0.010105024125667144
52,n_companies_HEALTH,-0.01006830711937714
40,n_companies_MAIL AND TELECOM,0.00994241134946506
184,runnerup_partido_other,-0.009895169046348561
131,n_jobs_PETROLEUM REFINING,-0.009771149468393164
39,n_companies_CONSTRUCTION,0.009718271013501185
119,n_jobs_OIL AND GAS,-0.009541816012432279
124,n_jobs_RECYCLING,0.009116326233910151
107,n_jobs_TRANSPORTATION,0.00878966752890882
84,n_jobs_ACCOMODATION AND FOOD,-0.008783025495886419
98,n_jobs_CLEANING AND SEWAGE,0.008755316538869221
41,n_companies_CULTURE AND SPORT,0.008453657484536619
126,n_jobs_RUBBER AND PLASTIC,0.00838833043835934
89,n_jobs_FINANCIAL ASSISTANCE,-0.00835532571521936
178,overall_winner_partido_other,0.008223412037565301
155,illegal_industry,-0.008136666445507465
115,n_jobs_FORESTRY,0.008120524142181661
92,n_jobs_MAIL AND TELECOM,0.008011913583601721
186,vote_participation_proportion,-0.007880955105751621
182,runnerup_partido_DEM,-0.00783613989011676
63,n_companies_FORESTRY,0.00781482471394744
195,mining,-0.007783082751709899
31,n_companies_FOOD AND DRINKS,0.00775470612507328
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.007714991826640899
130,n_jobs_SMOKE,-0.007613262110428121
129,n_jobs_AERO TRANSPORT,-0.00758631106852028
176,overall_winner_partido_DEM,0.00752148289986844
75,n_companies_TEXTILES,0.007335655287502579
110,n_jobs_RETAIL,-0.00724457221364422
30,n_companies_AGRICULTURE,0.007148550372804159
47,n_companies_MACHINERY,0.007067332689977201
196,water,-0.006880425274685666
142,f_emitted_count,0.006591012307484491
49,n_companies_MINING,-0.0065725418040958996
96,n_jobs_ELECTRICITY AND GAS,0.006378459531145087
7,near_hidrovia,-0.0059573752210525625
104,n_jobs_HEALTH,-0.005934504401895781
127,n_jobs_TEXTILES,0.00582582676566557
165,overall_winner_agriculture_job,-0.0056227084659760205
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,-0.005574556730461007
34,n_companies_WHOLESALE,0.0055144885130504855
145,expen_agr_org,-0.005359848260223586
171,overall_winner_professional_job,0.005225132932781376
113,n_jobs_METALLIC PRODUCTS,0.0050604298502924605
134,n_jobs_TOTAL SERVICE,0.0050349059845724575
68,n_companies_FISHING AND AQUACULTURE,0.004884141812966985
9,mun_election_year,-0.0048756610622983625
185,winner_votes_proportion,0.00485731994498764
180,runnerup_partido_PMDB_MDB,-0.004730980387204014
101,n_jobs_MINING,-0.0047165253130903
99,n_jobs_MACHINERY,-0.00456919413314448
100,n_jobs_BASIC METALLURGY,-0.00443597305641234
125,n_jobs_LEATHERS AND FOOTWEAR,-0.004327399957280301
73,n_companies_LEATHERS AND FOOTWEAR,0.00429122481194968
17,pib_pc,0.004286384761923168
108,n_jobs_GROUND TRANSPORT,0.004281720261910739
51,n_companies_NON-METALLIC MINERAL PRODUCTS,-0.0042284544203401745
79,n_companies_PETROLEUM REFINING,-0.0042247776658991595
