,Feature,Coeff
0,forest_formation,0.46473495002824644
1,forest_lag,0.46301313567238217
2,soy_price,0.005894430268947844
3,gold,0.004779224596591838
4,year,0.0034092180160249876
5,n_companies_INSURANCE AND SOCIAL SECURITY,0.002833320191349879
6,overall_winner_complete_college,0.002306506080378729
7,n_jobs_TRANSPORTATION,0.002235429346909851
8,ag_jobs,0.0019234235645346708
9,construction_jobs,0.0014916023664032082
10,emiss_agr_full,0.0014748496441709068
11,n_jobs_PUBLIC ADMIN,0.0014535717615854643
12,expen_agr_org,0.0013141613494620152
13,n_companies_DOMESTIC SERVICES,0.0012832412012752682
14,n_jobs_BASIC METALLURGY,0.001031910683394028
15,n_companies_OIL AND GAS,0.0010218020402447661
16,n_companies_MINING,0.0009834654320610963
17,n_companies_FISHING AND AQUACULTURE,0.0009038109132659958
18,n_jobs_EDUCATION,0.0008230502107043241
19,near_roads,0.0008215206354097773
20,n_companies_TRANSPORTATION,0.0007664055969542567
21,n_companies_CLOTHING,0.0007537342698314247
22,n_companies_RECYCLING,0.000751108154256276
23,n_jobs_PAPER,0.0007482261556930568
24,lula,0.0006704716919393274
25,public_jobs,0.0006247828749683617
26,n_jobs_OIL AND GAS,0.0006246233878718848
27,n_companies_CLEANING AND SEWAGE,0.0006123098108366582
28,n_companies_EQUIPMENT RENTAL,0.0005981537520654848
29,mun_election_year,0.000593228495889631
30,vote_participation_proportion,0.000551156237352541
31,mining_jobs,0.0005498301260974668
32,n_companies_RETAIL,0.0005386550738706046
33,n_companies_SERVICES FOR COMPANIES,0.0005333378089543297
34,n_jobs_TOTAL SERVICE,0.0005185880600406225
35,n_jobs_COMPUTING,0.0005143414803332071
36,n_companies_GROUND TRANSPORT,0.0005054827273369237
37,n_jobs_TOTAL,0.00048411758270707037
38,dilma,0.0004827955926700698
39,fed_election_year,0.00044660053524237984
40,aspect,0.00044397665353951055
41,n_jobs_CLOTHING,0.0004343926313418521
42,n_companies_TOTAL SERVICE,0.0004126931207626494
43,n_jobs_TEXTILES,0.0004109801797627024
44,n_jobs_RETAIL,0.0003840782323439522
45,n_jobs_HEALTH,0.0003343299304373568
46,silver,0.0003235767437905642
47,beef_price,0.0003218334656322131
48,PIB,0.0003177791874920772
49,copper,0.0003128964430018906
50,n_companies_TEXTILES,0.00029444072482399816
51,n_jobs_CONSTRUCTION,0.00029219428073144126
52,n_companies_EDITING AND PRINTING,0.0002687954022223807
53,near_mines,0.0002686579788539237
54,n_jobs_CHEMICALS,0.000258154429542266
55,n_jobs_FINANCIAL ASSISTANCE,0.0002517229908955973
56,n_jobs_FOOD AND DRINKS,0.0002471175994872549
57,pib_pc,0.0002458027821236772
58,n_companies_AERO TRANSPORT,0.0002340711109446806
59,n_jobs_FORESTRY,0.00022641789934108066
60,n_jobs_AGRICULTURE,0.0002261326056163859
61,silvicultura,0.00022468953776646157
