,Feature,Coeff
203,forest_lag,282.4977603581141
187,forest_formation,-282.43575796698474
138,n_jobs_TOTAL,0.23229916721797095
159,emiss_agropec_full,0.22572580259513195
184,runnerup_partido_other,0.22236420242925828
180,runnerup_partido_PMDB_MDB,0.1876890418335752
134,n_jobs_TOTAL SERVICE,-0.1816369598368568
181,runnerup_partido_PSDB,0.18134241665278425
191,pasture,0.1554976900820122
179,runnerup_partido_PT,0.13451355670463894
136,n_companies_TOTAL SERVICE,-0.12820761330882702
182,runnerup_partido_DEM,0.1254475040258825
135,n_companies_TOTAL INDUSTRIAL,-0.11486110030697369
199,other_crop,0.09406449285610799
113,n_jobs_METALLIC PRODUCTS,0.08761135674226055
100,n_jobs_BASIC METALLURGY,-0.08462569010549144
157,emiss_pec_full,-0.07989665204479016
173,overall_winner_partido_PT,-0.06603823082026294
154,illegal_other,0.06527746601092323
107,n_jobs_TRANSPORTATION,0.06398655856424124
0,year,0.06236382179353661
52,n_companies_HEALTH,0.0600950528590686
32,n_companies_ACCOMODATION AND FOOD,0.05999201001850405
139,murder_threats,-0.059353821008698286
178,overall_winner_partido_other,-0.05736150940881038
185,winner_votes_proportion,0.055764785073031065
86,n_jobs_WHOLESALE,0.04979638149729691
143,expen_agri,-0.04899763726681749
95,n_jobs_EDUCATION,0.04851325425456039
16,populacao,0.047518495175450697
94,n_jobs_EDITING AND PRINTING,-0.04609069358818146
98,n_jobs_CLEANING AND SEWAGE,0.04536930038349903
50,n_companies_WOOD PROD,0.04511939500544555
146,expen_mining,-0.04421018358627309
175,overall_winner_partido_PSDB,-0.043657916320551965
123,n_jobs_REAL ESTATE,-0.04321330321982916
158,emiss_agr_full,0.03917694857150806
69,n_companies_CHEMICALS,-0.039098658378038095
155,illegal_industry,-0.038838101943419454
6,near_roads,-0.038482243356343794
115,n_jobs_FORESTRY,-0.03750903991625255
56,n_companies_GROUND TRANSPORT,-0.037189571831864617
34,n_companies_WHOLESALE,-0.03627162360020439
114,n_jobs_DOMESTIC SERVICES,-0.03616831967983741
197,soybean,-0.0338910387811071
24,ag_jobs,-0.0331597550698991
96,n_jobs_ELECTRICITY AND GAS,-0.03262791037000952
174,overall_winner_partido_PMDB_MDB,-0.032361081776314256
141,assassination_attempt,0.032356359375939954
92,n_jobs_MAIL AND TELECOM,0.03172906297048575
