,Feature,Coeff
187,forest_formation,3.9853956860992485
203,forest_lag,-3.9349467207312756
114,n_jobs_DOMESTIC SERVICES,0.8397162015840226
89,n_jobs_FINANCIAL ASSISTANCE,-0.7036365294959095
94,n_jobs_EDITING AND PRINTING,0.516831245331001
113,n_jobs_METALLIC PRODUCTS,-0.37068755225983774
74,n_companies_RUBBER AND PLASTIC,0.36648267934094286
73,n_companies_LEATHERS AND FOOTWEAR,0.32484339878165086
98,n_jobs_CLEANING AND SEWAGE,-0.32405620932207485
118,n_jobs_INTERNATIONAL BODIES,-0.26476152548624116
69,n_companies_CHEMICALS,0.24257861472137773
62,n_companies_DOMESTIC SERVICES,-0.1941770380702442
124,n_jobs_RECYCLING,0.18075512090580204
67,n_companies_OIL AND GAS,0.17268063675573975
123,n_jobs_REAL ESTATE,0.16570300800429083
75,n_companies_TEXTILES,0.146632040558773
99,n_jobs_MACHINERY,0.14107171289389545
116,n_jobs_CLOTHING,0.13161715763175166
48,n_companies_BASIC METALLURGY,-0.11257360814544144
107,n_jobs_TRANSPORTATION,-0.11113189239200374
47,n_companies_MACHINERY,0.10014412974862207
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,-0.0989077667596739
100,n_jobs_BASIC METALLURGY,0.09492854887767212
66,n_companies_INTERNATIONAL BODIES,-0.09438770783374545
37,n_companies_FINANCIAL ASSISTANCE,-0.08644972402836061
52,n_companies_HEALTH,-0.07434351155030133
112,n_jobs_INSURANCE AND SOCIAL SECURITY,-0.06868394796066034
46,n_companies_CLEANING AND SEWAGE,0.06784112552054694
106,n_jobs_PERSONAL SERVICES,0.05709621183443449
59,n_companies_COMPUTING,0.05648195800795687
42,n_companies_EDITING AND PRINTING,0.05570171207108729
68,n_companies_FISHING AND AQUACULTURE,0.05358326841908072
72,n_companies_RECYCLING,0.05107763020501066
129,n_jobs_AERO TRANSPORT,-0.047289900188468285
33,n_companies_EQUIPMENT RENTAL,0.04470796361200396
95,n_jobs_EDUCATION,-0.044547945844559
