,Feature,Coeff
187,forest_formation,-666.0384588178937
203,forest_lag,665.661903624027
159,emiss_agropec_full,0.5174093351383876
191,pasture,0.41842998291158584
157,emiss_pec_full,-0.3504145942927609
136,n_companies_TOTAL SERVICE,-0.2655381347164355
28,PIB,0.263476866089331
138,n_jobs_TOTAL,0.21744609967011372
99,n_jobs_MACHINERY,-0.18572009963605338
117,n_jobs_PAPER,0.17786627995069046
119,n_jobs_OIL AND GAS,-0.17284063448220385
155,illegal_industry,-0.16945291527118922
82,n_jobs_AGRICULTURE,0.16113328734642562
67,n_companies_OIL AND GAS,0.16076760205148177
166,overall_winner_public_service_job,0.15283830058123776
84,n_jobs_ACCOMODATION AND FOOD,0.14714425985590499
133,n_jobs_TOTAL INDUSTRIAL,-0.13690629953123687
180,runnerup_partido_PMDB_MDB,0.13687468348460266
1,rain1,-0.13156233865095313
184,runnerup_partido_other,0.1313839747880868
8,indigenous_homol,-0.12279411400690388
175,overall_winner_partido_PSDB,0.1216987390104374
83,n_jobs_FOOD AND DRINKS,0.11836770147820745
100,n_jobs_BASIC METALLURGY,0.11710970838894451
92,n_jobs_MAIL AND TELECOM,-0.10823128028850895
6,near_roads,-0.10735711727337495
134,n_jobs_TOTAL SERVICE,-0.10726863914394828
115,n_jobs_FORESTRY,-0.104086203465762
127,n_jobs_TEXTILES,0.10333617972557863
160,incumbant,-0.10186056648343107
181,runnerup_partido_PSDB,0.10094229949635873
182,runnerup_partido_DEM,0.09759423422065666
121,n_jobs_CHEMICALS,-0.0950787749473482
43,n_companies_EDUCATION,0.09257636883294945
35,n_companies_ASSOCIATIVE ACTIVITIES,0.09193184672185827
76,n_companies_RESEARCH AND DEVELOPMENT,0.08992622445397719
178,overall_winner_partido_other,0.08692843713332792
16,populacao,0.08578448419011488
44,n_companies_ELECTRICITY AND GAS,-0.08398805156283629
30,n_companies_AGRICULTURE,-0.08234820150812971
110,n_jobs_RETAIL,0.08218641877905764
29,n_companies_PUBLIC ADMIN,0.08159909026863127
108,n_jobs_GROUND TRANSPORT,-0.07927984751499143
97,n_jobs_FINANCES,-0.07819595137330454
123,n_jobs_REAL ESTATE,0.07795206137306457
0,year,-0.07650610537079577
165,overall_winner_agriculture_job,0.07637925150714168
168,overall_winner_corporate_job,0.07491459053020567
72,n_companies_RECYCLING,-0.07379398346387202
55,n_companies_TRANSPORTATION,0.07331245451124424
167,overall_winner_health_job,0.07152494998493254
53,n_companies_SERVICES FOR COMPANIES,-0.06687346822455459
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.06652955863623362
114,n_jobs_DOMESTIC SERVICES,-0.064767633350312
174,overall_winner_partido_PMDB_MDB,0.06244132360175504
197,soybean,-0.061119110809188984
41,n_companies_CULTURE AND SPORT,-0.060801082450194076
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.05989677077047998
71,n_companies_REAL ESTATE,-0.057542524646151755
185,winner_votes_proportion,0.05599570917152505
90,n_jobs_TRADE REP VEHICLES,-0.05544553915150633
186,vote_participation_proportion,0.055226573585457496
154,illegal_other,-0.05333194866572492
50,n_companies_WOOD PROD,0.053220791023394845
140,assassination,0.053104347312045205
47,n_companies_MACHINERY,-0.05268205600152439
95,n_jobs_EDUCATION,-0.05229976779808028
27,construction_jobs,0.051909605478395855
156,audits,0.05061535805487971
196,water,0.05038956929837756
