,Feature,Coeff
3,slope,0.7277662853818649
75,n_companies_TEXTILES,0.14610611573802879
160,incumbant,0.012933884478882093
142,f_emitted_count,0.012082973253007206
191,pasture,0.011918565232997105
108,n_jobs_GROUND TRANSPORT,0.010345162188312988
76,n_companies_RESEARCH AND DEVELOPMENT,0.008928754071406678
123,n_jobs_REAL ESTATE,0.008812753792146931
35,n_companies_ASSOCIATIVE ACTIVITIES,0.007966735345172641
159,emiss_agropec_full,0.005644713838456527
5,near_mines,0.004368933003396251
31,n_companies_FOOD AND DRINKS,0.003935139027222744
42,n_companies_EDITING AND PRINTING,0.003374950340199954
1,rain1,0.002988927549864651
104,n_jobs_HEALTH,0.0027628768921504924
133,n_jobs_TOTAL INDUSTRIAL,0.0027249472138992756
155,illegal_industry,0.002000684981326864
185,winner_votes_proportion,0.0017978046291246648
137,n_companies_TOTAL,0.0016575542794501918
113,n_jobs_METALLIC PRODUCTS,0.001644905311838725
157,emiss_pec_full,0.0014612901870843214
34,n_companies_WHOLESALE,0.0013910638315526162
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0011970019172876096
158,emiss_agr_full,0.0011692181888328754
40,n_companies_MAIL AND TELECOM,0.0010314373302548405
135,n_companies_TOTAL INDUSTRIAL,0.0009348615321402555
97,n_jobs_FINANCES,0.000920196301021553
58,n_companies_RETAIL,0.000897552482762696
6,near_roads,0.0008843146736440024
39,n_companies_CONSTRUCTION,0.0008474291075449993
4,aspect,0.0008145696508399136
28,PIB,0.0007803925485535235
32,n_companies_ACCOMODATION AND FOOD,0.0007291956826557095
49,n_companies_MINING,0.0007013355073178165
29,n_companies_PUBLIC ADMIN,0.000627830487890321
203,forest_lag,0.0005742805759852754
82,n_jobs_AGRICULTURE,0.0004434289570650074
2,elevation,0.0004362576737461981
59,n_companies_COMPUTING,0.0004290716387376857
84,n_jobs_ACCOMODATION AND FOOD,0.00032768659874359685
56,n_companies_GROUND TRANSPORT,0.00030550021335745166
24,ag_jobs,0.0002867454931698474
52,n_companies_HEALTH,0.00028013739123107295
71,n_companies_REAL ESTATE,0.00026654930980890925
143,expen_agri,0.0002309308725076788
7,near_hidrovia,0.0002100496117391226
153,illegal_mining,0.00018113730737584233
26,public_jobs,0.00017140833838843368
196,water,0.0001647706014264776
94,n_jobs_EDITING AND PRINTING,0.00015269028980888439
93,n_jobs_CULTURE AND SPORT,0.00014751755621781834
16,populacao,0.0001237177863066864
69,n_companies_CHEMICALS,0.00010486603361560754
30,n_companies_AGRICULTURE,0.00010368665441561796
127,n_jobs_TEXTILES,0.00010267625109526969
38,n_companies_TRADE REP VEHICLES,9.434729737336287e-05
53,n_companies_SERVICES FOR COMPANIES,9.371823136446522e-05
17,pib_pc,6.715748064641276e-05
102,n_jobs_WOOD PROD,5.5428558156576085e-05
55,n_companies_TRANSPORTATION,5.437483557464186e-05
110,n_jobs_RETAIL,5.386832108854855e-05
36,n_companies_AUTOMOBILES AND TRANSPORT,4.590670147014003e-05
44,n_companies_ELECTRICITY AND GAS,4.55441838740745e-05
107,n_jobs_TRANSPORTATION,3.639076614702842e-05
144,expen_env_man,3.5277004070351364e-05
101,n_jobs_MINING,2.5297993880816614e-05
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,2.1692168425084265e-05
41,n_companies_CULTURE AND SPORT,1.7969497226332272e-05
63,n_companies_FORESTRY,1.7947175951001242e-05
43,n_companies_EDUCATION,1.7679224728977328e-05
23,beef_price,1.737676218444082e-05
138,n_jobs_TOTAL,1.5794176601348953e-05
148,expen_prom_ani_pro,1.3328397603470115e-05
86,n_jobs_WHOLESALE,1.2939765414986237e-05
90,n_jobs_TRADE REP VEHICLES,9.916110074842078e-06
186,vote_participation_proportion,9.543921348245778e-06
62,n_companies_DOMESTIC SERVICES,9.301227113111283e-06
73,n_companies_LEATHERS AND FOOTWEAR,6.468363094052647e-06
