,Feature,Coeff
0,expen_prom_ani_pro,0.11893880530072146
1,n_companies_OIL AND GAS,0.03448992293143869
2,soy_price,0.031327631695180366
3,gold,0.027481451330809373
4,populacao,0.02550933152439137
5,n_jobs_EQUIPMENT RENTAL,0.025272359250536208
6,silver,0.025030972721951556
7,n_jobs_GROUND TRANSPORT,0.024319716406542003
8,construction_jobs,0.021291694423792272
9,illegal_industry,0.020681672485551358
10,n_jobs_TOTAL,0.019025106975828487
11,year,0.01866081616173219
12,overall_winner_partido_PSDB,0.017217977205627455
13,ag_jobs,0.014512505314734197
14,copper,0.013826556014258128
15,n_jobs_HEALTH,0.012933633028338387
16,murder_threats,0.012833277053523096
17,slope,0.012630808740522869
18,n_jobs_WHOLESALE,0.011698852948382866
19,n_companies_MACHINERY,0.011537201795727205
20,n_companies_TOTAL INDUSTRIAL,0.01093301816568924
21,runnerup_partido_other,0.010910570276953987
22,n_companies_EQUIPMENT RENTAL,0.010901193758651019
23,n_companies_SMOKE,0.01022494811032133
24,n_companies_CLEANING AND SEWAGE,0.010016327360921737
25,near_mines,0.009971808840691057
26,forest_lag,0.009553829689110274
27,n_companies_CONSTRUCTION,0.009150434718621083
28,n_companies_HEALTH,0.008896059587694091
29,indigenous_homol,0.008769487149463354
30,n_jobs_EDUCATION,0.008529394492270815
31,emiss_agropec_full,0.008514600593721002
32,rain1,0.008209315791187157
33,n_companies_AUTOMOBILES AND TRANSPORT,0.008144311175218116
34,pib_pc,0.008128215191158446
35,n_companies_PAPER,0.008103282674519749
36,n_jobs_TOTAL SERVICE,0.007616412448162854
37,n_jobs_TOTAL INDUSTRIAL,0.007607219991117762
38,expen_agri,0.007502798466135185
39,PIB,0.007228705513059882
40,n_companies_TRADE REP VEHICLES,0.006909179367328674
41,overall_winner_public_service_job,0.006823019596363312
42,overall_winner_partido_PL,0.006715806652639871
43,overall_winner_complete_college,0.0066885652779610895
44,n_companies_FOOD AND DRINKS,0.006596695694773341
45,n_jobs_WOOD PROD,0.006529070477298936
46,aspect,0.006208855921903436
47,n_jobs_PUBLIC ADMIN,0.006161680988807887
48,ironore,0.00615871132156002
49,n_companies_TOTAL,0.006024497373335873
50,n_companies_RUBBER AND PLASTIC,0.005984853272391636
51,expen_env_man,0.0057681901259563515
52,n_companies_NON-METALLIC MINERAL PRODUCTS,0.005620571847639242
53,mining_jobs,0.005440639222855981
54,n_jobs_CONSTRUCTION,0.005266499874129009
55,n_jobs_FISHING AND AQUACULTURE,0.005163635716794394
56,n_companies_DOMESTIC SERVICES,0.0050888361756331385
57,n_companies_FINANCES,0.005075252027202724
58,n_jobs_MINING,0.005027398550291908
59,n_companies_AGRICULTURE,0.0049444079524753205
60,overall_winner_partido_other,0.004882775878006043
61,mun_election_year,0.004787736044140382
62,n_companies_ASSOCIATIVE ACTIVITIES,0.004787558158418676
63,n_jobs_FORESTRY,0.004567637920417664
64,n_companies_FORESTRY,0.004317899831220984
65,overall_winner_partido_PT,0.00431512957787042
66,n_jobs_AERO TRANSPORT,0.004285883857347157
67,forest_formation,0.004255971337451784
68,public_jobs,0.004136443549956721
69,assassination,0.004075086364412523
70,runnerup_partido_PMDB_MDB,0.004071941498012037
71,overall_winner_corporate_job,0.0040692401554664505
72,emiss_pec_full,0.0038929622101885773
