,Feature,Coeff
3,slope,0.3643663089300354
108,n_jobs_GROUND TRANSPORT,0.15534870868839867
75,n_companies_TEXTILES,0.10423149807812204
5,near_mines,0.06839995853325705
127,n_jobs_TEXTILES,0.03896165266865113
7,near_hidrovia,0.029372100478187738
73,n_companies_LEATHERS AND FOOTWEAR,0.025817367953533947
102,n_jobs_WOOD PROD,0.01608731484006646
94,n_jobs_EDITING AND PRINTING,0.015288970096700959
116,n_jobs_CLOTHING,0.015064390092318945
76,n_companies_RESEARCH AND DEVELOPMENT,0.012069201762184486
61,n_companies_METALLIC PRODUCTS,0.009727358459097942
185,winner_votes_proportion,0.008919142781115321
113,n_jobs_METALLIC PRODUCTS,0.008784387469971807
42,n_companies_EDITING AND PRINTING,0.008178873121805938
35,n_companies_ASSOCIATIVE ACTIVITIES,0.007234796214040319
157,emiss_pec_full,0.006747189652402022
191,pasture,0.006654553986598242
69,n_companies_CHEMICALS,0.006112930915090218
38,n_companies_TRADE REP VEHICLES,0.005917077789496828
142,f_emitted_count,0.005486915495920705
160,incumbant,0.004884619014214255
133,n_jobs_TOTAL INDUSTRIAL,0.00392451180054915
123,n_jobs_REAL ESTATE,0.0031764469712831905
36,n_companies_AUTOMOBILES AND TRANSPORT,0.003087352528476952
33,n_companies_EQUIPMENT RENTAL,0.0026764099091412382
139,murder_threats,0.002569132196763577
125,n_jobs_LEATHERS AND FOOTWEAR,0.0023950566672987167
135,n_companies_TOTAL INDUSTRIAL,0.002286894024774177
32,n_companies_ACCOMODATION AND FOOD,0.0020982991562753083
24,ag_jobs,0.0019980208418193105
4,aspect,0.001806739388524611
34,n_companies_WHOLESALE,0.0018048707085938694
54,n_companies_PERSONAL SERVICES,0.0017508390666582288
97,n_jobs_FINANCES,0.0017476075499048378
37,n_companies_FINANCIAL ASSISTANCE,0.0016462990332929217
6,near_roads,0.001534475865473378
104,n_jobs_HEALTH,0.0015200900802750101
137,n_companies_TOTAL,0.0014825408737611106
121,n_jobs_CHEMICALS,0.001377856913392157
67,n_companies_OIL AND GAS,0.0013638945244854445
82,n_jobs_AGRICULTURE,0.0013133556013637706
86,n_jobs_WHOLESALE,0.001278460963690469
63,n_companies_FORESTRY,0.00125868950642675
188,savanna,0.0012301137648461254
30,n_companies_AGRICULTURE,0.0011341959894313938
59,n_companies_COMPUTING,0.0011203271982158504
110,n_jobs_RETAIL,0.0010558614556417133
158,emiss_agr_full,0.0009739633676830943
52,n_companies_HEALTH,0.0009480399958111376
55,n_companies_TRANSPORTATION,0.0009140593616135082
186,vote_participation_proportion,0.0008778008373322419
155,illegal_industry,0.0008350991075326507
65,n_companies_PAPER,0.0008061813578319912
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0007783317278759324
101,n_jobs_MINING,0.0007511263924934907
203,forest_lag,0.0006984756409857059
50,n_companies_WOOD PROD,0.0006841960056124706
1,rain1,0.0006819187702314807
143,expen_agri,0.0006637502748561617
105,n_jobs_SERVICES FOR COMPANIES,0.0006419470587873427
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0006148317994404842
187,forest_formation,0.0006033584093781331
156,audits,0.0005895649554174385
26,public_jobs,0.0005267533654078819
29,n_companies_PUBLIC ADMIN,0.0004910717706647056
83,n_jobs_FOOD AND DRINKS,0.0004875196280235135
47,n_companies_MACHINERY,0.0004844038204885882
70,n_companies_WATER-BASED TRANSPORTATION,0.00045078028314493335
46,n_companies_CLEANING AND SEWAGE,0.00044090436344041236
126,n_jobs_RUBBER AND PLASTIC,0.00043266427809829534
134,n_jobs_TOTAL SERVICE,0.00041770027892982614
107,n_jobs_TRANSPORTATION,0.00040349634624496536
49,n_companies_MINING,0.00039437514000720784
2,elevation,0.00039310382984037795
58,n_companies_RETAIL,0.0003730261173229827
84,n_jobs_ACCOMODATION AND FOOD,0.0003697258524625702
164,overall_winner_feminino,0.00036289722693928967
93,n_jobs_CULTURE AND SPORT,0.0003414880334590211
90,n_jobs_TRADE REP VEHICLES,0.00033385769756900024
31,n_companies_FOOD AND DRINKS,0.0003257051773593966
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.00032501934404123947
115,n_jobs_FORESTRY,0.00031511543586084306
16,populacao,0.00029380348904383427
78,n_companies_SMOKE,0.0002601640181571002
95,n_jobs_EDUCATION,0.0002495482884685933
53,n_companies_SERVICES FOR COMPANIES,0.0002447542506524945
39,n_companies_CONSTRUCTION,0.00024318552525396804
111,n_jobs_COMPUTING,0.0002398961620041931
184,runnerup_partido_other,0.0002336253892887419
183,runnerup_partido_PL,0.00022855527279125977
71,n_companies_REAL ESTATE,0.0002282346588266165
40,n_companies_MAIL AND TELECOM,0.00022549897606825031
159,emiss_agropec_full,0.0002174543623489432
144,expen_env_man,0.00021189340870744126
148,expen_prom_ani_pro,0.0001974007232370549
17,pib_pc,0.00019371272947196777
27,construction_jobs,0.0001907042552972964
114,n_jobs_DOMESTIC SERVICES,0.0001793767307858127
138,n_jobs_TOTAL,0.00017736096652315103
25,mining_jobs,0.00017068541377174648
56,n_companies_GROUND TRANSPORT,0.00016967480571917113
62,n_companies_DOMESTIC SERVICES,0.00015819752814723176
74,n_companies_RUBBER AND PLASTIC,0.0001580730582527821
20,copper,0.00015764694773056352
178,overall_winner_partido_other,0.00014848009497752952
9,mun_election_year,0.00014464537516922253
169,overall_winner_law_job,0.00014090382527699334
153,illegal_mining,0.0001305515161325766
28,PIB,0.00012989351544094677
41,n_companies_CULTURE AND SPORT,0.0001280008995763593
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.00012749437238351565
43,n_companies_EDUCATION,0.00012714057728609754
106,n_jobs_PERSONAL SERVICES,0.00012094819187339873
99,n_jobs_MACHINERY,0.00011915884085716984
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.00011683471247749315
0,year,0.00010756609647609639
171,overall_winner_professional_job,0.00010658990601748337
