,Feature,Coeff
187,forest_formation,0.5836093259830976
203,forest_lag,0.3781304540798896
191,pasture,0.016170242502955
159,emiss_agropec_full,0.004360173112485733
199,other_crop,0.0035495464639945305
115,n_jobs_FORESTRY,0.0015302462066889109
181,runnerup_partido_PSDB,0.0014594606382696592
102,n_jobs_WOOD PROD,0.0010773912568575442
1,rain1,0.0009793680096104758
50,n_companies_WOOD PROD,0.0008473404269722784
7,near_hidrovia,0.0006577026524106033
17,pib_pc,0.0004473624303467519
157,emiss_pec_full,0.0004083369878771722
193,mosaic_ag,0.0003869961665078307
24,ag_jobs,0.00037931827664486816
5,near_mines,0.0003516267072684062
23,beef_price,0.00034819913579195
69,n_companies_CHEMICALS,0.00031414912886277305
58,n_companies_RETAIL,0.00028679264543739896
46,n_companies_CLEANING AND SEWAGE,0.00024317282139173853
6,near_roads,0.00023450534378577774
196,water,0.00020485546897314685
195,mining,0.00018255114955570347
126,n_jobs_RUBBER AND PLASTIC,0.00017922949759718217
138,n_jobs_TOTAL,0.00016066134189976795
2,elevation,0.00015055946679518612
190,silvicultura,0.0001435887801306644
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0001402880415453386
19,silver,0.00013637245220901798
18,ironore,0.000123947986031771
63,n_companies_FORESTRY,0.00011679407644267835
121,n_jobs_CHEMICALS,0.0001150502700803094
98,n_jobs_CLEANING AND SEWAGE,0.00010458053371765783
93,n_jobs_CULTURE AND SPORT,0.00010323016696673762
100,n_jobs_BASIC METALLURGY,0.0001029665235739541
22,soy_price,9.771804489504036e-05
38,n_companies_TRADE REP VEHICLES,9.761378994963763e-05
107,n_jobs_TRANSPORTATION,9.695429965580875e-05
53,n_companies_SERVICES FOR COMPANIES,9.365359769221368e-05
71,n_companies_REAL ESTATE,8.928734248118497e-05
74,n_companies_RUBBER AND PLASTIC,8.836673156337248e-05
92,n_jobs_MAIL AND TELECOM,8.682714550367248e-05
29,n_companies_PUBLIC ADMIN,8.262521349542182e-05
116,n_jobs_CLOTHING,8.08290407814936e-05
40,n_companies_MAIL AND TELECOM,7.780824289559723e-05
143,expen_agri,7.712990729142344e-05
41,n_companies_CULTURE AND SPORT,7.357819391855987e-05
101,n_jobs_MINING,7.151332800424436e-05
185,winner_votes_proportion,7.107176959494696e-05
124,n_jobs_RECYCLING,6.070360613613181e-05
32,n_companies_ACCOMODATION AND FOOD,5.4922881990555074e-05
122,n_jobs_WATER-BASED TRANSPORTATION,5.4899268945018244e-05
4,aspect,5.11436499904872e-05
95,n_jobs_EDUCATION,4.58620299927651e-05
123,n_jobs_REAL ESTATE,4.444920467417236e-05
85,n_jobs_EQUIPMENT RENTAL,4.35770059591076e-05
9,mun_election_year,4.1615854623846417e-05
140,assassination,4.0264670190443024e-05
165,overall_winner_agriculture_job,3.916371535986911e-05
15,fed_election_year,3.789576868705497e-05
114,n_jobs_DOMESTIC SERVICES,3.242618728527209e-05
37,n_companies_FINANCIAL ASSISTANCE,3.1897672848942656e-05
73,n_companies_LEATHERS AND FOOTWEAR,3.184267149950588e-05
25,mining_jobs,3.127073275599625e-05
202,other_perennial,2.998647485097201e-05
82,n_jobs_AGRICULTURE,2.729782977414216e-05
176,overall_winner_partido_DEM,2.6768870046057994e-05
61,n_companies_METALLIC PRODUCTS,2.5476682250204544e-05
97,n_jobs_FINANCES,2.4509874049317168e-05
106,n_jobs_PERSONAL SERVICES,2.358865549032043e-05
86,n_jobs_WHOLESALE,2.336328080218234e-05
16,populacao,2.3268428494766767e-05
188,savanna,2.2808443168122316e-05
3,slope,2.159816306912865e-05
133,n_jobs_TOTAL INDUSTRIAL,2.1278114560077508e-05
189,mangrove,2.0990314081446764e-05
84,n_jobs_ACCOMODATION AND FOOD,1.7384655305282794e-05
90,n_jobs_TRADE REP VEHICLES,1.5906270120965587e-05
99,n_jobs_MACHINERY,1.4450566005541366e-05
81,n_jobs_PUBLIC ADMIN,1.421470355193209e-05
129,n_jobs_AERO TRANSPORT,1.3930137160379627e-05
45,n_companies_FINANCES,1.2567548429923628e-05
153,illegal_mining,1.018949435907458e-05
94,n_jobs_EDITING AND PRINTING,1.0045866996952228e-05
75,n_companies_TEXTILES,8.059330013191338e-06
8,indigenous_homol,7.6217128581648776e-06
108,n_jobs_GROUND TRANSPORT,7.421025043419717e-06
26,public_jobs,6.453221181768218e-06
57,n_companies_WATER TREATMENT AND DISTRIBUTION,4.234127203550737e-06
28,PIB,2.8976641094172492e-06
134,n_jobs_TOTAL SERVICE,3.609069812409578e-07
135,n_companies_TOTAL INDUSTRIAL,2.9338715035105668e-08
177,overall_winner_partido_PL,0.0
47,n_companies_MACHINERY,0.0
44,n_companies_ELECTRICITY AND GAS,0.0
43,n_companies_EDUCATION,0.0
62,n_companies_DOMESTIC SERVICES,0.0
48,n_companies_BASIC METALLURGY,0.0
49,n_companies_MINING,0.0
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.0
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0
52,n_companies_HEALTH,0.0
175,overall_winner_partido_PSDB,0.0
54,n_companies_PERSONAL SERVICES,0.0
55,n_companies_TRANSPORTATION,0.0
56,n_companies_GROUND TRANSPORT,0.0
174,overall_winner_partido_PMDB_MDB,0.0
59,n_companies_COMPUTING,0.0
155,illegal_industry,0.0
34,n_companies_WHOLESALE,0.0
42,n_companies_EDITING AND PRINTING,0.0
21,gold,0.0
201,citrus,0.0
200,coffee,0.0
198,rice,0.0
197,soybean,0.0
194,urban,0.0
10,new_forest_code,0.0
11,lula,0.0
12,dilma,0.0
13,temer,0.0
14,bolsonaro,0.0
192,sugarcane,0.0
20,copper,0.0
186,vote_participation_proportion,0.0
178,overall_winner_partido_other,0.0
184,runnerup_partido_other,0.0
27,construction_jobs,0.0
183,runnerup_partido_PL,0.0
30,n_companies_AGRICULTURE,0.0
31,n_companies_FOOD AND DRINKS,0.0
33,n_companies_EQUIPMENT RENTAL,0.0
64,n_companies_CLOTHING,0.0
182,runnerup_partido_DEM,0.0
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0
180,runnerup_partido_PMDB_MDB,0.0
39,n_companies_CONSTRUCTION,0.0
179,runnerup_partido_PT,0.0
173,overall_winner_partido_PT,0.0
77,n_companies_AERO TRANSPORT,0.0
65,n_companies_PAPER,0.0
66,n_companies_INTERNATIONAL BODIES,0.0
162,special,0.0
117,n_jobs_PAPER,0.0
118,n_jobs_INTERNATIONAL BODIES,0.0
119,n_jobs_OIL AND GAS,0.0
120,n_jobs_FISHING AND AQUACULTURE,0.0
161,term_limited_seat,0.0
125,n_jobs_LEATHERS AND FOOTWEAR,0.0
160,incumbant,0.0
127,n_jobs_TEXTILES,0.0
128,n_jobs_RESEARCH AND DEVELOPMENT,0.0
130,n_jobs_SMOKE,0.0
131,n_jobs_PETROLEUM REFINING,0.0
132,n_jobs_,0.0
136,n_companies_TOTAL SERVICE,0.0
137,n_companies_TOTAL,0.0
158,emiss_agr_full,0.0
139,murder_threats,0.0
141,assassination_attempt,0.0
142,f_emitted_count,0.0
156,audits,0.0
144,expen_env_man,0.0
145,expen_agr_org,0.0
146,expen_mining,0.0
147,expen_petrol,0.0
148,expen_prom_ani_pro,0.0
149,expen_prom_veg_pro,0.0
150,expen_other_agr,0.0
151,expen_agr_defense,0.0
152,expen_min_fuel,0.0
163,overall_winner_complete_college,0.0
113,n_jobs_METALLIC PRODUCTS,0.0
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0
