,Feature,Coeff
187,forest_formation,0.5550871632020221
203,forest_lag,0.40131162015997207
191,pasture,0.030238135118292153
159,emiss_agropec_full,0.002509128062982308
7,near_hidrovia,0.0010528145435204053
1,rain1,0.0010150003218633982
157,emiss_pec_full,0.000958143348738889
53,n_companies_SERVICES FOR COMPANIES,0.0006889746170151808
199,other_crop,0.000688103132552783
70,n_companies_WATER-BASED TRANSPORTATION,0.0006518145874234982
196,water,0.0006461016054873819
58,n_companies_RETAIL,0.0003423897222446801
195,mining,0.00031702238297765315
202,other_perennial,0.0001927746816395872
27,construction_jobs,0.00019228368606739798
2,elevation,0.00018544490438641542
49,n_companies_MINING,0.00018414234528495147
188,savanna,0.00017427080954248824
0,year,0.0001694893954289311
29,n_companies_PUBLIC ADMIN,0.0001693742291877568
101,n_jobs_MINING,0.00016806729933075128
94,n_jobs_EDITING AND PRINTING,0.00016599083833965125
135,n_companies_TOTAL INDUSTRIAL,0.00016528892817170983
5,near_mines,0.0001605295237260253
6,near_roads,0.00015571981947182215
102,n_jobs_WOOD PROD,0.00015462251090507558
23,beef_price,0.00012489296097049972
83,n_jobs_FOOD AND DRINKS,0.00011137437742889555
91,n_jobs_CONSTRUCTION,0.00011026595678310227
79,n_companies_PETROLEUM REFINING,0.00010198743921183045
126,n_jobs_RUBBER AND PLASTIC,8.648163848138647e-05
115,n_jobs_FORESTRY,8.026749546532759e-05
17,pib_pc,7.754257600760259e-05
133,n_jobs_TOTAL INDUSTRIAL,7.725285081895484e-05
186,vote_participation_proportion,7.651754434772529e-05
24,ag_jobs,7.62746765980813e-05
43,n_companies_EDUCATION,7.523120821849717e-05
35,n_companies_ASSOCIATIVE ACTIVITIES,7.049678557454518e-05
19,silver,6.967296400459203e-05
107,n_jobs_TRANSPORTATION,5.612815093997297e-05
106,n_jobs_PERSONAL SERVICES,5.354516031721696e-05
123,n_jobs_REAL ESTATE,5.29009805203892e-05
42,n_companies_EDITING AND PRINTING,5.151214533102767e-05
121,n_jobs_CHEMICALS,4.87941756738417e-05
116,n_jobs_CLOTHING,4.2714597481055724e-05
28,PIB,4.007040704386604e-05
26,public_jobs,3.899567985946008e-05
63,n_companies_FORESTRY,3.772711062169791e-05
111,n_jobs_COMPUTING,3.390990900653041e-05
51,n_companies_NON-METALLIC MINERAL PRODUCTS,3.3350102506855384e-05
34,n_companies_WHOLESALE,3.242351639105583e-05
57,n_companies_WATER TREATMENT AND DISTRIBUTION,3.2289712170949514e-05
72,n_companies_RECYCLING,3.210255656176011e-05
48,n_companies_BASIC METALLURGY,3.196534012793663e-05
86,n_jobs_WHOLESALE,3.18096525319466e-05
60,n_companies_INSURANCE AND SOCIAL SECURITY,3.116054167939428e-05
142,f_emitted_count,3.009772501339091e-05
138,n_jobs_TOTAL,2.9971330646107616e-05
175,overall_winner_partido_PSDB,2.6883356869298124e-05
140,assassination,2.6213929837340545e-05
87,n_jobs_ASSOCIATIVE ACTIVITIES,2.5667099094109803e-05
41,n_companies_CULTURE AND SPORT,2.5537817522401676e-05
32,n_companies_ACCOMODATION AND FOOD,2.5405983094566133e-05
193,mosaic_ag,2.47313459206109e-05
74,n_companies_RUBBER AND PLASTIC,2.1969897070404575e-05
73,n_companies_LEATHERS AND FOOTWEAR,2.0495616262350584e-05
50,n_companies_WOOD PROD,1.927505462525519e-05
82,n_jobs_AGRICULTURE,1.7630015784947096e-05
69,n_companies_CHEMICALS,1.598310742488787e-05
90,n_jobs_TRADE REP VEHICLES,1.582953114599715e-05
38,n_companies_TRADE REP VEHICLES,1.4295070091970767e-05
3,slope,1.402449529249085e-05
56,n_companies_GROUND TRANSPORT,1.2487649842103601e-05
68,n_companies_FISHING AND AQUACULTURE,1.2273318311124064e-05
46,n_companies_CLEANING AND SEWAGE,1.1977342919858188e-05
120,n_jobs_FISHING AND AQUACULTURE,1.178044336295044e-05
185,winner_votes_proportion,9.864141873469933e-06
25,mining_jobs,7.977408828845508e-06
44,n_companies_ELECTRICITY AND GAS,6.225295708722131e-06
4,aspect,4.448866139014862e-06
96,n_jobs_ELECTRICITY AND GAS,2.0973575516564403e-06
39,n_companies_CONSTRUCTION,1.4420653677289233e-06
189,mangrove,1.346745147301815e-06
18,ironore,0.0
66,n_companies_INTERNATIONAL BODIES,0.0
67,n_companies_OIL AND GAS,0.0
22,soy_price,0.0
21,gold,0.0
20,copper,0.0
190,silvicultura,0.0
200,coffee,0.0
71,n_companies_REAL ESTATE,0.0
64,n_companies_CLOTHING,0.0
16,populacao,0.0
15,fed_election_year,0.0
14,bolsonaro,0.0
13,temer,0.0
12,dilma,0.0
201,citrus,0.0
11,lula,0.0
75,n_companies_TEXTILES,0.0
76,n_companies_RESEARCH AND DEVELOPMENT,0.0
65,n_companies_PAPER,0.0
194,urban,0.0
10,new_forest_code,0.0
37,n_companies_FINANCIAL ASSISTANCE,0.0
47,n_companies_MACHINERY,0.0
45,n_companies_FINANCES,0.0
77,n_companies_AERO TRANSPORT,0.0
52,n_companies_HEALTH,0.0
198,rice,0.0
54,n_companies_PERSONAL SERVICES,0.0
40,n_companies_MAIL AND TELECOM,0.0
55,n_companies_TRANSPORTATION,0.0
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0
8,indigenous_homol,0.0
33,n_companies_EQUIPMENT RENTAL,0.0
192,sugarcane,0.0
59,n_companies_COMPUTING,0.0
31,n_companies_FOOD AND DRINKS,0.0
30,n_companies_AGRICULTURE,0.0
197,soybean,0.0
61,n_companies_METALLIC PRODUCTS,0.0
62,n_companies_DOMESTIC SERVICES,0.0
9,mun_election_year,0.0
184,runnerup_partido_other,0.0
78,n_companies_SMOKE,0.0
152,expen_min_fuel,0.0
161,term_limited_seat,0.0
160,incumbant,0.0
158,emiss_agr_full,0.0
156,audits,0.0
155,illegal_industry,0.0
154,illegal_other,0.0
153,illegal_mining,0.0
151,expen_agr_defense,0.0
163,overall_winner_complete_college,0.0
150,expen_other_agr,0.0
149,expen_prom_veg_pro,0.0
148,expen_prom_ani_pro,0.0
147,expen_petrol,0.0
146,expen_mining,0.0
145,expen_agr_org,0.0
144,expen_env_man,0.0
162,special,0.0
164,overall_winner_feminino,0.0
80,n_companies_,0.0
174,overall_winner_partido_PMDB_MDB,0.0
182,runnerup_partido_DEM,0.0
181,runnerup_partido_PSDB,0.0
180,runnerup_partido_PMDB_MDB,0.0
179,runnerup_partido_PT,0.0
178,overall_winner_partido_other,0.0
177,overall_winner_partido_PL,0.0
176,overall_winner_partido_DEM,0.0
173,overall_winner_partido_PT,0.0
165,overall_winner_agriculture_job,0.0
172,overall_winner_mining_job,0.0
171,overall_winner_professional_job,0.0
170,overall_winner_technical_job,0.0
169,overall_winner_law_job,0.0
168,overall_winner_corporate_job,0.0
167,overall_winner_health_job,0.0
166,overall_winner_public_service_job,0.0
143,expen_agri,0.0
141,assassination_attempt,0.0
139,murder_threats,0.0
97,n_jobs_FINANCES,0.0
108,n_jobs_GROUND TRANSPORT,0.0
105,n_jobs_SERVICES FOR COMPANIES,0.0
104,n_jobs_HEALTH,0.0
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0
100,n_jobs_BASIC METALLURGY,0.0
99,n_jobs_MACHINERY,0.0
98,n_jobs_CLEANING AND SEWAGE,0.0
95,n_jobs_EDUCATION,0.0
137,n_companies_TOTAL,0.0
93,n_jobs_CULTURE AND SPORT,0.0
183,runnerup_partido_PL,0.0
89,n_jobs_FINANCIAL ASSISTANCE,0.0
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0
85,n_jobs_EQUIPMENT RENTAL,0.0
84,n_jobs_ACCOMODATION AND FOOD,0.0
