,Feature,Coeff
203,forest_lag,0.4991118591020708
187,forest_formation,0.4127168528702366
191,pasture,0.06832471244613439
159,emiss_agropec_full,0.011067476187982043
199,other_crop,0.0027831128318271557
193,mosaic_ag,0.0007952419547815269
188,savanna,0.0006392262644529091
133,n_jobs_TOTAL INDUSTRIAL,0.00047777020626785157
56,n_companies_GROUND TRANSPORT,0.00042099541561199986
1,rain1,0.00026405741013501676
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.00023084761050151643
76,n_companies_RESEARCH AND DEVELOPMENT,0.00022945253568866226
128,n_jobs_RESEARCH AND DEVELOPMENT,0.0002103958137598453
70,n_companies_WATER-BASED TRANSPORTATION,0.00019582355974460779
35,n_companies_ASSOCIATIVE ACTIVITIES,0.00017207523415283378
195,mining,0.0001702039151980567
85,n_jobs_EQUIPMENT RENTAL,0.00016548485351737893
82,n_jobs_AGRICULTURE,0.00015628024607939342
81,n_jobs_PUBLIC ADMIN,0.00015442817510829407
2,elevation,0.00014836507308805
108,n_jobs_GROUND TRANSPORT,0.00012682912903460206
196,water,0.00010396272072302692
157,emiss_pec_full,9.527006075507244e-05
61,n_companies_METALLIC PRODUCTS,9.46483670817651e-05
41,n_companies_CULTURE AND SPORT,8.315401292477178e-05
134,n_jobs_TOTAL SERVICE,7.62516671913288e-05
86,n_jobs_WHOLESALE,6.954473239153453e-05
102,n_jobs_WOOD PROD,6.911366068204502e-05
95,n_jobs_EDUCATION,6.647061290308948e-05
50,n_companies_WOOD PROD,6.079102894458169e-05
104,n_jobs_HEALTH,5.0708235592691057e-05
30,n_companies_AGRICULTURE,4.9509246615634404e-05
63,n_companies_FORESTRY,4.856896817082659e-05
135,n_companies_TOTAL INDUSTRIAL,4.611779480439211e-05
75,n_companies_TEXTILES,4.4670944374190004e-05
190,silvicultura,3.812356867719796e-05
33,n_companies_EQUIPMENT RENTAL,3.586442849022045e-05
31,n_companies_FOOD AND DRINKS,3.087314203530071e-05
99,n_jobs_MACHINERY,2.9539056750800866e-05
20,copper,2.595762159304042e-05
143,expen_agri,2.414855083277423e-05
93,n_jobs_CULTURE AND SPORT,2.3595723332171835e-05
57,n_companies_WATER TREATMENT AND DISTRIBUTION,2.3194480635755546e-05
72,n_companies_RECYCLING,2.2977627240256805e-05
7,near_hidrovia,1.862047208312981e-05
98,n_jobs_CLEANING AND SEWAGE,1.5563155133568633e-05
122,n_jobs_WATER-BASED TRANSPORTATION,1.5381756339603642e-05
111,n_jobs_COMPUTING,1.4376552732504404e-05
153,illegal_mining,1.2137503798757006e-05
