,Feature,Coeff
187,forest_formation,0.4928686719591226
203,forest_lag,0.46072462210969
191,pasture,0.027099239951304418
159,emiss_agropec_full,0.007454274196065404
43,n_companies_EDUCATION,0.0011367049611549556
188,savanna,0.0007967940709441808
121,n_jobs_CHEMICALS,0.0007537907703867588
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0006794005476321714
102,n_jobs_WOOD PROD,0.000508009624869389
1,rain1,0.00047629273175534573
138,n_jobs_TOTAL,0.0004529348260963149
73,n_companies_LEATHERS AND FOOTWEAR,0.0004434656770296979
193,mosaic_ag,0.0004126204806660515
195,mining,0.0003911719806085996
2,elevation,0.00035442079393073505
63,n_companies_FORESTRY,0.0003460016230997317
76,n_companies_RESEARCH AND DEVELOPMENT,0.00034302095379473295
30,n_companies_AGRICULTURE,0.00025982822577174785
199,other_crop,0.00025702077562098666
16,populacao,0.0002468955705121788
131,n_jobs_PETROLEUM REFINING,0.00021106028259123568
190,silvicultura,0.00020869263129498567
157,emiss_pec_full,0.0002068133946677702
72,n_companies_RECYCLING,0.00019782528703923664
95,n_jobs_EDUCATION,0.0001805738167607024
53,n_companies_SERVICES FOR COMPANIES,0.0001627623464215292
6,near_roads,0.0001626862947320335
100,n_jobs_BASIC METALLURGY,0.00015624099514389931
50,n_companies_WOOD PROD,0.0001515176994503717
68,n_companies_FISHING AND AQUACULTURE,0.00014669634767384155
120,n_jobs_FISHING AND AQUACULTURE,0.00013893427859644372
7,near_hidrovia,0.00012079144553928732
55,n_companies_TRANSPORTATION,0.00012075004434844563
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.00010840130507240162
36,n_companies_AUTOMOBILES AND TRANSPORT,0.00010258984744874566
92,n_jobs_MAIL AND TELECOM,0.00010146463119359323
86,n_jobs_WHOLESALE,0.00010106035957201006
22,soy_price,8.846632584765237e-05
5,near_mines,7.899287302907765e-05
158,emiss_agr_full,7.580309467324267e-05
18,ironore,7.26376914084025e-05
196,water,7.152188998786823e-05
127,n_jobs_TEXTILES,7.105682467796462e-05
133,n_jobs_TOTAL INDUSTRIAL,6.395372149985087e-05
94,n_jobs_EDITING AND PRINTING,6.393383591410031e-05
88,n_jobs_AUTOMOBILES AND TRANSPORT,5.755481981537331e-05
155,illegal_industry,5.689230922534249e-05
125,n_jobs_LEATHERS AND FOOTWEAR,5.340472469809298e-05
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,5.169540172608007e-05
93,n_jobs_CULTURE AND SPORT,4.990785223694248e-05
70,n_companies_WATER-BASED TRANSPORTATION,3.8504344545779415e-05
69,n_companies_CHEMICALS,3.842366461895959e-05
148,expen_prom_ani_pro,3.788533280238902e-05
85,n_jobs_EQUIPMENT RENTAL,3.49576715638598e-05
91,n_jobs_CONSTRUCTION,3.231521519659899e-05
4,aspect,3.185816728906477e-05
82,n_jobs_AGRICULTURE,3.0765568581350894e-05
29,n_companies_PUBLIC ADMIN,3.066865081924597e-05
26,public_jobs,2.8107739375978127e-05
19,silver,2.6726717022125228e-05
99,n_jobs_MACHINERY,2.5049539455829196e-05
23,beef_price,2.4056072972662572e-05
149,expen_prom_veg_pro,2.191607967940728e-05
110,n_jobs_RETAIL,2.1228578493912974e-05
71,n_companies_REAL ESTATE,1.9508646504393735e-05
107,n_jobs_TRANSPORTATION,1.8851648659219385e-05
0,year,1.806347648951049e-05
126,n_jobs_RUBBER AND PLASTIC,1.4571368539812276e-05
17,pib_pc,1.3430610325544756e-05
78,n_companies_SMOKE,1.3409977679104785e-05
34,n_companies_WHOLESALE,1.2747311880381233e-05
97,n_jobs_FINANCES,6.564516902779757e-06
39,n_companies_CONSTRUCTION,6.1642629135665245e-06
9,mun_election_year,5.949863540988078e-06
