,Feature,Coeff
0,copper,0.43935199386841933
1,indigenous_homol,0.18462658491928938
2,n_companies_WATER TREATMENT AND DISTRIBUTION,0.14526469744911974
3,n_companies_RUBBER AND PLASTIC,0.1419483180438714
4,near_roads,0.038867603122421754
5,overall_winner_law_job,0.028160399586245326
6,soy_price,0.01884411865292681
7,forest_lag,0.0029362843561647318
8,forest_formation,1.3857619785358097e-12
9,year,8.903570272182412e-15
10,construction_jobs,6.577106761802933e-15
11,n_jobs_PUBLIC ADMIN,6.391488876207158e-15
12,ag_jobs,4.176328825653153e-15
13,n_companies_HEALTH,3.2636673326462545e-15
14,n_jobs_FORESTRY,2.9966216103862636e-15
15,beef_price,2.9315086928147504e-15
16,n_companies_INSURANCE AND SOCIAL SECURITY,2.827763373700788e-15
17,n_companies_TRANSPORTATION,2.7196070155029834e-15
18,n_jobs_EDITING AND PRINTING,2.7036190618478946e-15
19,gold,2.642957613847395e-15
20,n_companies_AUTOMOBILES AND TRANSPORT,2.4004872376360314e-15
21,mun_election_year,2.326188761779193e-15
22,public_jobs,2.3189701505902355e-15
23,n_companies_EDITING AND PRINTING,1.9506844686535607e-15
24,n_companies_NON-METALLIC MINERAL PRODUCTS,1.942835112096352e-15
25,slope,1.9018391815969226e-15
26,fed_election_year,1.7004539751897277e-15
27,n_jobs_METALLIC PRODUCTS,1.6993197058086274e-15
28,overall_winner_partido_DEM,1.6689853371171044e-15
29,expen_prom_veg_pro,1.6163799378158053e-15
30,lula,1.6062277880270528e-15
31,n_jobs_MAIL AND TELECOM,1.589096999235178e-15
32,elevation,1.5717306914055972e-15
33,n_companies_TOTAL,1.5464038640924786e-15
34,n_jobs_TRADE REP VEHICLES,1.5112525538621612e-15
35,runnerup_partido_PSDB,1.357203659159461e-15
36,dilma,1.3558881593909222e-15
37,overall_winner_corporate_job,1.3526055927902205e-15
38,n_companies_ASSOCIATIVE ACTIVITIES,1.311137965791231e-15
39,near_mines,1.3063935732611998e-15
40,n_companies_PAPER,1.3034979238688653e-15
41,silver,1.2582357447849598e-15
42,n_jobs_TOTAL INDUSTRIAL,1.2545491130837667e-15
43,n_jobs_ASSOCIATIVE ACTIVITIES,1.2273079320620088e-15
44,other_crop,1.2018153298890604e-15
45,n_jobs_CONSTRUCTION,1.200333858280542e-15
46,n_jobs_WOOD PROD,1.144622597433766e-15
47,water,1.1272723304925267e-15
48,n_jobs_CLOTHING,1.030942692352717e-15
49,aspect,1.030346504325436e-15
50,n_companies_MACHINERY,9.684390564438052e-16
51,expen_prom_ani_pro,9.558721390849337e-16
52,n_companies_AGRICULTURE,9.52248287998157e-16
53,n_companies_EDUCATION,9.372648719677842e-16
54,n_jobs_RETAIL,9.272798487476713e-16
55,n_companies_WHOLESALE,9.190955989485152e-16
56,n_companies_FINANCES,9.151189019863072e-16
57,n_jobs_FINANCIAL ASSISTANCE,9.049300018758632e-16
58,runnerup_partido_DEM,8.656303191554922e-16
59,n_jobs_CHEMICALS,8.534826442677089e-16
60,populacao,8.469293635791607e-16
61,n_jobs_TRANSPORTATION,8.346351615608774e-16
62,n_companies_WOOD PROD,8.214055624156695e-16
63,n_companies_ELECTRICITY AND GAS,8.188612066619012e-16
64,n_jobs_GROUND TRANSPORT,7.885393424060956e-16
65,n_jobs_OIL AND GAS,7.484470549470104e-16
