,Feature,Coeff
46,n_companies_CLEANING AND SEWAGE,0.3089899055142096
85,n_jobs_EQUIPMENT RENTAL,0.1145262087930766
58,n_companies_RETAIL,0.04754650547989098
50,n_companies_WOOD PROD,0.04465115373323252
74,n_companies_RUBBER AND PLASTIC,0.04094093173807684
7,near_hidrovia,0.04031585795320497
194,urban,0.037827967901227944
191,pasture,0.035701143592188664
92,n_jobs_MAIL AND TELECOM,0.02698490273493997
82,n_jobs_AGRICULTURE,0.021368183024275587
40,n_companies_MAIL AND TELECOM,0.020705535497407498
2,elevation,0.017587715849988684
52,n_companies_HEALTH,0.016872105554770873
43,n_companies_EDUCATION,0.016301266677387658
35,n_companies_ASSOCIATIVE ACTIVITIES,0.016184803591861453
1,rain1,0.01411754150438554
171,overall_winner_professional_job,0.012583013283369514
143,expen_agri,0.011286688075429234
71,n_companies_REAL ESTATE,0.011020978761153011
38,n_companies_TRADE REP VEHICLES,0.010601985343233535
6,near_roads,0.009757566784949758
16,populacao,0.009684521682719724
185,winner_votes_proportion,0.007934867386340484
34,n_companies_WHOLESALE,0.007673831622248121
121,n_jobs_CHEMICALS,0.0067157548449394465
155,illegal_industry,0.006055280729508411
63,n_companies_FORESTRY,0.005500735699967001
129,n_jobs_AERO TRANSPORT,0.004992663351040103
3,slope,0.00493526613832967
196,water,0.004764345257202676
69,n_companies_CHEMICALS,0.0040165425250234905
104,n_jobs_HEALTH,0.003933316292500581
175,overall_winner_partido_PSDB,0.0035234461163928987
39,n_companies_CONSTRUCTION,0.0033395152687787383
167,overall_winner_health_job,0.003110860008498637
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0020714748962850278
29,n_companies_PUBLIC ADMIN,0.0020069542401857684
24,ag_jobs,0.0019059803838343105
30,n_companies_AGRICULTURE,0.0017763890787197173
31,n_companies_FOOD AND DRINKS,0.0017382141575410248
49,n_companies_MINING,0.001565181208304481
158,emiss_agr_full,0.001554696053227345
174,overall_winner_partido_PMDB_MDB,0.0014525734049859582
5,near_mines,0.00144953146453549
101,n_jobs_MINING,0.001330560286591595
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.001304040922136182
102,n_jobs_WOOD PROD,0.001189224339565304
142,f_emitted_count,0.001065074705136279
157,emiss_pec_full,0.0010405399196533557
203,forest_lag,0.0010288241462689033
44,n_companies_ELECTRICITY AND GAS,0.0009414193906908015
148,expen_prom_ani_pro,0.0009401353146442268
4,aspect,0.0009335151755565718
27,construction_jobs,0.0009123557369609484
23,beef_price,0.0008699670857043289
62,n_companies_DOMESTIC SERVICES,0.0008422797265668489
165,overall_winner_agriculture_job,0.0007982168010781855
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0007936909664837699
8,indigenous_homol,0.0007580422828153264
164,overall_winner_feminino,0.0007193959738884044
136,n_companies_TOTAL SERVICE,0.0007022664060861349
17,pib_pc,0.0007018626217877944
55,n_companies_TRANSPORTATION,0.0006970517319755596
138,n_jobs_TOTAL,0.0006759325844543021
186,vote_participation_proportion,0.00062047641333829
83,n_jobs_FOOD AND DRINKS,0.0006183353326959403
81,n_jobs_PUBLIC ADMIN,0.0005749446280463175
59,n_companies_COMPUTING,0.0005679523925280513
133,n_jobs_TOTAL INDUSTRIAL,0.0005519854639418138
187,forest_formation,0.0005098477386629753
91,n_jobs_CONSTRUCTION,0.00046697398661490173
54,n_companies_PERSONAL SERVICES,0.000465620328686197
94,n_jobs_EDITING AND PRINTING,0.0004443832249505638
105,n_jobs_SERVICES FOR COMPANIES,0.0004432945730028867
96,n_jobs_ELECTRICITY AND GAS,0.0004417889693419858
25,mining_jobs,0.00041364402892044293
153,illegal_mining,0.0004125634393930178
184,runnerup_partido_other,0.0003998357333632636
135,n_companies_TOTAL INDUSTRIAL,0.00038205923541474154
70,n_companies_WATER-BASED TRANSPORTATION,0.0003739926801204366
181,runnerup_partido_PSDB,0.0003533166385574198
178,overall_winner_partido_other,0.00035073542547401265
159,emiss_agropec_full,0.0003504157663336064
26,public_jobs,0.0003404188266649309
199,other_crop,0.0003299466389960032
140,assassination,0.00031137929088168904
41,n_companies_CULTURE AND SPORT,0.0002924490240777065
98,n_jobs_CLEANING AND SEWAGE,0.00026530023728767405
177,overall_winner_partido_PL,0.0002615327981605427
137,n_companies_TOTAL,0.0002575415935821317
22,soy_price,0.0002379385021874658
68,n_companies_FISHING AND AQUACULTURE,0.00023572544674288712
53,n_companies_SERVICES FOR COMPANIES,0.00020731083808769957
42,n_companies_EDITING AND PRINTING,0.0001998832684256517
149,expen_prom_veg_pro,0.00019254822394335218
20,copper,0.00018518646700612528
188,savanna,0.00018389444179336598
160,incumbant,0.00017630288312410545
32,n_companies_ACCOMODATION AND FOOD,0.00017274587557103348
90,n_jobs_TRADE REP VEHICLES,0.00017182071018565125
21,gold,0.0001653976153810979
134,n_jobs_TOTAL SERVICE,0.00015260705252079584
95,n_jobs_EDUCATION,0.00014275370828671774
77,n_companies_AERO TRANSPORT,0.000140926657842681
9,mun_election_year,0.0001333969909829647
97,n_jobs_FINANCES,0.00012868478001176604
45,n_companies_FINANCES,8.96231554626058e-05
108,n_jobs_GROUND TRANSPORT,6.72902120781702e-05
28,PIB,5.9764967044265716e-05
73,n_companies_LEATHERS AND FOOTWEAR,5.9409477039685945e-05
56,n_companies_GROUND TRANSPORT,4.450325049883855e-05
87,n_jobs_ASSOCIATIVE ACTIVITIES,3.759716806206054e-05
51,n_companies_NON-METALLIC MINERAL PRODUCTS,3.2798036117502245e-05
115,n_jobs_FORESTRY,2.7067938141361863e-05
0,year,2.652191090050382e-05
33,n_companies_EQUIPMENT RENTAL,2.3729475413949154e-05
48,n_companies_BASIC METALLURGY,2.3362372627087228e-05
110,n_jobs_RETAIL,1.4435745800540587e-05
180,runnerup_partido_PMDB_MDB,1.221870942983093e-05
47,n_companies_MACHINERY,1.0899722385728682e-05
127,n_jobs_TEXTILES,9.669534084077574e-06
64,n_companies_CLOTHING,8.316993290560266e-06
86,n_jobs_WHOLESALE,4.559743266158639e-06
57,n_companies_WATER TREATMENT AND DISTRIBUTION,2.046576387298549e-06
114,n_jobs_DOMESTIC SERVICES,2.7823424658774385e-08
126,n_jobs_RUBBER AND PLASTIC,0.0
125,n_jobs_LEATHERS AND FOOTWEAR,0.0
156,audits,0.0
128,n_jobs_RESEARCH AND DEVELOPMENT,0.0
189,mangrove,0.0
190,silvicultura,0.0
124,n_jobs_RECYCLING,0.0
130,n_jobs_SMOKE,0.0
37,n_companies_FINANCIAL ASSISTANCE,0.0
131,n_jobs_PETROLEUM REFINING,0.0
132,n_jobs_,0.0
139,murder_threats,0.0
192,sugarcane,0.0
141,assassination_attempt,0.0
