,Feature,Coeff
191,pasture,0.234824050437874
46,n_companies_CLEANING AND SEWAGE,0.1356351215006512
58,n_companies_RETAIL,0.10922484885109728
85,n_jobs_EQUIPMENT RENTAL,0.05006763996339403
50,n_companies_WOOD PROD,0.030842999201033106
104,n_jobs_HEALTH,0.02707655430456303
43,n_companies_EDUCATION,0.026447810735518714
174,overall_winner_partido_PMDB_MDB,0.02377741537312325
7,near_hidrovia,0.022569230216681873
6,near_roads,0.020810408249382975
1,rain1,0.01905271164278356
74,n_companies_RUBBER AND PLASTIC,0.017724385971146787
82,n_jobs_AGRICULTURE,0.017479110527904893
194,urban,0.016737518949860815
71,n_companies_REAL ESTATE,0.015826958834096256
40,n_companies_MAIL AND TELECOM,0.013381394356739457
102,n_jobs_WOOD PROD,0.012414299960436954
92,n_jobs_MAIL AND TELECOM,0.012361147192483022
38,n_companies_TRADE REP VEHICLES,0.012128006316987244
35,n_companies_ASSOCIATIVE ACTIVITIES,0.009581154445739074
52,n_companies_HEALTH,0.009243092706731187
63,n_companies_FORESTRY,0.008786925619820994
148,expen_prom_ani_pro,0.007920710519481178
171,overall_winner_professional_job,0.007867592278302396
96,n_jobs_ELECTRICITY AND GAS,0.007539327587242864
203,forest_lag,0.006982279950839282
30,n_companies_AGRICULTURE,0.0067885969322370055
69,n_companies_CHEMICALS,0.006588869381014777
16,populacao,0.005768202165196397
36,n_companies_AUTOMOBILES AND TRANSPORT,0.005335164662934547
121,n_jobs_CHEMICALS,0.005275301170606508
2,elevation,0.005194078454919663
114,n_jobs_DOMESTIC SERVICES,0.005089144139580752
143,expen_agri,0.004841527661243487
34,n_companies_WHOLESALE,0.004491490206956605
4,aspect,0.004200488216399094
158,emiss_agr_full,0.003920581767014454
139,murder_threats,0.003601202396133811
186,vote_participation_proportion,0.0031188116670150126
196,water,0.0031008385910003353
167,overall_winner_health_job,0.003046849828914455
185,winner_votes_proportion,0.0029547531292772786
53,n_companies_SERVICES FOR COMPANIES,0.0029103271518303993
24,ag_jobs,0.0027813198174350823
29,n_companies_PUBLIC ADMIN,0.002769325038210163
155,illegal_industry,0.002641665050205603
39,n_companies_CONSTRUCTION,0.0023121317638812927
3,slope,0.002122298669355339
144,expen_env_man,0.002042736321686752
129,n_jobs_AERO TRANSPORT,0.0020059129243360546
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0016380280516040129
62,n_companies_DOMESTIC SERVICES,0.0013053166555601137
31,n_companies_FOOD AND DRINKS,0.0012332148914013408
157,emiss_pec_full,0.0012251937671242962
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0011294278611515115
187,forest_formation,0.0011071005324519883
175,overall_winner_partido_PSDB,0.0009631058079244499
49,n_companies_MINING,0.0008410726379535032
91,n_jobs_CONSTRUCTION,0.0007936857056377576
41,n_companies_CULTURE AND SPORT,0.0007914315981598182
90,n_jobs_TRADE REP VEHICLES,0.0006983239356159264
27,construction_jobs,0.000685121287780939
81,n_jobs_PUBLIC ADMIN,0.0006669707141807343
98,n_jobs_CLEANING AND SEWAGE,0.0006539355737859608
138,n_jobs_TOTAL,0.0006334902516601117
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0006196912896394242
25,mining_jobs,0.0006066175553807179
110,n_jobs_RETAIL,0.00059892074091433
17,pib_pc,0.0005582012299541728
83,n_jobs_FOOD AND DRINKS,0.0005301425503645606
55,n_companies_TRANSPORTATION,0.0005203670723619829
26,public_jobs,0.0005123019631591249
28,PIB,0.0005062476123812336
160,incumbant,0.0004841307636836221
188,savanna,0.00048177507771587094
68,n_companies_FISHING AND AQUACULTURE,0.0004144599762382156
183,runnerup_partido_PL,0.0003975407868799605
42,n_companies_EDITING AND PRINTING,0.00039528504115589536
77,n_companies_AERO TRANSPORT,0.0003952548429293108
159,emiss_agropec_full,0.0003925335792074745
124,n_jobs_RECYCLING,0.0003693213342453161
133,n_jobs_TOTAL INDUSTRIAL,0.0003678380761420648
106,n_jobs_PERSONAL SERVICES,0.000365728289709681
142,f_emitted_count,0.0003357063893854455
107,n_jobs_TRANSPORTATION,0.00033471544025947766
61,n_companies_METALLIC PRODUCTS,0.00033288568265229287
44,n_companies_ELECTRICITY AND GAS,0.0003251282283637103
149,expen_prom_veg_pro,0.000308793409155327
113,n_jobs_METALLIC PRODUCTS,0.0003008331505388924
