,Feature,Coeff
149,expen_prom_veg_pro,0.14065045819326796
185,winner_votes_proportion,0.13953196886202102
173,overall_winner_partido_PT,0.1313306550141307
82,n_jobs_AGRICULTURE,0.07049183269288091
24,ag_jobs,0.056756191555464935
104,n_jobs_HEALTH,0.048809342787166435
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.04790500974126411
5,near_mines,0.0401195311201282
191,pasture,0.03762978596666097
110,n_jobs_RETAIL,0.03515869520088224
116,n_jobs_CLOTHING,0.03287484344028736
4,aspect,0.027757646198444928
39,n_companies_CONSTRUCTION,-0.0270596105423532
40,n_companies_MAIL AND TELECOM,0.02630165384708321
143,expen_agri,0.02224353192073429
43,n_companies_EDUCATION,0.018576786425840024
2,elevation,0.018300382646108834
138,n_jobs_TOTAL,-0.017267825069222326
31,n_companies_FOOD AND DRINKS,0.016108128317510465
50,n_companies_WOOD PROD,-0.01525160506859607
35,n_companies_ASSOCIATIVE ACTIVITIES,0.015023143451797932
61,n_companies_METALLIC PRODUCTS,0.012323686218935167
68,n_companies_FISHING AND AQUACULTURE,-0.011801609646293858
92,n_jobs_MAIL AND TELECOM,0.009985474745187477
114,n_jobs_DOMESTIC SERVICES,0.009963150649947463
134,n_jobs_TOTAL SERVICE,0.008475270503079427
158,emiss_agr_full,-0.008374435315659758
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.007290105563623206
133,n_jobs_TOTAL INDUSTRIAL,0.007258400723229602
53,n_companies_SERVICES FOR COMPANIES,-0.006767543698383863
83,n_jobs_FOOD AND DRINKS,0.006397678682148325
75,n_companies_TEXTILES,0.00636488719315529
62,n_companies_DOMESTIC SERVICES,-0.005800513127929174
136,n_companies_TOTAL SERVICE,-0.005608005335259408
203,forest_lag,0.00533623071091178
49,n_companies_MINING,0.0046096711705020475
36,n_companies_AUTOMOBILES AND TRANSPORT,-0.004510953126265898
6,near_roads,0.0044246532464141545
38,n_companies_TRADE REP VEHICLES,0.0035604580700353055
30,n_companies_AGRICULTURE,0.0034665710344237246
34,n_companies_WHOLESALE,0.003461069237396229
156,audits,0.003409713097171475
187,forest_formation,0.0033521423383899274
86,n_jobs_WHOLESALE,0.0033512978651873125
90,n_jobs_TRADE REP VEHICLES,0.003261230072842584
141,assassination_attempt,-0.003226027707000433
64,n_companies_CLOTHING,0.003206989205027869
135,n_companies_TOTAL INDUSTRIAL,0.0030415826191766285
113,n_jobs_METALLIC PRODUCTS,0.002839559168443288
81,n_jobs_PUBLIC ADMIN,0.002818080856107929
55,n_companies_TRANSPORTATION,0.002812027482579998
52,n_companies_HEALTH,0.002731865339645898
45,n_companies_FINANCES,0.0026088119256867195
95,n_jobs_EDUCATION,0.0025952564317324135
166,overall_winner_public_service_job,0.002484979198816817
58,n_companies_RETAIL,0.0024432687696190358
46,n_companies_CLEANING AND SEWAGE,0.002442258618830308
27,construction_jobs,0.0023990287428525495
93,n_jobs_CULTURE AND SPORT,0.0023709490972102245
159,emiss_agropec_full,0.0023218230725118305
121,n_jobs_CHEMICALS,0.002251361642155573
69,n_companies_CHEMICALS,0.0021950946879037074
29,n_companies_PUBLIC ADMIN,-0.002116519189954342
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.0020751399978991706
56,n_companies_GROUND TRANSPORT,0.002069821663964331
97,n_jobs_FINANCES,0.002003871400409622
73,n_companies_LEATHERS AND FOOTWEAR,0.0019880805370019626
32,n_companies_ACCOMODATION AND FOOD,-0.0018335429508248519
33,n_companies_EQUIPMENT RENTAL,0.001803187218206766
74,n_companies_RUBBER AND PLASTIC,0.0017341324480147989
3,slope,0.0017018849740319554
7,near_hidrovia,-0.001599998744511839
63,n_companies_FORESTRY,-0.001593694327047313
102,n_jobs_WOOD PROD,-0.0015742187234753222
91,n_jobs_CONSTRUCTION,0.0014543985558735939
157,emiss_pec_full,0.0014536985751834105
94,n_jobs_EDITING AND PRINTING,0.001421644954363359
23,beef_price,0.0013898164926043253
17,pib_pc,0.0013858518069240896
137,n_companies_TOTAL,0.0013703185453316118
28,PIB,0.0013570413147156108
98,n_jobs_CLEANING AND SEWAGE,0.0012182022410015746
59,n_companies_COMPUTING,0.0011418061720650482
124,n_jobs_RECYCLING,0.0011052005002703575
84,n_jobs_ACCOMODATION AND FOOD,0.0010886367770634416
186,vote_participation_proportion,0.0009547814852163085
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0008990222290188119
108,n_jobs_GROUND TRANSPORT,0.0008951617040115763
142,f_emitted_count,0.0008821507478011913
0,year,0.0008803613318215091
129,n_jobs_AERO TRANSPORT,0.0008679810358457204
41,n_companies_CULTURE AND SPORT,0.0007470490525208186
16,populacao,0.0006957517686602962
54,n_companies_PERSONAL SERVICES,0.0006937599833529447
188,savanna,0.0006365200570428418
164,overall_winner_feminino,-0.0006357932162469834
96,n_jobs_ELECTRICITY AND GAS,0.0006133619352435491
