,Feature,Coeff
65,n_companies_PAPER,0.2616468489395848
203,forest_lag,0.1411240426345076
191,pasture,0.1172540632862486
4,aspect,0.10103442730314867
100,n_jobs_BASIC METALLURGY,0.08912341518939418
48,n_companies_BASIC METALLURGY,0.06894669886466213
35,n_companies_ASSOCIATIVE ACTIVITIES,0.06690595591965082
164,overall_winner_feminino,0.041356263295426354
1,rain1,0.01595152863791009
85,n_jobs_EQUIPMENT RENTAL,0.010865526929513935
159,emiss_agropec_full,0.009070293658866115
63,n_companies_FORESTRY,0.008225012980296974
32,n_companies_ACCOMODATION AND FOOD,0.00802493977580125
55,n_companies_TRANSPORTATION,0.00773824040719163
91,n_jobs_CONSTRUCTION,0.005531686659075257
174,overall_winner_partido_PMDB_MDB,0.00478479618906298
76,n_companies_RESEARCH AND DEVELOPMENT,0.0029818670081376833
138,n_jobs_TOTAL,0.0027741414506223983
125,n_jobs_LEATHERS AND FOOTWEAR,0.002618871276771976
34,n_companies_WHOLESALE,0.002554998718610351
27,construction_jobs,0.0024895783882056123
59,n_companies_COMPUTING,0.0023189863927724624
28,PIB,0.002013819189453003
5,near_mines,0.0019832030609191666
148,expen_prom_ani_pro,0.0019052459371451489
30,n_companies_AGRICULTURE,0.001881860367076796
139,murder_threats,0.0014285907229002626
78,n_companies_SMOKE,0.001403300409022389
96,n_jobs_ELECTRICITY AND GAS,0.0012959621556143785
26,public_jobs,0.0012956272661368757
185,winner_votes_proportion,0.0011649307793272804
79,n_companies_PETROLEUM REFINING,0.001153392257575271
120,n_jobs_FISHING AND AQUACULTURE,0.0010432274058079446
56,n_companies_GROUND TRANSPORT,0.0009091316228389194
24,ag_jobs,0.0008107131008828382
81,n_jobs_PUBLIC ADMIN,0.0007471977813898302
64,n_companies_CLOTHING,0.0006848145476553517
158,emiss_agr_full,0.0006454062892899535
52,n_companies_HEALTH,0.0006215445706975717
33,n_companies_EQUIPMENT RENTAL,0.0005935857586155202
38,n_companies_TRADE REP VEHICLES,0.0005519051876710886
43,n_companies_EDUCATION,0.0005477726952413548
102,n_jobs_WOOD PROD,0.0004242905418711341
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0003598841039635792
84,n_jobs_ACCOMODATION AND FOOD,0.00035654396856529943
101,n_jobs_MINING,0.00028623858418869624
157,emiss_pec_full,0.0002575861059787613
134,n_jobs_TOTAL SERVICE,0.0002514760397489823
107,n_jobs_TRANSPORTATION,0.0002442138811657652
188,savanna,0.00024164440728499764
16,populacao,0.00024112907279906715
153,illegal_mining,0.00019924779652156653
143,expen_agri,0.00019909390180938272
17,pib_pc,0.0001869167719526749
106,n_jobs_PERSONAL SERVICES,0.0001358368271901819
45,n_companies_FINANCES,8.383304846246742e-05
97,n_jobs_FINANCES,8.300017297047198e-05
41,n_companies_CULTURE AND SPORT,5.912057998002012e-05
3,slope,5.1813926367596544e-05
68,n_companies_FISHING AND AQUACULTURE,4.927613766373362e-05
7,near_hidrovia,4.881317751341183e-05
186,vote_participation_proportion,4.8786379947078604e-05
187,forest_formation,3.598734786806357e-05
75,n_companies_TEXTILES,3.523856605935447e-05
54,n_companies_PERSONAL SERVICES,2.835808131220057e-05
53,n_companies_SERVICES FOR COMPANIES,1.425840335280082e-05
133,n_jobs_TOTAL INDUSTRIAL,1.1705839650207384e-05
40,n_companies_MAIL AND TELECOM,1.128970724226982e-05
58,n_companies_RETAIL,1.127481739273476e-05
39,n_companies_CONSTRUCTION,7.424954653639569e-06
15,fed_election_year,6.356675868992901e-06
144,expen_env_man,6.2506377752978365e-06
175,overall_winner_partido_PSDB,6.10203936383483e-06
49,n_companies_MINING,6.070997657313242e-06
156,audits,3.852781269959368e-06
104,n_jobs_HEALTH,2.319607738191709e-06
