,Feature,Coeff
203,forest_lag,0.4991118591022233
187,forest_formation,0.4127096370594603
191,pasture,0.06832010461942371
159,emiss_agropec_full,0.01106747618793592
199,other_crop,0.0027831128319057655
193,mosaic_ag,0.0007952419547795959
188,savanna,0.0006283434252096353
133,n_jobs_TOTAL INDUSTRIAL,0.00047777020626795267
56,n_companies_GROUND TRANSPORT,0.0003799205310735559
128,n_jobs_RESEARCH AND DEVELOPMENT,0.00031487936347148436
2,elevation,0.0002433574444213612
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.00023084761050150979
70,n_companies_WATER-BASED TRANSPORTATION,0.00019582355977271874
35,n_companies_ASSOCIATIVE ACTIVITIES,0.00017207523415284568
195,mining,0.0001702039151668978
1,rain1,0.00016906503889747317
76,n_companies_RESEARCH AND DEVELOPMENT,0.000166043870518701
85,n_jobs_EQUIPMENT RENTAL,0.00016548485351967966
82,n_jobs_AGRICULTURE,0.0001562802460807583
26,public_jobs,0.00015442817510827596
108,n_jobs_GROUND TRANSPORT,0.0001268291290345841
61,n_companies_METALLIC PRODUCTS,0.00011406983758166115
196,water,0.00010396272072303439
157,emiss_pec_full,9.527006075507404e-05
41,n_companies_CULTURE AND SPORT,8.31540127520708e-05
134,n_jobs_TOTAL SERVICE,7.625166719129214e-05
127,n_jobs_TEXTILES,7.488102086436716e-05
102,n_jobs_WOOD PROD,6.9113660682019e-05
86,n_jobs_WHOLESALE,6.813469943858232e-05
50,n_companies_WOOD PROD,6.0791028944558326e-05
104,n_jobs_HEALTH,5.070823559268478e-05
30,n_companies_AGRICULTURE,4.9509246615627974e-05
54,n_companies_PERSONAL SERVICES,4.8568968170819475e-05
135,n_companies_TOTAL INDUSTRIAL,4.6117794804396213e-05
190,silvicultura,3.812356864038764e-05
33,n_companies_EQUIPMENT RENTAL,3.586442849014609e-05
75,n_companies_TEXTILES,3.427053768170014e-05
99,n_jobs_MACHINERY,2.953905675080083e-05
0,year,2.595762159304782e-05
122,n_jobs_WATER-BASED TRANSPORTATION,2.578216303209013e-05
31,n_companies_FOOD AND DRINKS,2.5167403783196964e-05
143,expen_agri,2.4148550832770025e-05
93,n_jobs_CULTURE AND SPORT,2.3595723332176006e-05
57,n_companies_WATER TREATMENT AND DISTRIBUTION,2.31944806357529e-05
7,near_hidrovia,1.8620472083141812e-05
5,near_mines,1.569159463548016e-05
98,n_jobs_CLEANING AND SEWAGE,1.5563155133566766e-05
111,n_jobs_COMPUTING,1.4376552735804019e-05
153,illegal_mining,1.21375037987573e-05
124,n_jobs_RECYCLING,1.1943640356419299e-05
45,n_companies_FINANCES,1.13533400179479e-05
