,Feature,Coeff
187,forest_formation,3.30870299534649
203,forest_lag,-1.8100387592671452
76,n_companies_RESEARCH AND DEVELOPMENT,-0.6947946800633816
72,n_companies_RECYCLING,0.3252401677544072
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.2581036506012039
112,n_jobs_INSURANCE AND SOCIAL SECURITY,-0.24359643797820532
114,n_jobs_DOMESTIC SERVICES,0.215330777003534
127,n_jobs_TEXTILES,-0.16273873526553992
111,n_jobs_COMPUTING,-0.13701892107830266
99,n_jobs_MACHINERY,0.13638959510214935
123,n_jobs_REAL ESTATE,-0.1262664229972523
75,n_companies_TEXTILES,0.11342859188836936
48,n_companies_BASIC METALLURGY,0.1104924172092995
129,n_jobs_AERO TRANSPORT,0.106095455474604
79,n_companies_PETROLEUM REFINING,0.08789977823737798
126,n_jobs_RUBBER AND PLASTIC,-0.07480945241914465
116,n_jobs_CLOTHING,0.06577963515633072
98,n_jobs_CLEANING AND SEWAGE,0.06524787797905302
47,n_companies_MACHINERY,0.0632953279896098
71,n_companies_REAL ESTATE,0.0496613387214079
117,n_jobs_PAPER,-0.04913796052952058
62,n_companies_DOMESTIC SERVICES,-0.04540157683600522
85,n_jobs_EQUIPMENT RENTAL,0.037544491296694515
55,n_companies_TRANSPORTATION,-0.03587963874688138
100,n_jobs_BASIC METALLURGY,-0.03509324921924609
69,n_companies_CHEMICALS,-0.033330653699420065
42,n_companies_EDITING AND PRINTING,0.03296757923904811
51,n_companies_NON-METALLIC MINERAL PRODUCTS,-0.03216103098933516
191,pasture,-0.02964607941199751
41,n_companies_CULTURE AND SPORT,0.029494747111663493
57,n_companies_WATER TREATMENT AND DISTRIBUTION,-0.028821343639986362
121,n_jobs_CHEMICALS,0.024656092661121662
84,n_jobs_ACCOMODATION AND FOOD,-0.021758674135797178
108,n_jobs_GROUND TRANSPORT,0.021424122371542478
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.020974569988437105
93,n_jobs_CULTURE AND SPORT,0.019398885621083627
95,n_jobs_EDUCATION,0.018641064583795795
29,n_companies_PUBLIC ADMIN,-0.018502740387104807
125,n_jobs_LEATHERS AND FOOTWEAR,-0.01804697241887688
92,n_jobs_MAIL AND TELECOM,0.016814106247002535
44,n_companies_ELECTRICITY AND GAS,0.016627493490855624
67,n_companies_OIL AND GAS,-0.015587183656686541
97,n_jobs_FINANCES,0.01547789386913538
43,n_companies_EDUCATION,-0.015361035582196193
37,n_companies_FINANCIAL ASSISTANCE,0.015147721035282958
159,emiss_agropec_full,0.014482223312270521
104,n_jobs_HEALTH,-0.01418943564150345
31,n_companies_FOOD AND DRINKS,0.014095086706617342
68,n_companies_FISHING AND AQUACULTURE,-0.012604821840341694
33,n_companies_EQUIPMENT RENTAL,0.011205586267333388
83,n_jobs_FOOD AND DRINKS,-0.010768890895551836
53,n_companies_SERVICES FOR COMPANIES,0.010527520411383813
131,n_jobs_PETROLEUM REFINING,-0.01020664362196803
56,n_companies_GROUND TRANSPORT,-0.009915746336806107
45,n_companies_FINANCES,0.009483945597830114
50,n_companies_WOOD PROD,-0.009187478398398686
70,n_companies_WATER-BASED TRANSPORTATION,-0.0088082409103865
90,n_jobs_TRADE REP VEHICLES,0.007772317197139979
64,n_companies_CLOTHING,0.007751758451703437
105,n_jobs_SERVICES FOR COMPANIES,-0.007570077315061076
195,mining,-0.007407084632747461
115,n_jobs_FORESTRY,0.007314381190977986
154,illegal_other,0.007299220959703396
34,n_companies_WHOLESALE,-0.007151006770082087
110,n_jobs_RETAIL,-0.006901148430027238
122,n_jobs_WATER-BASED TRANSPORTATION,0.006538969465871598
82,n_jobs_AGRICULTURE,-0.006515853417988021
38,n_companies_TRADE REP VEHICLES,-0.006311990797092338
49,n_companies_MINING,-0.006157591826416964
35,n_companies_ASSOCIATIVE ACTIVITIES,-0.005346846019107675
46,n_companies_CLEANING AND SEWAGE,-0.005200183892978469
86,n_jobs_WHOLESALE,0.0050149229693654315
52,n_companies_HEALTH,-0.004615568231824559
36,n_companies_AUTOMOBILES AND TRANSPORT,0.004444849209155937
119,n_jobs_OIL AND GAS,0.004052858420870975
106,n_jobs_PERSONAL SERVICES,-0.0037666343176991058
113,n_jobs_METALLIC PRODUCTS,-0.003680487745346249
54,n_companies_PERSONAL SERVICES,0.003621656784610641
59,n_companies_COMPUTING,0.0028925907188308655
202,other_perennial,0.002834713677341916
91,n_jobs_CONSTRUCTION,0.002730011060041892
39,n_companies_CONSTRUCTION,0.00211204701568542
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0019351408418524679
182,runnerup_partido_DEM,-0.0019091717721383208
175,overall_winner_partido_PSDB,-0.0018866782356055116
167,overall_winner_health_job,-0.0017442044858719675
120,n_jobs_FISHING AND AQUACULTURE,-0.0016076837152789747
