,Feature,Coeff
187,forest_formation,0.5162583233989748
203,forest_lag,0.43078689040158463
191,pasture,0.02090875624179346
159,emiss_agropec_full,0.012790814320158658
1,rain1,0.003213562633478973
102,n_jobs_WOOD PROD,0.002539294518593709
188,savanna,0.0014146538633102138
199,other_crop,0.0012329952377795085
202,other_perennial,0.0009602596395792047
43,n_companies_EDUCATION,0.0007064956920102514
5,near_mines,0.0006864089346532385
16,populacao,0.0006545554378278314
116,n_jobs_CLOTHING,0.0006044014303232707
95,n_jobs_EDUCATION,0.0005352865248359204
63,n_companies_FORESTRY,0.00047662989072916773
2,elevation,0.0003964530420926676
121,n_jobs_CHEMICALS,0.00037515870085907314
140,assassination,0.00035616867066137834
158,emiss_agr_full,0.00030834535596263753
6,near_roads,0.0002599116447412509
86,n_jobs_WHOLESALE,0.0002524067622980677
35,n_companies_ASSOCIATIVE ACTIVITIES,0.00023214368971274005
122,n_jobs_WATER-BASED TRANSPORTATION,0.0002319957661729943
17,pib_pc,0.00018685960717399516
12,dilma,0.0001828334675756026
107,n_jobs_TRANSPORTATION,0.0001558368789325669
19,silver,0.0001476093421307706
23,beef_price,0.00014156018963090366
56,n_companies_GROUND TRANSPORT,0.00013025974575699265
22,soy_price,0.00012541141914578402
134,n_jobs_TOTAL SERVICE,0.00012071984574322047
196,water,0.0001186737206694747
185,winner_votes_proportion,0.00011685195225095811
155,illegal_industry,0.00010401325452650897
73,n_companies_LEATHERS AND FOOTWEAR,0.00010139500761553689
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0001001275793571368
55,n_companies_TRANSPORTATION,9.535682516196392e-05
127,n_jobs_TEXTILES,9.44855547704313e-05
104,n_jobs_HEALTH,9.001919743319842e-05
72,n_companies_RECYCLING,7.997341289643489e-05
101,n_jobs_MINING,7.857409134190256e-05
93,n_jobs_CULTURE AND SPORT,7.771196896026984e-05
138,n_jobs_TOTAL,7.663485440769612e-05
84,n_jobs_ACCOMODATION AND FOOD,7.346449338048057e-05
3,slope,7.282195741003316e-05
7,near_hidrovia,6.820503681496567e-05
135,n_companies_TOTAL INDUSTRIAL,6.724033411739659e-05
110,n_jobs_RETAIL,6.722121131036422e-05
83,n_jobs_FOOD AND DRINKS,6.699583380558624e-05
193,mosaic_ag,6.0336675755512494e-05
99,n_jobs_MACHINERY,5.638787679732682e-05
36,n_companies_AUTOMOBILES AND TRANSPORT,5.303169743185668e-05
143,expen_agri,4.967648773941644e-05
96,n_jobs_ELECTRICITY AND GAS,4.923075634260944e-05
195,mining,4.7777231600758753e-05
82,n_jobs_AGRICULTURE,4.45981410234737e-05
144,expen_env_man,4.3345930976612234e-05
137,n_companies_TOTAL,4.318321165309158e-05
85,n_jobs_EQUIPMENT RENTAL,4.2891182232697946e-05
190,silvicultura,4.154749642504371e-05
192,sugarcane,3.870990510160336e-05
65,n_companies_PAPER,3.8493010030989384e-05
54,n_companies_PERSONAL SERVICES,3.598282812715099e-05
53,n_companies_SERVICES FOR COMPANIES,3.3601275456590716e-05
28,PIB,3.2937664518899596e-05
11,lula,3.22646165357351e-05
21,gold,3.0204162445009024e-05
49,n_companies_MINING,2.663432053578874e-05
45,n_companies_FINANCES,2.502842006377915e-05
4,aspect,2.1594690066171624e-05
186,vote_participation_proportion,2.0148347789717677e-05
48,n_companies_BASIC METALLURGY,2.009077602311991e-05
40,n_companies_MAIL AND TELECOM,1.941911164308672e-05
76,n_companies_RESEARCH AND DEVELOPMENT,1.8356566753205797e-05
108,n_jobs_GROUND TRANSPORT,1.8117331095155205e-05
24,ag_jobs,1.7669695233493862e-05
105,n_jobs_SERVICES FOR COMPANIES,1.6453087918910565e-05
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,1.537447644752705e-05
133,n_jobs_TOTAL INDUSTRIAL,1.4127685894947098e-05
189,mangrove,1.4029794734043037e-05
97,n_jobs_FINANCES,1.3930743307579952e-05
