,Feature,Coeff
0,emiss_pec_full,0.16666666663006574
1,overall_winner_corporate_job,0.16666666663004745
2,n_companies_EDUCATION,0.1666666666300314
3,murder_threats,0.16666666662996302
4,n_companies_INTERNATIONAL BODIES,0.16666666662993798
5,n_companies_GROUND TRANSPORT,0.1666666666299012
6,forest_formation,1.0068857030726364e-10
7,forest_lag,1.0013196188699355e-10
8,soy_price,1.6640788252184864e-12
9,gold,1.5362470204143148e-12
10,year,8.911090662357322e-13
11,beef_price,7.557590738118135e-13
12,silver,4.4045544898899866e-13
13,ag_jobs,3.931418424498886e-13
14,n_jobs_PUBLIC ADMIN,3.2813430936101987e-13
15,n_companies_RECYCLING,3.1638115977307595e-13
16,construction_jobs,3.1189582122238643e-13
17,n_jobs_AUTOMOBILES AND TRANSPORT,3.112344874859195e-13
18,n_companies_PUBLIC ADMIN,3.0112195493491374e-13
19,n_companies_EQUIPMENT RENTAL,2.4716094123085423e-13
20,n_companies_ASSOCIATIVE ACTIVITIES,2.3694378159625335e-13
21,n_jobs_FORESTRY,2.2356156056883453e-13
22,vote_participation_proportion,2.0883568232560571e-13
23,n_jobs_PETROLEUM REFINING,2.0401541951888092e-13
24,populacao,1.9797063212736077e-13
25,n_jobs_MAIL AND TELECOM,1.9639686273715585e-13
26,n_companies_TEXTILES,1.958215506801679e-13
27,n_jobs_INSURANCE AND SOCIAL SECURITY,1.9285837636304753e-13
28,overall_winner_partido_PSDB,1.9038205273490004e-13
29,emiss_agropec_full,1.7293052154149134e-13
30,n_companies_AERO TRANSPORT,1.7043264060959313e-13
31,n_jobs_BASIC METALLURGY,1.651966973792481e-13
32,n_jobs_CONSTRUCTION,1.6241067764032098e-13
33,n_jobs_OIL AND GAS,1.5903340173412834e-13
34,overall_winner_partido_PT,1.505855627138038e-13
35,ironore,1.5023159369757083e-13
36,soybean,1.4900450773493288e-13
37,n_companies_CHEMICALS,1.4725951892170598e-13
38,n_companies_ELECTRICITY AND GAS,1.4351410026399934e-13
39,overall_winner_complete_college,1.3935520324111478e-13
40,n_companies_PERSONAL SERVICES,1.3900788200392612e-13
41,n_jobs_ELECTRICITY AND GAS,1.3817247370737855e-13
42,aspect,1.356910791832806e-13
43,n_jobs_WHOLESALE,1.355051874245889e-13
44,overall_winner_partido_other,1.341191993940589e-13
45,n_companies_NON-METALLIC MINERAL PRODUCTS,1.2705063518173557e-13
46,illegal_industry,1.261186424683167e-13
47,n_jobs_TEXTILES,1.2386013782163287e-13
48,n_companies_CLEANING AND SEWAGE,1.1965631928831301e-13
49,copper,1.151638462987678e-13
50,n_jobs_EDITING AND PRINTING,1.1461505187280304e-13
51,silvicultura,1.118011520284686e-13
52,public_jobs,1.1004802443545052e-13
53,n_jobs_RUBBER AND PLASTIC,1.0539635573664903e-13
54,n_jobs_TRADE REP VEHICLES,9.660604964476816e-14
55,illegal_mining,9.633756122522946e-14
56,n_companies_OIL AND GAS,9.427947839919537e-14
57,n_jobs_EQUIPMENT RENTAL,9.401499479767326e-14
58,runnerup_partido_PSDB,9.39516608209523e-14
59,n_companies_REAL ESTATE,8.98400494604101e-14
60,n_companies_WATER TREATMENT AND DISTRIBUTION,8.964300530922693e-14
61,indigenous_homol,8.921627071742406e-14
62,n_companies_SMOKE,8.832783194319983e-14
63,n_jobs_HEALTH,8.779062470942425e-14
64,n_companies_AGRICULTURE,8.387094759975201e-14
65,n_companies_EDITING AND PRINTING,8.333686322366323e-14
66,n_companies_WHOLESALE,7.907338679037142e-14
67,assassination_attempt,7.89181690085234e-14
68,n_companies_FISHING AND AQUACULTURE,7.736506917308443e-14
69,n_companies_CONSTRUCTION,7.62296786908893e-14
70,n_companies_FOOD AND DRINKS,7.46137693882539e-14
71,expen_agr_org,7.452747043987891e-14
72,f_emitted_count,7.374095009341446e-14
73,n_jobs_SERVICES FOR COMPANIES,6.845228748474488e-14
74,n_jobs_RECYCLING,6.775879236815985e-14
75,n_jobs_ACCOMODATION AND FOOD,6.560519493324948e-14
76,n_companies_BASIC METALLURGY,6.523582296937783e-14
77,n_jobs_RETAIL,6.515863845729175e-14
78,n_jobs_WATER-BASED TRANSPORTATION,6.407352087716838e-14
79,n_companies_SERVICES FOR COMPANIES,6.263072188335717e-14
80,mun_election_year,6.194705247784754e-14
81,n_jobs_CLEANING AND SEWAGE,6.117894717829553e-14
82,PIB,6.10592921561733e-14
83,n_companies_FORESTRY,6.017575042035213e-14
84,n_companies_CLOTHING,5.989246292633767e-14
85,n_jobs_AGRICULTURE,5.966660885622596e-14
86,n_jobs_ASSOCIATIVE ACTIVITIES,5.933693831643422e-14
87,n_jobs_AERO TRANSPORT,5.913309025071095e-14
88,expen_prom_veg_pro,5.902141713407127e-14
89,n_jobs_FOOD AND DRINKS,5.822257520724796e-14
