,Feature,Coeff
203,forest_lag,-376.4128758930263
187,forest_formation,376.3960256458164
16,populacao,1.0297562850250739
134,n_jobs_TOTAL SERVICE,-0.6930974892180893
133,n_jobs_TOTAL INDUSTRIAL,-0.5849966044287989
136,n_companies_TOTAL SERVICE,-0.5179116058710767
135,n_companies_TOTAL INDUSTRIAL,0.49318762679968453
72,n_companies_RECYCLING,0.460854922862494
114,n_jobs_DOMESTIC SERVICES,-0.36021970238151346
159,emiss_agropec_full,-0.3598046913871281
89,n_jobs_FINANCIAL ASSISTANCE,0.25750567967789
1,rain1,0.22928244923256047
65,n_companies_PAPER,-0.1887084041700427
79,n_companies_PETROLEUM REFINING,0.17564249619627392
78,n_companies_SMOKE,0.17169395991782527
138,n_jobs_TOTAL,0.16605285642902962
128,n_jobs_RESEARCH AND DEVELOPMENT,0.16312881171936705
76,n_companies_RESEARCH AND DEVELOPMENT,-0.16239164397966
118,n_jobs_INTERNATIONAL BODIES,-0.15712690086308223
179,runnerup_partido_PT,0.1284416855631818
157,emiss_pec_full,0.11596708615982929
137,n_companies_TOTAL,0.11261404827232988
158,emiss_agr_full,-0.10925978096571198
184,runnerup_partido_other,0.10550668198110395
0,year,0.09955492288975062
140,assassination,-0.09740218141431448
20,copper,0.09293970620752665
8,indigenous_homol,0.09258371549796933
2,elevation,-0.09063805336069791
196,water,-0.08647600914584441
74,n_companies_RUBBER AND PLASTIC,0.08530061429592448
17,pib_pc,0.08443788521307463
173,overall_winner_partido_PT,0.08414684044248114
11,lula,0.0838662362302504
124,n_jobs_RECYCLING,-0.08320388323715276
28,PIB,0.08112034358140077
52,n_companies_HEALTH,-0.07979355303534184
182,runnerup_partido_DEM,0.0758305966319501
191,pasture,-0.07461670631878672
67,n_companies_OIL AND GAS,0.07252143387460386
6,near_roads,0.07214177184749257
75,n_companies_TEXTILES,-0.07061599463930882
180,runnerup_partido_PMDB_MDB,0.06915958868241576
94,n_jobs_EDITING AND PRINTING,-0.06432523848869229
30,n_companies_AGRICULTURE,-0.05950892264618914
186,vote_participation_proportion,-0.059179601385160416
197,soybean,0.05750833331182712
178,overall_winner_partido_other,0.05718232740456165
86,n_jobs_WHOLESALE,-0.056816866162173615
