,Feature,Coeff
203,forest_lag,-1537.8885291600598
187,forest_formation,1536.9380132921071
136,n_companies_TOTAL SERVICE,-3.472551365856861
135,n_companies_TOTAL INDUSTRIAL,2.0473397257560975
16,populacao,2.0039513287802047
159,emiss_agropec_full,-1.412041201955973
178,overall_winner_partido_other,0.9178979260733323
133,n_jobs_TOTAL INDUSTRIAL,-0.877388588652493
173,overall_winner_partido_PT,0.8445348377960981
174,overall_winner_partido_PMDB_MDB,0.8271014688518089
138,n_jobs_TOTAL,0.761370590373975
137,n_companies_TOTAL,0.7565664837060484
157,emiss_pec_full,0.7466220677973645
175,overall_winner_partido_PSDB,0.5622030408713097
191,pasture,-0.5479264961727408
176,overall_winner_partido_DEM,0.4902578762157487
28,PIB,-0.48251473632907405
119,n_jobs_OIL AND GAS,0.4277872775098287
1,rain1,0.40844267053615263
158,emiss_agr_full,-0.38843785415542154
52,n_companies_HEALTH,-0.3806249259380506
26,public_jobs,0.34110077389395643
2,elevation,-0.3289038982530241
9,mun_election_year,0.32688796227523786
167,overall_winner_health_job,-0.29036668674703403
67,n_companies_OIL AND GAS,-0.2833081010726653
114,n_jobs_DOMESTIC SERVICES,0.26538758080521585
17,pib_pc,0.2630678524063832
196,water,-0.23549456050522993
48,n_companies_BASIC METALLURGY,-0.22748859262840182
30,n_companies_AGRICULTURE,-0.226493008553635
95,n_jobs_EDUCATION,-0.22498656253611468
24,ag_jobs,-0.22389496482771581
180,runnerup_partido_PMDB_MDB,-0.21883623924203688
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,-0.21835272966477662
107,n_jobs_TRANSPORTATION,-0.2134341149388287
131,n_jobs_PETROLEUM REFINING,-0.21248600550219124
197,soybean,0.20242275675061666
128,n_jobs_RESEARCH AND DEVELOPMENT,-0.19831270133353307
153,illegal_mining,0.19753441610431474
99,n_jobs_MACHINERY,-0.1945063848359757
102,n_jobs_WOOD PROD,0.1872401634533708
55,n_companies_TRANSPORTATION,0.18126197559172466
43,n_companies_EDUCATION,0.17274669199271042
25,mining_jobs,-0.17114072901160277
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.16018925258088856
90,n_jobs_TRADE REP VEHICLES,-0.15878591336009842
42,n_companies_EDITING AND PRINTING,0.15802033409718338
169,overall_winner_law_job,-0.15768541616221232
154,illegal_other,-0.15761346286944306
146,expen_mining,0.15738423880432398
5,near_mines,-0.1545354287605622
113,n_jobs_METALLIC PRODUCTS,0.1535815684500495
161,term_limited_seat,-0.14873228688300444
199,other_crop,-0.1484609484582821
62,n_companies_DOMESTIC SERVICES,-0.14493901965384964
29,n_companies_PUBLIC ADMIN,-0.14483523888513766
96,n_jobs_ELECTRICITY AND GAS,0.14347124028793085
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.1425218884291402
89,n_jobs_FINANCIAL ASSISTANCE,-0.1425061355312343
73,n_companies_LEATHERS AND FOOTWEAR,0.13994779402817578
140,assassination,-0.13944191264044428
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.1385526123903814
92,n_jobs_MAIL AND TELECOM,-0.13804948053466046
123,n_jobs_REAL ESTATE,0.13518835357377337
3,slope,0.13449766118172427
115,n_jobs_FORESTRY,0.1330386432732178
162,special,-0.12946653888284373
120,n_jobs_FISHING AND AQUACULTURE,0.12851842650471468
31,n_companies_FOOD AND DRINKS,0.1244361656536764
81,n_jobs_PUBLIC ADMIN,-0.1236034177435078
98,n_jobs_CLEANING AND SEWAGE,-0.12249479608127402
164,overall_winner_feminino,-0.11993883775308643
144,expen_env_man,-0.11987371203908438
