,Feature,Coeff
203,forest_lag,1.9388645197393692
187,forest_formation,-1.2202393157148872
114,n_jobs_DOMESTIC SERVICES,-0.40913097888291017
89,n_jobs_FINANCIAL ASSISTANCE,0.24063015329996648
67,n_companies_OIL AND GAS,0.21644181829147488
128,n_jobs_RESEARCH AND DEVELOPMENT,0.1787761452409829
73,n_companies_LEATHERS AND FOOTWEAR,-0.13831001981988683
57,n_companies_WATER TREATMENT AND DISTRIBUTION,-0.09235631468550223
48,n_companies_BASIC METALLURGY,0.09057547421890162
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.07109498058954274
98,n_jobs_CLEANING AND SEWAGE,0.07097635935507722
62,n_companies_DOMESTIC SERVICES,0.06377568555238632
72,n_companies_RECYCLING,0.05919357904296534
42,n_companies_EDITING AND PRINTING,-0.058322433189741035
37,n_companies_FINANCIAL ASSISTANCE,0.050431235308637114
106,n_jobs_PERSONAL SERVICES,-0.04834116157287264
46,n_companies_CLEANING AND SEWAGE,-0.04210274323688892
127,n_jobs_TEXTILES,0.03959736738107593
52,n_companies_HEALTH,0.03935287145820894
47,n_companies_MACHINERY,-0.031223792961548723
107,n_jobs_TRANSPORTATION,0.03000599174287316
99,n_jobs_MACHINERY,0.0299533720653942
113,n_jobs_METALLIC PRODUCTS,-0.029544711541273753
123,n_jobs_REAL ESTATE,-0.029046914563022237
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.02607137007186527
116,n_jobs_CLOTHING,-0.02541885283108216
51,n_companies_NON-METALLIC MINERAL PRODUCTS,-0.02452147348822941
75,n_companies_TEXTILES,-0.024249149220509362
55,n_companies_TRANSPORTATION,-0.022830030121965536
71,n_companies_REAL ESTATE,-0.02061554680160228
95,n_jobs_EDUCATION,0.01945276987747445
61,n_companies_METALLIC PRODUCTS,0.016549589949973832
64,n_companies_CLOTHING,0.015618693289651946
74,n_companies_RUBBER AND PLASTIC,-0.015457456985768598
69,n_companies_CHEMICALS,0.014976033223774237
33,n_companies_EQUIPMENT RENTAL,-0.014263647557283005
29,n_companies_PUBLIC ADMIN,0.01409686534538446
77,n_companies_AERO TRANSPORT,0.013921933967359742
68,n_companies_FISHING AND AQUACULTURE,-0.012915291196798141
31,n_companies_FOOD AND DRINKS,-0.011944767990835083
49,n_companies_MINING,0.011513447488155788
63,n_companies_FORESTRY,0.01127172856663904
120,n_jobs_FISHING AND AQUACULTURE,-0.010596591585610332
43,n_companies_EDUCATION,-0.010235698901696679
94,n_jobs_EDITING AND PRINTING,0.010124368700800947
122,n_jobs_WATER-BASED TRANSPORTATION,0.009970431200219846
45,n_companies_FINANCES,0.009849871735641462
32,n_companies_ACCOMODATION AND FOOD,0.008522930875466588
92,n_jobs_MAIL AND TELECOM,0.007205272015241455
125,n_jobs_LEATHERS AND FOOTWEAR,0.007170925844053108
87,n_jobs_ASSOCIATIVE ACTIVITIES,-0.007081364479357391
54,n_companies_PERSONAL SERVICES,0.00696478438955335
191,pasture,0.006705127867874904
96,n_jobs_ELECTRICITY AND GAS,-0.006584323395347964
90,n_jobs_TRADE REP VEHICLES,0.006349813960525375
195,mining,0.005292520563160777
91,n_jobs_CONSTRUCTION,0.00473448604228646
30,n_companies_AGRICULTURE,0.004602468045103771
100,n_jobs_BASIC METALLURGY,0.004513530087632503
56,n_companies_GROUND TRANSPORT,-0.004416409638961045
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.004291047154137159
154,illegal_other,0.004282869271521188
