,Feature,Coeff
0,forest_lag,0.46361173690633845
1,forest_formation,0.46337326515979016
2,silver,0.01274208953511321
3,gold,0.012682364075373235
4,beef_price,0.01040354113600709
5,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0010982402237562233
6,slope,0.0010208056001691915
7,runnerup_partido_DEM,0.0009728927761029836
8,mun_election_year,0.0008519257730920442
9,pasture,0.0008430660851246177
10,n_jobs_PUBLIC ADMIN,0.0007815389475550231
11,n_companies_PAPER,0.000622819799611514
12,n_jobs_CHEMICALS,0.0005976813135821689
13,n_companies_EDUCATION,0.0005887648420611688
14,n_jobs_MAIL AND TELECOM,0.0005713765897792081
15,runnerup_partido_other,0.0005494238117557639
16,overall_winner_public_service_job,0.0005470600927591104
17,n_companies_INTERNATIONAL BODIES,0.0005330293312940457
18,n_companies_CHEMICALS,0.0005084525755672239
19,n_companies_CULTURE AND SPORT,0.0005009957197031932
20,expen_prom_veg_pro,0.0004991980443011031
21,n_companies_CLEANING AND SEWAGE,0.000489436277922259
22,n_companies_AGRICULTURE,0.00048054391115402733
23,ag_jobs,0.00046346855849619826
24,assassination,0.00044993082874836683
25,copper,0.0004358476214351675
26,n_jobs_TOTAL,0.0004265001994371841
27,n_companies_FINANCIAL ASSISTANCE,0.0004240431583660466
28,construction_jobs,0.0004118794491989685
29,n_jobs_TOTAL SERVICE,0.0003122622545304788
30,year,0.0003053110475516238
31,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0002702473677908911
32,n_jobs_RETAIL,0.0002690912945282441
33,n_jobs_HEALTH,0.00026476112389633576
34,murder_threats,0.00025029424530675914
35,savanna,0.0002362311916908469
36,n_companies_CLOTHING,0.0002320875749567827
37,expen_prom_ani_pro,0.0002298408608500898
38,n_jobs_ASSOCIATIVE ACTIVITIES,0.00022290184432520354
39,n_companies_LEATHERS AND FOOTWEAR,0.00021379120869844344
40,mining_jobs,0.00021334074526804618
41,n_jobs_CLEANING AND SEWAGE,0.00021188024425684623
42,expen_env_man,0.00020967266876432465
43,pib_pc,0.00020364985181366423
44,overall_winner_partido_DEM,0.00020324806159545124
45,ironore,0.00020082760059382388
46,overall_winner_complete_college,0.0001998810155059127
47,n_jobs_RESEARCH AND DEVELOPMENT,0.00019843642180794547
48,n_jobs_MACHINERY,0.00019709162150216146
49,n_jobs_FISHING AND AQUACULTURE,0.00019525447180851813
50,n_companies_CONSTRUCTION,0.00018793471758041
51,n_jobs_CONSTRUCTION,0.00018775854076361095
52,n_companies_TRADE REP VEHICLES,0.00018666357260033891
53,winner_votes_proportion,0.0001861844305800902
54,silvicultura,0.00018299535470877272
55,n_companies_PERSONAL SERVICES,0.00018206754298432317
56,n_jobs_PETROLEUM REFINING,0.00017979607133872892
57,water,0.0001790650122305907
58,n_jobs_AGRICULTURE,0.0001782176954129699
59,overall_winner_agriculture_job,0.00017499891302817742
60,n_jobs_CULTURE AND SPORT,0.00017321020599002514
61,elevation,0.00017291848516645274
62,fed_election_year,0.00017127916588213627
63,n_companies_PETROLEUM REFINING,0.0001708714953419657
64,PIB,0.00017057574284669611
65,n_jobs_BASIC METALLURGY,0.00017001971390700574
66,other_perennial,0.00016929332766269184
67,public_jobs,0.00016821739383451436
68,n_companies_WOOD PROD,0.00016734259264912746
69,n_jobs_WOOD PROD,0.00016667831093765482
70,n_jobs_TRADE REP VEHICLES,0.00016632426572272128
71,n_companies_RUBBER AND PLASTIC,0.00016613395695274646
72,n_companies_TOTAL INDUSTRIAL,0.00016607942208580212
73,n_jobs_CLOTHING,0.00016526640575842272
74,n_jobs_FOOD AND DRINKS,0.0001636778791713174
75,n_jobs_FINANCES,0.00016349348312080865
76,illegal_industry,0.00016280536332822276
77,n_companies_RETAIL,0.00016169078141357304
78,overall_winner_partido_other,0.00016072939161995464
79,n_companies_TOTAL,0.0001602940502451134
80,n_jobs_ACCOMODATION AND FOOD,0.00016005792297008967
81,audits,0.00015999137728715712
82,n_jobs_RUBBER AND PLASTIC,0.0001596756790495381
83,n_companies_EDITING AND PRINTING,0.00015954047403455424
84,n_jobs_FINANCIAL ASSISTANCE,0.00015728176122287271
85,n_jobs_EDUCATION,0.00015519172936326106
86,soy_price,0.0001545806316211415
87,n_jobs_SERVICES FOR COMPANIES,0.00015427631939337184
88,aspect,0.0001539929595143762
89,n_companies_TEXTILES,0.0001517800923866636
90,emiss_agropec_full,0.00015170275376818847
91,n_companies_BASIC METALLURGY,0.0001514782017023279
92,expen_agr_org,0.00015066840184195317
93,n_companies_WATER-BASED TRANSPORTATION,0.0001504790809973532
94,overall_winner_professional_job,0.0001499742410587626
95,near_hidrovia,0.0001498690873039785
96,rain1,0.00014968373648620667
97,near_roads,0.0001496076345537156
98,overall_winner_partido_PT,0.00014837113639862013
99,n_companies_EQUIPMENT RENTAL,0.0001475731050330019
100,emiss_pec_full,0.0001474702747938977
101,runnerup_partido_PSDB,0.00014728892292781355
102,n_jobs_MINING,0.00014614268254307472
103,n_jobs_TEXTILES,0.0001432256810124093
104,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.00014260904954467018
105,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0001425569179792217
106,n_companies_FORESTRY,0.0001420332929721148
107,overall_winner_partido_PSDB,0.00014056226050959033
108,n_jobs_EQUIPMENT RENTAL,0.00014054866934566233
109,n_jobs_PAPER,0.00014015980249208577
110,n_jobs_WATER-BASED TRANSPORTATION,0.00013919346850888167
111,near_mines,0.00013834384410956092
112,overall_winner_partido_PMDB_MDB,0.0001383156780340847
113,n_jobs_TOTAL INDUSTRIAL,0.00013742421318312255
114,n_companies_OIL AND GAS,0.00013680410216866692
115,n_jobs_PERSONAL SERVICES,0.00013641105575391013
116,n_jobs_AERO TRANSPORT,0.00013588386379175405
117,n_jobs_FORESTRY,0.0001352683558498659
118,n_companies_PUBLIC ADMIN,0.0001351651310379316
119,n_companies_HEALTH,0.00013503277698911876
120,incumbant,0.00013398716928686834
121,soybean,0.00013355060588323716
122,n_jobs_TRANSPORTATION,0.0001334109151524629
123,n_companies_FINANCES,0.00013289950776074246
124,n_jobs_DOMESTIC SERVICES,0.00013222323106089733
125,n_jobs_REAL ESTATE,0.00013209148106542264
126,vote_participation_proportion,0.00013157449256911342
127,indigenous_homol,0.00013130262202689272
128,n_companies_SMOKE,0.00013078260991209728
129,n_companies_INSURANCE AND SOCIAL SECURITY,0.00013046373730117784
130,n_jobs_COMPUTING,0.00012953004286274576
131,n_companies_FISHING AND AQUACULTURE,0.00012926128441775655
132,runnerup_partido_PMDB_MDB,0.00012916601936441407
133,runnerup_partido_PT,0.0001291338979628573
134,n_companies_AERO TRANSPORT,0.00012909970583726914
135,n_jobs_METALLIC PRODUCTS,0.00012894033719149784
136,populacao,0.00012887380059400214
137,f_emitted_count,0.00012864108208443688
138,n_companies_ASSOCIATIVE ACTIVITIES,0.00012735195299887905
139,n_companies_RESEARCH AND DEVELOPMENT,0.00012648579409256156
140,n_companies_SERVICES FOR COMPANIES,0.00012592987611298353
141,n_companies_AUTOMOBILES AND TRANSPORT,0.00012545758563107666
142,n_companies_TOTAL SERVICE,0.00012364682701862157
143,n_companies_MAIL AND TELECOM,0.0001228682216901973
144,overall_winner_corporate_job,0.00012262282248851883
145,assassination_attempt,0.00012254572586713842
146,overall_winner_partido_PL,0.00012232666398163825
147,n_companies_FOOD AND DRINKS,0.00012201046566401228
148,n_jobs_ELECTRICITY AND GAS,0.00012157281165732523
149,n_companies_WHOLESALE,0.00012085953459739751
150,n_jobs_LEATHERS AND FOOTWEAR,0.00012061268020051854
151,n_jobs_WHOLESALE,0.00012055938136476688
152,other_crop,0.00011902384422472144
153,overall_winner_law_job,0.00011765151953388595
154,n_jobs_RECYCLING,0.00011748231696491797
155,n_companies_REAL ESTATE,0.00011631262470255334
156,illegal_mining,0.00011552862221331904
157,n_jobs_SMOKE,0.0001124346708739916
158,overall_winner_health_job,0.00011201625264353147
159,n_companies_GROUND TRANSPORT,0.00011129697439803535
160,expen_agri,0.00010770657150683256
161,n_companies_MINING,0.00010727500378760474
162,n_jobs_EDITING AND PRINTING,0.00010523714880752364
163,n_jobs_AUTOMOBILES AND TRANSPORT,0.00010435211984865111
164,n_jobs_GROUND TRANSPORT,0.00010367622098640915
165,n_jobs_OIL AND GAS,0.00010350763448620103
166,n_companies_ACCOMODATION AND FOOD,0.00010264828075188429
167,n_companies_ELECTRICITY AND GAS,9.953484937909685e-05
168,mosaic_ag,9.719863267264135e-05
169,emiss_agr_full,9.521499860491322e-05
170,n_companies_MACHINERY,8.923275477940936e-05
171,n_companies_COMPUTING,8.649269736102599e-05
172,n_companies_METALLIC PRODUCTS,8.55985847170634e-05
173,overall_winner_feminino,8.406565843383441e-05
174,n_jobs_WATER TREATMENT AND DISTRIBUTION,7.302111888099437e-05
175,n_companies_TRANSPORTATION,7.193375971699333e-05
176,n_companies_DOMESTIC SERVICES,6.554671503702187e-05
177,n_companies_RECYCLING,5.5888509006429905e-05
178,overall_winner_technical_job,9.518314943916825e-06
196,lula,0.0
192,bolsonaro,0.0
193,new_forest_code,0.0
194,mangrove,0.0
195,temer,0.0
190,expen_mining,0.0
197,term_limited_seat,0.0
198,special,0.0
199,n_companies_,0.0
200,runnerup_partido_PL,0.0
201,overall_winner_mining_job,0.0
191,n_jobs_INTERNATIONAL BODIES,0.0
202,dilma,0.0
189,urban,0.0
188,mining,0.0
187,illegal_other,0.0
186,expen_min_fuel,0.0
185,rice,0.0
184,expen_agr_defense,0.0
183,coffee,0.0
182,citrus,0.0
181,expen_other_agr,0.0
180,sugarcane,0.0
179,expen_petrol,0.0
203,n_jobs_,0.0
