,Feature,Coeff
203,forest_lag,0.5163564329667406
191,pasture,0.26555312048493707
159,emiss_agropec_full,0.08245760845434098
199,other_crop,0.038105061106077844
96,n_jobs_ELECTRICITY AND GAS,0.02524658884897401
202,other_perennial,0.009993824232760176
121,n_jobs_CHEMICALS,0.006194044548914059
17,pib_pc,0.004806350532667602
190,silvicultura,0.004181348402412215
193,mosaic_ag,0.004137592330136846
1,rain1,0.0028827004369171645
157,emiss_pec_full,0.0018878411526922453
53,n_companies_SERVICES FOR COMPANIES,0.0018376010587212185
90,n_jobs_TRADE REP VEHICLES,0.0015140802666435895
102,n_jobs_WOOD PROD,0.0014649427349876117
187,forest_formation,0.0014385622126438357
181,runnerup_partido_PSDB,0.0014063367526512011
6,near_roads,0.0013640425400001063
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0013035005235644233
97,n_jobs_FINANCES,0.0011753526618053611
186,vote_participation_proportion,0.001162344618770989
82,n_jobs_AGRICULTURE,0.0011485042390980734
39,n_companies_CONSTRUCTION,0.0011098204118438002
41,n_companies_CULTURE AND SPORT,0.0009761524980101101
63,n_companies_FORESTRY,0.0009004949301401703
107,n_jobs_TRANSPORTATION,0.0009004680452012769
50,n_companies_WOOD PROD,0.0008153435149877103
86,n_jobs_WHOLESALE,0.0007832928325484271
45,n_companies_FINANCES,0.00077738101903252
123,n_jobs_REAL ESTATE,0.000750409573195156
5,near_mines,0.0007471490128607988
83,n_jobs_FOOD AND DRINKS,0.0007343879672028656
99,n_jobs_MACHINERY,0.0007139734020875297
149,expen_prom_veg_pro,0.0006930812237822645
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.0006623501691959774
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0006563301805590871
61,n_companies_METALLIC PRODUCTS,0.0006528569098077252
38,n_companies_TRADE REP VEHICLES,0.000650006613457431
114,n_jobs_DOMESTIC SERVICES,0.000574957806354737
52,n_companies_HEALTH,0.00048665598609849903
3,slope,0.0004832245848477763
25,mining_jobs,0.00047829353637628987
84,n_jobs_ACCOMODATION AND FOOD,0.00046036946884854156
71,n_companies_REAL ESTATE,0.00045279447511357485
69,n_companies_CHEMICALS,0.0004380139104275031
101,n_jobs_MINING,0.00042143918843517747
59,n_companies_COMPUTING,0.00042107186027078437
185,winner_votes_proportion,0.00042021914434812156
116,n_jobs_CLOTHING,0.0003783973505348705
16,populacao,0.0003769011601729223
49,n_companies_MINING,0.0003379430971155339
42,n_companies_EDITING AND PRINTING,0.000324879100761471
100,n_jobs_BASIC METALLURGY,0.0003073031724211786
20,copper,0.00030624339100283703
18,ironore,0.00029639189549969926
105,n_jobs_SERVICES FOR COMPANIES,0.00029080934981391563
72,n_companies_RECYCLING,0.00028987607253598807
180,runnerup_partido_PMDB_MDB,0.000261310063986694
48,n_companies_BASIC METALLURGY,0.00024408898139130554
144,expen_env_man,0.0002275193341893017
58,n_companies_RETAIL,0.00022612974418194764
110,n_jobs_RETAIL,0.00022074566012162745
76,n_companies_RESEARCH AND DEVELOPMENT,0.0002185252128288099
24,ag_jobs,0.0002128576350380415
19,silver,0.00021011701593273832
73,n_companies_LEATHERS AND FOOTWEAR,0.000197571771610873
158,emiss_agr_full,0.00019224751907063702
55,n_companies_TRANSPORTATION,0.00018419091489767523
54,n_companies_PERSONAL SERVICES,0.00016690451050015563
125,n_jobs_LEATHERS AND FOOTWEAR,0.00015996739755148832
26,public_jobs,0.00015423991083057782
40,n_companies_MAIL AND TELECOM,0.0001539666934393502
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0001434867480951758
92,n_jobs_MAIL AND TELECOM,0.000140971860019232
22,soy_price,0.00013023658519130892
32,n_companies_ACCOMODATION AND FOOD,0.00012430195081074007
64,n_companies_CLOTHING,0.00011700106331275252
115,n_jobs_FORESTRY,0.00010792714888693209
56,n_companies_GROUND TRANSPORT,9.76505737076308e-05
195,mining,9.67417122141105e-05
0,year,7.917784904942642e-05
2,elevation,6.578492263813482e-05
21,gold,5.388665819525291e-05
188,savanna,4.5826772577426775e-05
43,n_companies_EDUCATION,2.3723501017548724e-05
9,mun_election_year,2.2119038522906754e-05
7,near_hidrovia,2.1243532701175295e-05
47,n_companies_MACHINERY,1.2078109230832531e-05
137,n_companies_TOTAL,1.499419660256498e-07
29,n_companies_PUBLIC ADMIN,1.4626834621321877e-07
148,expen_prom_ani_pro,7.486958298347451e-08
23,beef_price,9.928248941667468e-09
31,n_companies_FOOD AND DRINKS,5.929855946215315e-09
155,illegal_industry,4.728369177165628e-09
4,aspect,3.980539363613611e-09
140,assassination,0.0
184,runnerup_partido_other,0.0
194,urban,0.0
136,n_companies_TOTAL SERVICE,0.0
37,n_companies_FINANCIAL ASSISTANCE,0.0
192,sugarcane,0.0
189,mangrove,0.0
146,expen_mining,0.0
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0
145,expen_agr_org,0.0
138,n_jobs_TOTAL,0.0
139,murder_threats,0.0
182,runnerup_partido_DEM,0.0
44,n_companies_ELECTRICITY AND GAS,0.0
143,expen_agri,0.0
46,n_companies_CLEANING AND SEWAGE,0.0
183,runnerup_partido_PL,0.0
34,n_companies_WHOLESALE,0.0
142,f_emitted_count,0.0
141,assassination_attempt,0.0
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0
122,n_jobs_WATER-BASED TRANSPORTATION,0.0
33,n_companies_EQUIPMENT RENTAL,0.0
15,fed_election_year,0.0
201,citrus,0.0
200,coffee,0.0
198,rice,0.0
197,soybean,0.0
8,indigenous_homol,0.0
10,new_forest_code,0.0
11,lula,0.0
12,dilma,0.0
13,temer,0.0
14,bolsonaro,0.0
196,water,0.0
147,expen_petrol,0.0
154,illegal_other,0.0
153,illegal_mining,0.0
152,expen_min_fuel,0.0
151,expen_agr_defense,0.0
150,expen_other_agr,0.0
160,incumbant,0.0
27,construction_jobs,0.0
28,PIB,0.0
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.0
30,n_companies_AGRICULTURE,0.0
135,n_companies_TOTAL INDUSTRIAL,0.0
134,n_jobs_TOTAL SERVICE,0.0
162,special,0.0
129,n_jobs_AERO TRANSPORT,0.0
94,n_jobs_EDITING AND PRINTING,0.0
95,n_jobs_EDUCATION,0.0
169,overall_winner_law_job,0.0
168,overall_winner_corporate_job,0.0
98,n_jobs_CLEANING AND SEWAGE,0.0
167,overall_winner_health_job,0.0
128,n_jobs_RESEARCH AND DEVELOPMENT,0.0
166,overall_winner_public_service_job,0.0
165,overall_winner_agriculture_job,0.0
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0
104,n_jobs_HEALTH,0.0
