,Feature,Coeff
187,forest_formation,1.598586183760449
203,forest_lag,-0.4323588199643518
128,n_jobs_RESEARCH AND DEVELOPMENT,-0.2868519234825365
130,n_jobs_SMOKE,-0.06603375065996979
78,n_companies_SMOKE,0.061401277275709806
191,pasture,0.05759456097089787
89,n_jobs_FINANCIAL ASSISTANCE,-0.029905335896721525
159,emiss_agropec_full,0.02748166029558523
72,n_companies_RECYCLING,0.02619675345208545
79,n_companies_PETROLEUM REFINING,0.023731966886047836
111,n_jobs_COMPUTING,-0.02337091366772674
124,n_jobs_RECYCLING,-0.01867335540263156
94,n_jobs_EDITING AND PRINTING,0.01788438954902498
77,n_companies_AERO TRANSPORT,0.01733890809771932
114,n_jobs_DOMESTIC SERVICES,-0.01709440495580991
118,n_jobs_INTERNATIONAL BODIES,0.016109798087633336
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.015281161236103825
98,n_jobs_CLEANING AND SEWAGE,0.014261239343177037
67,n_companies_OIL AND GAS,-0.011608749775540848
73,n_companies_LEATHERS AND FOOTWEAR,-0.011378970219780335
48,n_companies_BASIC METALLURGY,0.00947198441616693
42,n_companies_EDITING AND PRINTING,-0.0084718922087692
76,n_companies_RESEARCH AND DEVELOPMENT,0.00811468663150966
123,n_jobs_REAL ESTATE,-0.00741830824782238
126,n_jobs_RUBBER AND PLASTIC,0.006935212531872191
129,n_jobs_AERO TRANSPORT,-0.006929993516869967
99,n_jobs_MACHINERY,0.006512733298927036
61,n_companies_METALLIC PRODUCTS,0.006297009852746941
127,n_jobs_TEXTILES,0.006074085010173776
199,other_crop,0.005168113296381171
75,n_companies_TEXTILES,0.005155866557116575
116,n_jobs_CLOTHING,0.0047760636862245855
69,n_companies_CHEMICALS,-0.004549831161361102
45,n_companies_FINANCES,0.004328124950218075
106,n_jobs_PERSONAL SERVICES,-0.004032979509638224
37,n_companies_FINANCIAL ASSISTANCE,-0.0039331738711531495
121,n_jobs_CHEMICALS,0.003855221361281871
74,n_companies_RUBBER AND PLASTIC,0.0038421426569770355
66,n_companies_INTERNATIONAL BODIES,0.003385314531164494
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.003324093518664883
65,n_companies_PAPER,0.003237085202954152
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0031174002501939057
71,n_companies_REAL ESTATE,0.0030557804992083102
62,n_companies_DOMESTIC SERVICES,0.002651057661600902
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0026278607285502693
88,n_jobs_AUTOMOBILES AND TRANSPORT,-0.0024102765833408086
59,n_companies_COMPUTING,0.002210416820883301
95,n_jobs_EDUCATION,-0.0019282718364604956
56,n_companies_GROUND TRANSPORT,0.0018649244709512576
52,n_companies_HEALTH,-0.0018018342279392755
125,n_jobs_LEATHERS AND FOOTWEAR,0.0017060446004056227
122,n_jobs_WATER-BASED TRANSPORTATION,0.0016174423653398547
46,n_companies_CLEANING AND SEWAGE,0.0014053973235358757
131,n_jobs_PETROLEUM REFINING,-0.0013266442317724696
55,n_companies_TRANSPORTATION,-0.0013091894613773615
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,-0.0011117107301363525
100,n_jobs_BASIC METALLURGY,-0.0010852486498332877
108,n_jobs_GROUND TRANSPORT,-0.0010336768803181863
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0010169786305204626
86,n_jobs_WHOLESALE,0.000976992775654414
31,n_companies_FOOD AND DRINKS,-0.0009562669624452249
193,mosaic_ag,0.0009159267743073142
117,n_jobs_PAPER,0.0009063374922909633
64,n_companies_CLOTHING,-0.0007553265941487824
101,n_jobs_MINING,-0.0007242137223010595
29,n_companies_PUBLIC ADMIN,0.0006793389841819413
41,n_companies_CULTURE AND SPORT,0.0005980336116415638
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,-0.00059451741270848
49,n_companies_MINING,-0.0005355615246174702
90,n_jobs_TRADE REP VEHICLES,0.0005204721797458953
53,n_companies_SERVICES FOR COMPANIES,0.0005138234155261979
115,n_jobs_FORESTRY,0.0005128712348305182
119,n_jobs_OIL AND GAS,-0.0004946055844901073
113,n_jobs_METALLIC PRODUCTS,-0.0004922355329163839
33,n_companies_EQUIPMENT RENTAL,0.0004779975977048071
102,n_jobs_WOOD PROD,0.0004562575626221362
175,overall_winner_partido_PSDB,-0.00045105367994743416
32,n_companies_ACCOMODATION AND FOOD,-0.00044308446042941286
120,n_jobs_FISHING AND AQUACULTURE,-0.0004328944185599497
34,n_companies_WHOLESALE,-0.0004196228564960677
97,n_jobs_FINANCES,0.00041434275604146744
4,aspect,0.0004045654303925606
177,overall_winner_partido_PL,-0.00040217687796249716
91,n_jobs_CONSTRUCTION,-0.0003991685984061187
173,overall_winner_partido_PT,-0.0003677900664102057
178,overall_winner_partido_other,-0.0003663967925527482
63,n_companies_FORESTRY,-0.00036413790278899184
47,n_companies_MACHINERY,-0.00036404122268921603
85,n_jobs_EQUIPMENT RENTAL,0.00036352569805578024
92,n_jobs_MAIL AND TELECOM,-0.00036134197131592184
105,n_jobs_SERVICES FOR COMPANIES,0.00035899609918976815
195,mining,-0.0003465880817759725
174,overall_winner_partido_PMDB_MDB,-0.0003398914485699737
110,n_jobs_RETAIL,-0.000337779685033468
70,n_companies_WATER-BASED TRANSPORTATION,-0.0003303967348879276
158,emiss_agr_full,0.0003293292958847319
17,pib_pc,0.000284983599300318
84,n_jobs_ACCOMODATION AND FOOD,-0.0002705085011019313
30,n_companies_AGRICULTURE,0.00026583661788545264
170,overall_winner_technical_job,0.0002549787413620949
192,sugarcane,0.00025162011704189737
197,soybean,0.00024519661585232973
50,n_companies_WOOD PROD,-0.00023348141671609092
186,vote_participation_proportion,-0.000230224276507682
38,n_companies_TRADE REP VEHICLES,-0.00022980234960497836
68,n_companies_FISHING AND AQUACULTURE,0.00021309820615959617
143,expen_agri,-0.00020803749990138895
35,n_companies_ASSOCIATIVE ACTIVITIES,-0.0002048461722567462
107,n_jobs_TRANSPORTATION,-0.00018679684503603483
54,n_companies_PERSONAL SERVICES,-0.00017905583478717776
2,elevation,0.00015966026312216192
190,silvicultura,0.00015297576740870182
149,expen_prom_veg_pro,-0.00015237094473044622
8,indigenous_homol,0.00014837816995734798
21,gold,-0.00013062196492915002
157,emiss_pec_full,-0.0001280393545031752
198,rice,0.00012389767324694868
139,murder_threats,-0.00012027155955435322
81,n_jobs_PUBLIC ADMIN,0.0001136907695563505
202,other_perennial,0.00010733783572713073
0,year,-9.951409227417876e-05
185,winner_votes_proportion,9.79245606747072e-05
194,urban,8.378557017526113e-05
140,assassination,-8.291481881684495e-05
156,audits,-8.06435436952438e-05
153,illegal_mining,-7.854118986240343e-05
82,n_jobs_AGRICULTURE,7.687783427577889e-05
167,overall_winner_health_job,7.433734393368794e-05
93,n_jobs_CULTURE AND SPORT,7.26445681416976e-05
169,overall_winner_law_job,7.25799486476014e-05
15,fed_election_year,-7.200914463988192e-05
135,n_companies_TOTAL INDUSTRIAL,-7.012662938112618e-05
16,populacao,-6.988189286203542e-05
168,overall_winner_corporate_job,6.706013065536768e-05
134,n_jobs_TOTAL SERVICE,6.608703659451687e-05
166,overall_winner_public_service_job,-6.516194619300823e-05
43,n_companies_EDUCATION,6.260167327322898e-05
184,runnerup_partido_other,5.8645194605668506e-05
196,water,5.643576172782976e-05
160,incumbant,-5.6278253819417665e-05
87,n_jobs_ASSOCIATIVE ACTIVITIES,-5.604311499983467e-05
104,n_jobs_HEALTH,-5.555780665400498e-05
1,rain1,5.080280175996098e-05
155,illegal_industry,-5.060007160716004e-05
165,overall_winner_agriculture_job,-4.890572086957041e-05
188,savanna,4.790098827115341e-05
141,assassination_attempt,-4.766050269640716e-05
133,n_jobs_TOTAL INDUSTRIAL,-4.76304045658846e-05
83,n_jobs_FOOD AND DRINKS,4.65272309141927e-05
44,n_companies_ELECTRICITY AND GAS,-4.5313714974911176e-05
9,mun_election_year,-4.473276043250652e-05
180,runnerup_partido_PMDB_MDB,4.2884454184889295e-05
20,copper,-4.2588738833373794e-05
25,mining_jobs,-3.987152158696281e-05
163,overall_winner_complete_college,-3.931829838985916e-05
179,runnerup_partido_PT,3.891038995309392e-05
18,ironore,-3.705129624624957e-05
148,expen_prom_ani_pro,-3.689613007664848e-05
3,slope,-3.440779556425134e-05
27,construction_jobs,-3.403869361361233e-05
137,n_companies_TOTAL,-3.2487416034765106e-05
58,n_companies_RETAIL,3.2183696210548454e-05
144,expen_env_man,-3.199990814345524e-05
28,PIB,-3.108705537886587e-05
145,expen_agr_org,-3.0500009289663517e-05
6,near_roads,-2.9328267681353325e-05
171,overall_winner_professional_job,2.8554605988461384e-05
22,soy_price,-2.722568329484528e-05
142,f_emitted_count,-2.645462501323233e-05
23,beef_price,-2.516205350183315e-05
138,n_jobs_TOTAL,-2.5103127727458045e-05
40,n_companies_MAIL AND TELECOM,-2.5040432954567635e-05
183,runnerup_partido_PL,-2.379752763323431e-05
136,n_companies_TOTAL SERVICE,-2.3645052217191503e-05
26,public_jobs,-2.26643668702327e-05
5,near_mines,1.7785508860008296e-05
19,silver,-1.69563556425576e-05
181,runnerup_partido_PSDB,-1.3967828444251776e-05
24,ag_jobs,-1.3043479094959084e-05
96,n_jobs_ELECTRICITY AND GAS,-1.0354957034886994e-05
7,near_hidrovia,1.009790786452302e-05
189,mangrove,4.499487047013446e-06
39,n_companies_CONSTRUCTION,8.764075950725628e-07
164,overall_winner_feminino,-1.82519927759623e-07
147,expen_petrol,4.1358686811497765e-09
146,expen_mining,2.883775830277147e-09
162,special,0.0
201,citrus,0.0
80,n_companies_,0.0
200,coffee,0.0
172,overall_winner_mining_job,0.0
176,overall_winner_partido_DEM,0.0
151,expen_agr_defense,0.0
152,expen_min_fuel,0.0
154,illegal_other,0.0
132,n_jobs_,0.0
161,term_limited_seat,0.0
10,new_forest_code,0.0
11,lula,0.0
12,dilma,0.0
13,temer,0.0
14,bolsonaro,0.0
182,runnerup_partido_DEM,0.0
150,expen_other_agr,0.0
