,Feature,Coeff
203,forest_lag,-75.16584830685548
187,forest_formation,75.13900725032322
37,n_companies_FINANCIAL ASSISTANCE,-0.6215793111621041
45,n_companies_FINANCES,0.3268595323911333
94,n_jobs_EDITING AND PRINTING,0.32107861436654866
127,n_jobs_TEXTILES,0.31666199255820493
116,n_jobs_CLOTHING,0.3093183819467238
124,n_jobs_RECYCLING,-0.2618477611481788
93,n_jobs_CULTURE AND SPORT,0.24236079633114718
69,n_companies_CHEMICALS,-0.21666270521641423
100,n_jobs_BASIC METALLURGY,-0.20555212850104365
61,n_companies_METALLIC PRODUCTS,0.1960081126743889
99,n_jobs_MACHINERY,0.18802447650004492
56,n_companies_GROUND TRANSPORT,0.18649473433629346
73,n_companies_LEATHERS AND FOOTWEAR,-0.18236256356418953
33,n_companies_EQUIPMENT RENTAL,0.1667302263462228
59,n_companies_COMPUTING,0.1387335795212397
46,n_companies_CLEANING AND SEWAGE,0.13805993165559213
113,n_jobs_METALLIC PRODUCTS,0.13320045027473454
36,n_companies_AUTOMOBILES AND TRANSPORT,0.12925627057377706
125,n_jobs_LEATHERS AND FOOTWEAR,0.12329882924559973
95,n_jobs_EDUCATION,-0.10988937933620722
44,n_companies_ELECTRICITY AND GAS,-0.08645843478742174
63,n_companies_FORESTRY,-0.08426145582751707
88,n_jobs_AUTOMOBILES AND TRANSPORT,-0.07838881376374617
108,n_jobs_GROUND TRANSPORT,-0.07731738047746997
121,n_jobs_CHEMICALS,-0.07610437663688642
199,other_crop,-0.07545656787669197
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,-0.06723715169371078
122,n_jobs_WATER-BASED TRANSPORTATION,0.06717458692935059
119,n_jobs_OIL AND GAS,0.06258493976884898
54,n_companies_PERSONAL SERVICES,-0.06113583239389075
38,n_companies_TRADE REP VEHICLES,-0.05362083441501471
192,sugarcane,0.05120621751445905
90,n_jobs_TRADE REP VEHICLES,0.043117838674644915
115,n_jobs_FORESTRY,0.040029311090851484
50,n_companies_WOOD PROD,-0.039840004987752496
126,n_jobs_RUBBER AND PLASTIC,0.0382375898643424
191,pasture,-0.036562301830109785
86,n_jobs_WHOLESALE,-0.03630075605866796
97,n_jobs_FINANCES,0.03511937677239191
32,n_companies_ACCOMODATION AND FOOD,-0.034425526907514034
96,n_jobs_ELECTRICITY AND GAS,0.03387975286029415
53,n_companies_SERVICES FOR COMPANIES,-0.03245948575472121
117,n_jobs_PAPER,0.03245750571177464
43,n_companies_EDUCATION,-0.03233075624934946
174,overall_winner_partido_PMDB_MDB,0.03208644019252961
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.02946425274688606
177,overall_winner_partido_PL,0.028508965809877506
82,n_jobs_AGRICULTURE,0.027542023667306986
131,n_jobs_PETROLEUM REFINING,-0.026830353874989065
175,overall_winner_partido_PSDB,0.026743537851461892
178,overall_winner_partido_other,0.026329435278845636
31,n_companies_FOOD AND DRINKS,0.024644189895449448
29,n_companies_PUBLIC ADMIN,0.02407192216692795
104,n_jobs_HEALTH,0.023584869678671887
173,overall_winner_partido_PT,0.023080854809674606
195,mining,-0.02118824478255667
35,n_companies_ASSOCIATIVE ACTIVITIES,-0.021075619302172405
184,runnerup_partido_other,-0.020946097484715254
181,runnerup_partido_PSDB,-0.019672635142503052
101,n_jobs_MINING,0.018711926810985654
183,runnerup_partido_PL,-0.018676279805962304
68,n_companies_FISHING AND AQUACULTURE,0.01729324380045286
180,runnerup_partido_PMDB_MDB,-0.016839381891914112
105,n_jobs_SERVICES FOR COMPANIES,0.01674280483356471
179,runnerup_partido_PT,-0.016153348210615273
170,overall_winner_technical_job,0.01510297441725817
197,soybean,0.014397612827821942
107,n_jobs_TRANSPORTATION,0.013939327670974472
83,n_jobs_FOOD AND DRINKS,-0.013583857489234435
39,n_companies_CONSTRUCTION,-0.01302028485933324
98,n_jobs_CLEANING AND SEWAGE,0.012228257346756801
34,n_companies_WHOLESALE,0.012018810423407928
