,Feature,Coeff
187,forest_formation,256.9406797678869
203,forest_lag,-255.93032574149404
191,pasture,-0.05646395400970952
28,PIB,-0.05252044249100315
133,n_jobs_TOTAL INDUSTRIAL,0.046659362551029815
159,emiss_agropec_full,-0.04500214712091978
136,n_companies_TOTAL SERVICE,0.039025297751152314
178,overall_winner_partido_other,0.03810744093589089
135,n_companies_TOTAL INDUSTRIAL,-0.03492425459837389
184,runnerup_partido_other,-0.03159949116594749
175,overall_winner_partido_PSDB,0.02849322934519889
174,overall_winner_partido_PMDB_MDB,0.02775792186911719
157,emiss_pec_full,0.024322437274565106
177,overall_winner_partido_PL,0.023248770065081567
183,runnerup_partido_PL,-0.020360998075965014
199,other_crop,-0.01952464298561686
181,runnerup_partido_PSDB,-0.019261476255777548
180,runnerup_partido_PMDB_MDB,-0.018465886152795062
173,overall_winner_partido_PT,0.016896899767208914
2,elevation,-0.01548344978221417
179,runnerup_partido_PT,-0.013430124378622151
8,indigenous_homol,0.0127390130748951
134,n_jobs_TOTAL SERVICE,0.011425349428874503
96,n_jobs_ELECTRICITY AND GAS,0.009492677395644928
197,soybean,0.00934729542209847
170,overall_winner_technical_job,0.009190638574799117
155,illegal_industry,0.008969052514757244
56,n_companies_GROUND TRANSPORT,0.00827332392892878
153,illegal_mining,0.007909100854501683
0,year,0.007832110120620992
164,overall_winner_feminino,0.0077651669090488705
16,populacao,-0.007512075356670749
6,near_roads,0.007458274776716585
188,savanna,0.007253449356550017
26,public_jobs,0.006939584662874307
99,n_jobs_MACHINERY,0.006823773231510246
102,n_jobs_WOOD PROD,-0.006677332073754263
45,n_companies_FINANCES,0.005571761172093736
137,n_companies_TOTAL,-0.005533213410053658
24,ag_jobs,-0.00521932177849149
196,water,-0.005129294124026063
119,n_jobs_OIL AND GAS,0.0050887145053008075
124,n_jobs_RECYCLING,-0.005081134394372825
100,n_jobs_BASIC METALLURGY,-0.005019906506451
37,n_companies_FINANCIAL ASSISTANCE,-0.005001408470575827
108,n_jobs_GROUND TRANSPORT,-0.004995723368987404
166,overall_winner_public_service_job,-0.00498911251150821
125,n_jobs_LEATHERS AND FOOTWEAR,0.0049439713412414
123,n_jobs_REAL ESTATE,0.004779084477541594
186,vote_participation_proportion,-0.0047347919823173944
44,n_companies_ELECTRICITY AND GAS,-0.004720249326812597
50,n_companies_WOOD PROD,-0.004704598238322279
93,n_jobs_CULTURE AND SPORT,0.004676788964431739
1,rain1,0.004628380765411931
71,n_companies_REAL ESTATE,-0.004591651809085187
36,n_companies_AUTOMOBILES AND TRANSPORT,0.004502091078139752
95,n_jobs_EDUCATION,-0.00443461366097167
94,n_jobs_EDITING AND PRINTING,0.004378817626218554
131,n_jobs_PETROLEUM REFINING,-0.0043471645144133745
142,f_emitted_count,-0.004219651736416976
73,n_companies_LEATHERS AND FOOTWEAR,-0.0041885459713054945
58,n_companies_RETAIL,0.004174526274464625
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.004018185998547043
25,mining_jobs,-0.003967038119364867
167,overall_winner_health_job,-0.003868338947571905
83,n_jobs_FOOD AND DRINKS,-0.0038156320495401244
86,n_jobs_WHOLESALE,-0.003798750602927487
81,n_jobs_PUBLIC ADMIN,-0.0037940145530069606
3,slope,0.003787511807535304
72,n_companies_RECYCLING,0.003778734840350894
7,near_hidrovia,0.00371986318416712
82,n_jobs_AGRICULTURE,0.003717690273273015
116,n_jobs_CLOTHING,0.0036919965805665826
69,n_companies_CHEMICALS,-0.003517527238991524
138,n_jobs_TOTAL,-0.0033945057004776133
90,n_jobs_TRADE REP VEHICLES,0.0033503658082496227
63,n_companies_FORESTRY,-0.0033236992767276576
