,Feature,Coeff
187,forest_formation,0.5105056465195938
203,forest_lag,0.430830249983397
191,pasture,0.026085498526572923
159,emiss_agropec_full,0.01277345943695051
1,rain1,0.0032135626334615073
102,n_jobs_WOOD PROD,0.00253929451861175
199,other_crop,0.0012329952368760496
202,other_perennial,0.0009602596396776148
7,near_hidrovia,0.0009520597061590447
43,n_companies_EDUCATION,0.00070649569187521
5,near_mines,0.0006810761729590603
4,aspect,0.0006208184181247682
116,n_jobs_CLOTHING,0.0006044014304252307
16,populacao,0.0005840013359167833
95,n_jobs_EDUCATION,0.0005352865248360199
188,savanna,0.0005135796090156672
63,n_companies_FORESTRY,0.0004766298907158801
2,elevation,0.0003964530420958057
121,n_jobs_CHEMICALS,0.00037515870085852573
140,assassination,0.0003561686706614995
158,emiss_agr_full,0.00030834535597563744
86,n_jobs_WHOLESALE,0.00025240676238038327
35,n_companies_ASSOCIATIVE ACTIVITIES,0.00023214368971274406
122,n_jobs_WATER-BASED TRANSPORTATION,0.0002319957661657061
6,near_roads,0.00020085587268203991
17,pib_pc,0.00018685960717403205
155,illegal_industry,0.00018258734586845663
0,year,0.0001796215876898248
107,n_jobs_TRANSPORTATION,0.0001558368789326768
22,soy_price,0.00014760934213080284
18,ironore,0.00012143980155902732
134,n_jobs_TOTAL SERVICE,0.00012071984574300081
196,water,0.00011867372066950669
185,winner_votes_proportion,0.00011685195225098374
20,copper,0.0001020776498024729
73,n_companies_LEATHERS AND FOOTWEAR,0.00010139500761555734
190,silvicultura,0.00010060326836447243
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.00010012757937506042
56,n_companies_GROUND TRANSPORT,9.807661537863744e-05
55,n_companies_TRANSPORTATION,9.535682517679948e-05
127,n_jobs_TEXTILES,9.448555477044269e-05
104,n_jobs_HEALTH,9.399081502002429e-05
24,ag_jobs,8.822379714356416e-05
72,n_companies_RECYCLING,7.997341289644973e-05
93,n_jobs_CULTURE AND SPORT,7.771196896034327e-05
138,n_jobs_TOTAL,7.663485440737185e-05
84,n_jobs_ACCOMODATION AND FOOD,7.34644933805308e-05
23,beef_price,6.968670241406922e-05
3,slope,6.743549473358913e-05
135,n_companies_TOTAL INDUSTRIAL,6.72403341174086e-05
110,n_jobs_RETAIL,6.722121131038741e-05
83,n_jobs_FOOD AND DRINKS,6.699583380560477e-05
96,n_jobs_ELECTRICITY AND GAS,6.217300731959666e-05
