,Feature,Coeff
0,expen_prom_ani_pro,0.4717995909150479
1,n_jobs_ACCOMODATION AND FOOD,0.05800173916754735
2,n_jobs_AERO TRANSPORT,0.05692189818759582
3,expen_env_man,0.031197883274265738
4,illegal_industry,0.025217853136936016
5,populacao,0.017203811697436115
6,n_jobs_TOTAL,0.014050054329648674
7,n_companies_COMPUTING,0.013627942733748934
8,runnerup_partido_PMDB_MDB,0.012591910301215942
9,n_jobs_RUBBER AND PLASTIC,0.011887397585508793
10,ag_jobs,0.01150395497576887
11,n_companies_TEXTILES,0.010819371920375222
12,PIB,0.009400270066669743
13,gold,0.009161826083404477
14,n_companies_CLOTHING,0.0077911079197187675
15,overall_winner_partido_other,0.0077232103531708375
16,n_companies_TRANSPORTATION,0.007701613191898182
17,soy_price,0.007524482822502629
18,n_jobs_WHOLESALE,0.007458421235563763
19,n_companies_INSURANCE AND SOCIAL SECURITY,0.007371349726316219
20,expen_prom_veg_pro,0.007095000955931168
21,silver,0.007045981126864407
22,mun_election_year,0.006723511793633712
23,near_hidrovia,0.006264668824194549
24,n_jobs_COMPUTING,0.00567650526445869
25,overall_winner_partido_PSDB,0.005585841026519206
26,runnerup_partido_PL,0.005286267765010275
27,year,0.0050988113206605025
28,n_companies_DOMESTIC SERVICES,0.005009068802769827
29,public_jobs,0.004886058943887446
30,n_companies_FISHING AND AQUACULTURE,0.004714657872514595
31,n_companies_WHOLESALE,0.004613584212435372
32,overall_winner_law_job,0.0046064329449754925
33,n_jobs_EDITING AND PRINTING,0.004512874501270187
34,n_companies_ACCOMODATION AND FOOD,0.004477215159336773
35,emiss_pec_full,0.004365871726819647
36,beef_price,0.004285694084725754
37,vote_participation_proportion,0.0038609436902527047
38,forest_formation,0.0038582665497741246
39,overall_winner_professional_job,0.0036679639157943065
40,n_companies_AUTOMOBILES AND TRANSPORT,0.003463950512434912
41,n_companies_HEALTH,0.003380431699915516
42,n_jobs_METALLIC PRODUCTS,0.0031212318044255313
43,n_companies_PAPER,0.0031141404114718154
44,slope,0.0030534903247265584
45,expen_agri,0.0030266007236895696
46,n_companies_ELECTRICITY AND GAS,0.002943502303209977
47,n_companies_TOTAL,0.0028706506362254336
48,n_jobs_ASSOCIATIVE ACTIVITIES,0.002847488282181887
49,n_companies_AGRICULTURE,0.0028104710831561817
50,f_emitted_count,0.002575996483807974
51,n_jobs_MINING,0.0025419552626347545
52,overall_winner_feminino,0.0024733595884284107
53,n_jobs_FISHING AND AQUACULTURE,0.0023653741607872953
54,n_jobs_PUBLIC ADMIN,0.0023195706601013997
55,n_companies_RECYCLING,0.0022859976766322143
56,forest_lag,0.002185800655851341
57,assassination_attempt,0.002178840930318798
58,overall_winner_partido_PMDB_MDB,0.002083833836451094
59,n_jobs_CLOTHING,0.00206233045447852
60,n_jobs_TOTAL SERVICE,0.002057189359924965
61,n_jobs_HEALTH,0.0019449708407680223
62,n_companies_FINANCES,0.0019372546611902744
63,n_jobs_REAL ESTATE,0.0019253870287975422
64,overall_winner_partido_PL,0.0018977450568166264
65,n_jobs_PAPER,0.0018945673542798691
66,n_companies_GROUND TRANSPORT,0.0018730742443160012
67,fed_election_year,0.0017805212531398255
68,expen_agr_org,0.0017495889669272696
69,n_jobs_TRADE REP VEHICLES,0.001620228739581545
70,pasture,0.0015460196828875814
71,indigenous_homol,0.0014938033118599532
72,n_jobs_EDUCATION,0.001436412943225057
73,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.001383607658090496
74,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0013736610370471516
75,n_companies_LEATHERS AND FOOTWEAR,0.001355458754118298
76,n_jobs_AUTOMOBILES AND TRANSPORT,0.0013165754225705692
77,n_jobs_FINANCIAL ASSISTANCE,0.0013145557106415677
78,urban,0.00123761457148736
79,n_companies_SERVICES FOR COMPANIES,0.0012195248312262886
80,n_jobs_LEATHERS AND FOOTWEAR,0.0011805264421172192
81,n_companies_AERO TRANSPORT,0.0011400605865055516
82,savanna,0.0011326057707753017
83,n_jobs_INTERNATIONAL BODIES,0.0010812329659399518
84,n_jobs_GROUND TRANSPORT,0.0010308266706208291
85,winner_votes_proportion,0.001020567517928516
86,n_companies_MACHINERY,0.0010200686342037204
87,n_companies_EDUCATION,0.0009873871856699063
88,pib_pc,0.0008477806172672088
89,n_companies_PUBLIC ADMIN,0.0007270917368929168
90,n_companies_FORESTRY,0.0007215553667965285
91,overall_winner_health_job,0.0004642124541263601
92,audits,0.00041319331494916176
93,mining_jobs,0.00033899009443719223
94,n_jobs_FOOD AND DRINKS,0.00025983397606882326
95,n_jobs_WOOD PROD,0.00022748713984345194
96,murder_threats,0.00019933572761332834
97,overall_winner_complete_college,0.00013188483940143513
98,n_jobs_MACHINERY,0.00012717641886603602
99,overall_winner_corporate_job,0.0001191839673319379
100,n_jobs_RECYCLING,0.00010586469119297937
101,n_jobs_TOTAL INDUSTRIAL,6.94448554571988e-05
202,rain1,0.0
165,n_companies_WATER-BASED TRANSPORTATION,0.0
175,n_jobs_BASIC METALLURGY,0.0
174,n_jobs_FINANCES,0.0
173,n_companies_PERSONAL SERVICES,0.0
172,n_companies_METALLIC PRODUCTS,0.0
171,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0
170,n_companies_WOOD PROD,0.0
169,n_companies_INTERNATIONAL BODIES,0.0
168,n_companies_OIL AND GAS,0.0
167,n_companies_MINING,0.0
166,n_companies_CHEMICALS,0.0
164,n_companies_REAL ESTATE,0.0
177,n_companies_MAIL AND TELECOM,0.0
163,n_companies_BASIC METALLURGY,0.0
162,n_companies_RUBBER AND PLASTIC,0.0
161,n_companies_RESEARCH AND DEVELOPMENT,0.0
160,n_companies_SMOKE,0.0
159,n_companies_PETROLEUM REFINING,0.0
158,n_companies_,0.0
157,n_companies_CLEANING AND SEWAGE,0.0
156,n_jobs_AGRICULTURE,0.0
155,n_jobs_EQUIPMENT RENTAL,0.0
154,n_companies_EDITING AND PRINTING,0.0
176,construction_jobs,0.0
178,assassination,0.0
102,other_perennial,0.0
191,n_companies_FINANCIAL ASSISTANCE,0.0
201,n_jobs_SERVICES FOR COMPANIES,0.0
200,n_jobs_PERSONAL SERVICES,0.0
199,n_jobs_TRANSPORTATION,0.0
198,n_jobs_RETAIL,0.0
197,n_companies_CONSTRUCTION,0.0
196,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0
195,n_companies_TRADE REP VEHICLES,0.0
194,n_jobs_DOMESTIC SERVICES,0.0
193,n_jobs_FORESTRY,0.0
192,n_jobs_OIL AND GAS,0.0
190,n_jobs_CHEMICALS,0.0
179,n_companies_FOOD AND DRINKS,0.0
189,n_jobs_WATER-BASED TRANSPORTATION,0.0
188,n_companies_ASSOCIATIVE ACTIVITIES,0.0
187,n_jobs_TEXTILES,0.0
186,n_jobs_RESEARCH AND DEVELOPMENT,0.0
185,n_companies_EQUIPMENT RENTAL,0.0
184,n_companies_RETAIL,0.0
183,n_jobs_PETROLEUM REFINING,0.0
182,n_jobs_,0.0
181,n_companies_TOTAL INDUSTRIAL,0.0
180,n_companies_TOTAL SERVICE,0.0
153,n_jobs_CONSTRUCTION,0.0
152,n_jobs_MAIL AND TELECOM,0.0
151,n_jobs_CULTURE AND SPORT,0.0
114,bolsonaro,0.0
124,elevation,0.0
123,mangrove,0.0
122,silvicultura,0.0
121,sugarcane,0.0
120,mosaic_ag,0.0
119,other_crop,0.0
118,coffee,0.0
117,mining,0.0
116,expen_agr_defense,0.0
115,illegal_mining,0.0
113,emiss_agr_full,0.0
150,n_companies_CULTURE AND SPORT,0.0
112,citrus,0.0
111,emiss_agropec_full,0.0
110,expen_min_fuel,0.0
109,expen_other_agr,0.0
108,illegal_other,0.0
107,ironore,0.0
106,expen_petrol,0.0
105,incumbant,0.0
104,term_limited_seat,0.0
103,special,0.0
125,aspect,0.0
126,water,0.0
127,runnerup_partido_other,0.0
128,near_mines,0.0
149,n_jobs_ELECTRICITY AND GAS,0.0
148,n_jobs_CLEANING AND SEWAGE,0.0
147,copper,0.0
146,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0
145,overall_winner_technical_job,0.0
144,temer,0.0
143,overall_winner_agriculture_job,0.0
142,overall_winner_public_service_job,0.0
141,dilma,0.0
140,lula,0.0
139,overall_winner_mining_job,0.0
138,rice,0.0
137,overall_winner_partido_PT,0.0
136,expen_mining,0.0
135,new_forest_code,0.0
134,overall_winner_partido_DEM,0.0
133,soybean,0.0
132,runnerup_partido_PT,0.0
131,near_roads,0.0
130,runnerup_partido_PSDB,0.0
129,runnerup_partido_DEM,0.0
203,n_jobs_SMOKE,0.0
