,Feature,Coeff
0,n_jobs_PAPER,0.15054959318245437
1,silver,0.046177926497117355
2,n_jobs_EQUIPMENT RENTAL,0.03598590291264642
3,year,0.03342923613057546
4,soy_price,0.027578918582120235
5,murder_threats,0.02634652181588123
6,n_companies_PAPER,0.022223277001745766
7,overall_winner_partido_PSDB,0.019254348813956244
8,expen_prom_ani_pro,0.018997020348496256
9,n_companies_HEALTH,0.018745553415181755
10,runnerup_partido_PL,0.018739284715603505
11,n_jobs_FOOD AND DRINKS,0.01790643280712411
12,forest_lag,0.015957963226385152
13,indigenous_homol,0.015819931993921833
14,pasture,0.015616362571682382
15,emiss_pec_full,0.015378155220993853
16,slope,0.014347629648712066
17,overall_winner_complete_college,0.013527596248382916
18,n_companies_REAL ESTATE,0.012779418176965053
19,incumbant,0.012726418159287524
20,overall_winner_agriculture_job,0.012678235461608593
21,n_companies_TRADE REP VEHICLES,0.012276897005771495
22,n_companies_ELECTRICITY AND GAS,0.012174199319876157
23,n_companies_TOTAL,0.012138586822811583
24,n_jobs_METALLIC PRODUCTS,0.012018610977592764
25,n_jobs_TOTAL SERVICE,0.011561546782719092
26,rain1,0.010643893697552927
27,n_companies_EDITING AND PRINTING,0.010206223325907562
28,gold,0.009935897312244129
29,construction_jobs,0.009515575363754103
30,n_companies_COMPUTING,0.009408662667835467
31,expen_agr_org,0.009076840039994037
32,n_companies_BASIC METALLURGY,0.008646649134435835
33,n_jobs_WHOLESALE,0.00855800054408666
34,winner_votes_proportion,0.0076576941075548665
35,n_companies_WHOLESALE,0.00746338331090935
36,soybean,0.007454936573215298
37,n_companies_ACCOMODATION AND FOOD,0.007298505875843873
38,n_companies_CLOTHING,0.006944173424507507
39,beef_price,0.00694322473847775
40,n_companies_WOOD PROD,0.006872340365412471
41,aspect,0.006435535750279088
42,n_jobs_PUBLIC ADMIN,0.006323609799922996
43,n_jobs_CHEMICALS,0.006240729467600206
44,n_jobs_GROUND TRANSPORT,0.006220894287985232
45,n_companies_SMOKE,0.006055588824753588
46,n_jobs_FORESTRY,0.006048261131209995
47,n_jobs_SERVICES FOR COMPANIES,0.006046134945420148
48,forest_formation,0.0059238215237498275
49,n_companies_OIL AND GAS,0.005696401153090662
50,populacao,0.005595225857944268
51,n_companies_INTERNATIONAL BODIES,0.005399391543722569
52,n_jobs_TRANSPORTATION,0.005358277260022213
53,n_companies_RESEARCH AND DEVELOPMENT,0.005026118932154661
54,n_jobs_AERO TRANSPORT,0.004882786560810875
55,n_companies_AGRICULTURE,0.004785433644636381
56,n_companies_PUBLIC ADMIN,0.004710081674330369
57,n_companies_FORESTRY,0.004666496028210265
58,ag_jobs,0.004442373778896817
59,n_companies_MAIL AND TELECOM,0.004370411436715575
60,n_jobs_EDITING AND PRINTING,0.004338154324801333
61,n_jobs_ELECTRICITY AND GAS,0.004316272182290856
62,n_companies_RECYCLING,0.004267471965070962
63,n_jobs_RUBBER AND PLASTIC,0.004262217209125764
64,emiss_agropec_full,0.004249682032135755
65,n_jobs_COMPUTING,0.004182264910267905
66,n_jobs_BASIC METALLURGY,0.0037948864372612146
67,n_jobs_WATER-BASED TRANSPORTATION,0.003740447516001355
68,public_jobs,0.0037040253742229713
69,n_companies_TEXTILES,0.003665559828286366
70,n_jobs_RETAIL,0.0036245541970920322
71,n_jobs_TOTAL INDUSTRIAL,0.0035763530755094867
72,mining_jobs,0.0035688090882828086
73,overall_winner_health_job,0.0035413859894044115
74,runnerup_partido_PT,0.003511004552357039
75,near_mines,0.0034877007153705413
76,illegal_industry,0.0034427456300812442
77,expen_env_man,0.00342919764648403
78,n_companies_AERO TRANSPORT,0.0033780164555267662
79,n_jobs_CULTURE AND SPORT,0.0031677142512982156
80,n_companies_DOMESTIC SERVICES,0.0031403730108358796
81,n_jobs_SMOKE,0.00312530096727853
82,n_companies_FINANCES,0.0030978118722486416
83,fed_election_year,0.003040942373929953
84,runnerup_partido_PMDB_MDB,0.003016286271876284
85,n_jobs_DOMESTIC SERVICES,0.0029775254602593744
86,n_companies_EDUCATION,0.0028717697682880306
87,overall_winner_technical_job,0.0027423965698636066
88,n_jobs_FISHING AND AQUACULTURE,0.0027321182292130088
89,near_hidrovia,0.0025869891699680666
90,n_jobs_CLEANING AND SEWAGE,0.0025096699252501993
91,emiss_agr_full,0.0024601996904175193
92,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.002355164758386008
93,overall_winner_partido_PMDB_MDB,0.002261196861036606
94,runnerup_partido_PSDB,0.0022461292918633333
95,copper,0.0021997781129018
96,n_jobs_PETROLEUM REFINING,0.0020585675230978453
97,n_jobs_FINANCES,0.0020384712933493505
98,savanna,0.001859447215672758
99,n_jobs_AGRICULTURE,0.0018280864990656619
100,n_companies_RETAIL,0.00176845364421847
101,n_companies_INSURANCE AND SOCIAL SECURITY,0.001435874364850885
102,n_companies_AUTOMOBILES AND TRANSPORT,0.0012172191241383312
103,n_jobs_ASSOCIATIVE ACTIVITIES,0.0011862587393436143
104,vote_participation_proportion,0.0011342536552725593
105,n_jobs_EDUCATION,0.0010950681648922043
106,near_roads,0.0010799139226598448
107,n_companies_CULTURE AND SPORT,0.0009954391262263856
108,audits,0.0009473399152913413
109,n_jobs_WOOD PROD,0.0009324736447759912
110,n_jobs_HEALTH,0.0008993353010301546
111,water,0.0008495539610393828
112,n_jobs_REAL ESTATE,0.0008207098084977268
113,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0007919545389208845
114,expen_prom_veg_pro,0.0006720396102748483
115,n_companies_PERSONAL SERVICES,0.0006193207043627149
116,n_jobs_MAIL AND TELECOM,0.0005093888762099641
117,n_companies_FOOD AND DRINKS,0.0004863513967683892
118,overall_winner_partido_PL,0.0002165954682950272
119,n_companies_FISHING AND AQUACULTURE,0.00014491241872314264
120,n_jobs_PERSONAL SERVICES,1.171344573293983e-05
172,n_jobs_TRADE REP VEHICLES,0.0
180,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0
179,n_jobs_MINING,0.0
178,n_jobs_CLOTHING,0.0
177,n_jobs_MACHINERY,0.0
176,n_jobs_INTERNATIONAL BODIES,0.0
175,n_jobs_OIL AND GAS,0.0
174,n_jobs_CONSTRUCTION,0.0
173,n_companies_TRANSPORTATION,0.0
202,n_companies_LEATHERS AND FOOTWEAR,0.0
171,n_jobs_LEATHERS AND FOOTWEAR,0.0
170,n_jobs_FINANCIAL ASSISTANCE,0.0
169,n_jobs_TEXTILES,0.0
168,n_jobs_RESEARCH AND DEVELOPMENT,0.0
167,n_jobs_AUTOMOBILES AND TRANSPORT,0.0
166,n_jobs_ACCOMODATION AND FOOD,0.0
165,n_companies_,0.0
164,n_jobs_,0.0
182,n_companies_PETROLEUM REFINING,0.0
181,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0
191,expen_other_agr,0.0
183,n_companies_RUBBER AND PLASTIC,0.0
184,n_companies_TOTAL INDUSTRIAL,0.0
201,n_jobs_TOTAL,0.0
200,n_companies_WATER-BASED TRANSPORTATION,0.0
199,assassination,0.0
198,assassination_attempt,0.0
197,f_emitted_count,0.0
196,expen_agri,0.0
195,n_companies_CHEMICALS,0.0
194,expen_mining,0.0
193,expen_petrol,0.0
192,mun_election_year,0.0
162,n_companies_SERVICES FOR COMPANIES,0.0
190,expen_agr_defense,0.0
189,expen_min_fuel,0.0
188,illegal_mining,0.0
187,illegal_other,0.0
186,n_companies_METALLIC PRODUCTS,0.0
185,n_companies_TOTAL SERVICE,0.0
163,n_jobs_RECYCLING,0.0
152,silvicultura,0.0
161,n_companies_GROUND TRANSPORT,0.0
139,n_companies_ASSOCIATIVE ACTIVITIES,0.0
137,overall_winner_partido_other,0.0
136,new_forest_code,0.0
135,overall_winner_feminino,0.0
134,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0
133,overall_winner_public_service_job,0.0
132,n_companies_MINING,0.0
131,n_companies_FINANCIAL ASSISTANCE,0.0
130,overall_winner_law_job,0.0
129,n_companies_MACHINERY,0.0
128,overall_winner_corporate_job,0.0
127,overall_winner_mining_job,0.0
126,overall_winner_partido_DEM,0.0
125,n_companies_CONSTRUCTION,0.0
124,overall_winner_professional_job,0.0
123,n_companies_CLEANING AND SEWAGE,0.0
122,bolsonaro,0.0
121,overall_winner_partido_PT,0.0
138,runnerup_partido_DEM,0.0
140,n_companies_EQUIPMENT RENTAL,0.0
160,special,0.0
141,other_perennial,0.0
159,term_limited_seat,0.0
158,elevation,0.0
157,runnerup_partido_other,0.0
156,PIB,0.0
155,lula,0.0
154,dilma,0.0
153,mangrove,0.0
151,ironore,0.0
150,sugarcane,0.0
149,mosaic_ag,0.0
148,urban,0.0
147,mining,0.0
146,pib_pc,0.0
145,rice,0.0
144,other_crop,0.0
143,coffee,0.0
142,citrus,0.0
203,temer,0.0
