,Feature,Coeff
0,gold,0.04263653250856488
1,beef_price,0.03904848432938903
2,soy_price,0.034348936447239874
3,n_jobs_INSURANCE AND SOCIAL SECURITY,0.03264119461921143
4,n_jobs_AUTOMOBILES AND TRANSPORT,0.020919896712802612
5,n_companies_REAL ESTATE,0.018918444450472686
6,n_companies_METALLIC PRODUCTS,0.018806843476982804
7,pasture,0.015819972871221832
8,silver,0.01566769993678496
9,rain1,0.014585214237681615
10,n_companies_WOOD PROD,0.014266580067848781
11,n_companies_RETAIL,0.013631145173994923
12,n_companies_MINING,0.013594785962015809
13,n_jobs_RETAIL,0.012803415693556643
14,n_companies_SERVICES FOR COMPANIES,0.012304061897157019
15,n_companies_PERSONAL SERVICES,0.011638718698979053
16,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.011229637781786631
17,n_companies_TRADE REP VEHICLES,0.010912972767825938
18,aspect,0.010796484854988886
19,near_mines,0.010416154330510801
20,n_companies_WATER TREATMENT AND DISTRIBUTION,0.010405961258580045
21,mun_election_year,0.010344433633837495
22,n_companies_FORESTRY,0.01003340027772103
23,n_companies_DOMESTIC SERVICES,0.009663659239907979
24,n_jobs_WHOLESALE,0.008842016595267366
25,n_companies_NON-METALLIC MINERAL PRODUCTS,0.00880374128968087
26,public_jobs,0.008766757009636075
27,n_jobs_BASIC METALLURGY,0.00854498480072895
28,overall_winner_agriculture_job,0.007994177963007118
29,runnerup_partido_PSDB,0.007450351813453374
30,n_jobs_WATER-BASED TRANSPORTATION,0.0072387388270565255
31,elevation,0.007083691598113043
32,fed_election_year,0.006942978854576856
33,n_companies_INSURANCE AND SOCIAL SECURITY,0.006922517669492609
34,n_companies_EQUIPMENT RENTAL,0.006655689757615707
35,n_jobs_CONSTRUCTION,0.006635132652788965
36,emiss_pec_full,0.006558119387493897
37,n_companies_WATER-BASED TRANSPORTATION,0.0065016989743247044
38,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.006427787179610672
39,runnerup_partido_other,0.0064142483055958256
40,n_jobs_EDITING AND PRINTING,0.006410319325113266
41,n_companies_INTERNATIONAL BODIES,0.0063919123463716055
42,pib_pc,0.006351551633892052
43,overall_winner_partido_other,0.006215002318488813
44,n_companies_COMPUTING,0.005700469298968969
45,n_jobs_CLOTHING,0.005591455972655321
46,construction_jobs,0.0055704095451675605
47,ag_jobs,0.005469853540977863
48,n_companies_GROUND TRANSPORT,0.0054449729181547495
49,near_roads,0.00525198170996395
50,n_jobs_LEATHERS AND FOOTWEAR,0.005221399412150323
51,n_companies_PAPER,0.005136315425047604
52,n_companies_AGRICULTURE,0.0050941698486905345
53,n_jobs_AGRICULTURE,0.0049405401669746305
54,n_companies_TEXTILES,0.004811769051101543
55,n_companies_ELECTRICITY AND GAS,0.00475842922480215
56,vote_participation_proportion,0.004756067782395569
57,overall_winner_partido_PL,0.004749672233505422
58,mosaic_ag,0.004744724650412638
59,n_jobs_CHEMICALS,0.004716618931527388
60,n_jobs_RECYCLING,0.004682310977542072
61,n_companies_AERO TRANSPORT,0.004675181528326624
62,assassination_attempt,0.0046440487795344435
63,n_companies_WHOLESALE,0.004640932138229277
64,n_companies_CLOTHING,0.0046069253252262864
65,n_jobs_FINANCES,0.004543378869707038
66,n_jobs_FORESTRY,0.00452351133774917
67,n_jobs_FOOD AND DRINKS,0.004517831852045092
68,n_companies_RESEARCH AND DEVELOPMENT,0.004486377933286935
69,emiss_agr_full,0.00448528887498588
70,incumbant,0.004465938813647249
71,n_jobs_RUBBER AND PLASTIC,0.004449028055412136
72,n_jobs_CULTURE AND SPORT,0.004389913526383105
73,n_jobs_PAPER,0.004366749842554554
74,n_jobs_ELECTRICITY AND GAS,0.004365295038555085
75,audits,0.00413651356698068
76,overall_winner_partido_PMDB_MDB,0.00411849395534356
77,n_companies_TOTAL SERVICE,0.0041164385053952994
78,copper,0.00405727054912857
79,n_companies_RUBBER AND PLASTIC,0.0040525407416233455
80,n_jobs_HEALTH,0.004030278006580724
81,n_companies_EDITING AND PRINTING,0.0040132575463470415
82,other_perennial,0.004002745967646437
83,n_companies_SMOKE,0.003986003351125681
84,n_jobs_TOTAL INDUSTRIAL,0.003976059187546449
85,assassination,0.0038838360349605547
86,n_companies_FINANCES,0.003814902311670526
87,expen_prom_veg_pro,0.0037898356341368655
88,expen_agr_org,0.0037877518147937024
89,n_jobs_OIL AND GAS,0.0037814970945830757
90,water,0.003753042693515182
91,n_jobs_MINING,0.003732770744219231
92,near_hidrovia,0.003720507377918394
93,n_jobs_PUBLIC ADMIN,0.003712886029073606
94,overall_winner_corporate_job,0.00370789538505388
95,n_companies_RECYCLING,0.003682814945230741
96,runnerup_partido_PT,0.0036620250575621566
97,n_companies_ACCOMODATION AND FOOD,0.003563874722433524
98,n_companies_EDUCATION,0.0035438600690317844
99,n_companies_HEALTH,0.003526268020303546
100,winner_votes_proportion,0.0034310419833869462
101,n_jobs_MACHINERY,0.0034216394062602583
102,overall_winner_partido_PT,0.0033535237850316514
103,n_jobs_COMPUTING,0.003352971920384955
104,n_jobs_PERSONAL SERVICES,0.003329631320015878
105,mining,0.0033028520891147588
106,n_jobs_DOMESTIC SERVICES,0.003268990628935295
107,n_jobs_AERO TRANSPORT,0.003235530019015272
108,mining_jobs,0.0032207489070364683
109,indigenous_homol,0.0031952100189714784
110,forest_formation,0.003154167848809185
111,n_companies_FISHING AND AQUACULTURE,0.0031534062292905584
112,illegal_mining,0.003151681281579398
113,n_companies_MACHINERY,0.0031236311130210374
114,slope,0.0031148243521814853
115,n_jobs_ACCOMODATION AND FOOD,0.003113933206737636
116,runnerup_partido_PMDB_MDB,0.0030676432641849965
117,n_jobs_PETROLEUM REFINING,0.0030324746913452934
118,expen_agri,0.002995530735437106
119,n_companies_CULTURE AND SPORT,0.0029918090770391565
120,overall_winner_law_job,0.002955944537500828
121,PIB,0.0029520569847885114
122,n_companies_TOTAL,0.002928515009485767
123,n_jobs_EQUIPMENT RENTAL,0.002927365369236647
124,n_companies_TOTAL INDUSTRIAL,0.0029145934273805815
125,expen_prom_ani_pro,0.002892082919032859
126,n_jobs_CLEANING AND SEWAGE,0.0028769041276665627
127,n_companies_PETROLEUM REFINING,0.0028548595461442227
128,expen_env_man,0.002846018423782679
129,runnerup_partido_PL,0.0028265412586430255
130,n_companies_TRANSPORTATION,0.002788841104297307
131,ironore,0.0027550319951569193
132,overall_winner_public_service_job,0.0027090174020345716
133,mangrove,0.002682924280129482
134,n_jobs_TRADE REP VEHICLES,0.002669635459193671
135,n_jobs_TRANSPORTATION,0.002647943206577022
136,n_jobs_GROUND TRANSPORT,0.0026450592777598455
137,year,0.002644666317401077
138,n_jobs_SMOKE,0.0026133862628981734
139,soybean,0.0025627437319491447
140,n_companies_AUTOMOBILES AND TRANSPORT,0.002535491536551965
141,overall_winner_health_job,0.0025314308377770703
142,emiss_agropec_full,0.0025281022092202656
143,silvicultura,0.00252757797655824
144,n_jobs_EDUCATION,0.0025216877537236494
145,n_companies_ASSOCIATIVE ACTIVITIES,0.002511349339836508
146,overall_winner_complete_college,0.0024973661777088667
147,n_companies_CONSTRUCTION,0.0024224443475397415
148,n_jobs_TOTAL,0.0024103472515588768
149,overall_winner_partido_PSDB,0.0023228382900859694
150,savanna,0.0023034701934484653
151,n_companies_PUBLIC ADMIN,0.0022904362599737342
152,n_jobs_TOTAL SERVICE,0.0022252576761509595
153,n_jobs_ASSOCIATIVE ACTIVITIES,0.0022101291615833772
154,n_jobs_TEXTILES,0.0021623166373017644
155,overall_winner_professional_job,0.0020978081384500705
156,n_jobs_SERVICES FOR COMPANIES,0.0019912671454091094
157,n_jobs_FINANCIAL ASSISTANCE,0.0019163873416412494
158,n_companies_FINANCIAL ASSISTANCE,0.0018908525726515104
159,illegal_industry,0.0018691330982344933
160,n_companies_LEATHERS AND FOOTWEAR,0.0018092619566863661
161,murder_threats,0.0018076170877002217
162,n_companies_CLEANING AND SEWAGE,0.0017892049581843745
163,n_jobs_RESEARCH AND DEVELOPMENT,0.001679385132006845
164,n_jobs_METALLIC PRODUCTS,0.001659325902908941
165,f_emitted_count,0.0016494543049777515
166,n_companies_FOOD AND DRINKS,0.0016277880616657676
167,n_jobs_WOOD PROD,0.0015257605446225815
168,n_jobs_INTERNATIONAL BODIES,0.0015023918183039748
169,n_companies_CHEMICALS,0.001488813445660598
170,overall_winner_feminino,0.001466899814489912
171,n_companies_MAIL AND TELECOM,0.001462607435738087
172,n_jobs_REAL ESTATE,0.0014451376420182818
173,forest_lag,0.0012922405439110814
174,overall_winner_technical_job,0.0012697545988076518
175,n_companies_BASIC METALLURGY,0.0012151799388297974
176,populacao,0.0011978107942184509
177,n_companies_OIL AND GAS,0.0009824490235027575
178,n_jobs_FISHING AND AQUACULTURE,0.0009261027342031108
179,n_jobs_MAIL AND TELECOM,0.000840421699689201
180,other_crop,0.0007971963486432532
181,overall_winner_partido_DEM,0.0005531482997302458
197,runnerup_partido_DEM,0.0
194,term_limited_seat,0.0
195,special,0.0
196,overall_winner_mining_job,0.0
192,expen_min_fuel,0.0
198,illegal_other,0.0
199,n_jobs_,0.0
200,expen_mining,0.0
201,expen_petrol,0.0
193,expen_agr_defense,0.0
202,expen_other_agr,0.0
191,bolsonaro,0.0
190,urban,0.0
189,temer,0.0
188,dilma,0.0
187,sugarcane,0.0
186,lula,0.0
185,rice,0.0
184,coffee,0.0
183,citrus,0.0
182,new_forest_code,0.0
203,n_companies_,0.0
