,Feature,Coeff
0,soy_price,0.04514041766478882
1,ironore,0.03810753896737318
2,n_companies_FISHING AND AQUACULTURE,0.027417016192337655
3,overall_winner_public_service_job,0.024750805507652438
4,vote_participation_proportion,0.023457731344401978
5,incumbant,0.02093308326327915
6,emiss_pec_full,0.02062985155464542
7,silver,0.020003126977214458
8,n_companies_NON-METALLIC MINERAL PRODUCTS,0.01957684672322926
9,overall_winner_complete_college,0.01848582032833845
10,near_mines,0.018221425234039617
11,n_companies_HEALTH,0.017359185742632958
12,gold,0.015910830129137507
13,overall_winner_partido_other,0.015601123135767728
14,aspect,0.01545638493580551
15,ag_jobs,0.015083232101082235
16,n_jobs_FOOD AND DRINKS,0.015058572145352656
17,n_companies_ASSOCIATIVE ACTIVITIES,0.014990548541696944
18,n_companies_TRADE REP VEHICLES,0.01485273345289472
19,slope,0.014548563240716782
20,n_companies_CLEANING AND SEWAGE,0.014403665937814393
21,n_companies_EQUIPMENT RENTAL,0.014081623963518756
22,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0138501628112965
23,murder_threats,0.013042312676733663
24,n_companies_AERO TRANSPORT,0.012529364200748003
25,overall_winner_partido_PL,0.01210857765967989
26,elevation,0.01176956640524399
27,near_roads,0.0113059341756136
28,n_companies_CLOTHING,0.011217215026036653
29,runnerup_partido_PMDB_MDB,0.010767976139430861
30,winner_votes_proportion,0.010725301345871154
31,near_hidrovia,0.01016727250106341
32,n_companies_TEXTILES,0.010098724221188678
33,copper,0.01004308938445881
34,n_companies_CULTURE AND SPORT,0.009930395449641539
35,forest_formation,0.009925382352526381
36,n_jobs_WOOD PROD,0.009532512380275948
37,runnerup_partido_PL,0.009341627810404951
38,n_companies_CHEMICALS,0.009265997635023003
39,n_companies_LEATHERS AND FOOTWEAR,0.008620312104544812
40,n_companies_EDITING AND PRINTING,0.008438645169946784
41,overall_winner_professional_job,0.00811775569495615
42,overall_winner_corporate_job,0.0077258988161998015
43,beef_price,0.007562129543670704
44,n_jobs_EDUCATION,0.007071437953031412
45,n_jobs_AERO TRANSPORT,0.006790316576727938
46,n_jobs_ASSOCIATIVE ACTIVITIES,0.0067643473931974785
47,n_companies_RECYCLING,0.006753684361825177
48,n_companies_FINANCIAL ASSISTANCE,0.006658282951281546
49,n_jobs_METALLIC PRODUCTS,0.006400664752473435
50,n_companies_WOOD PROD,0.005972843089293307
51,assassination,0.00596932944242525
52,n_companies_SMOKE,0.005908073596468351
