,Feature,Coeff
203,forest_lag,0.5988336607628393
187,forest_formation,0.22282185675534982
191,pasture,0.16770286047432073
199,other_crop,0.008875888453504371
82,n_jobs_AGRICULTURE,0.0001627347010158036
190,silvicultura,0.00012502430637524557
64,n_companies_CLOTHING,8.084159784420072e-05
28,PIB,7.564229677154944e-05
137,n_companies_TOTAL,6.85536970603408e-05
25,mining_jobs,6.013178417497756e-05
22,soy_price,4.613547229579133e-05
66,n_companies_INTERNATIONAL BODIES,4.475427683088362e-05
174,overall_winner_partido_PMDB_MDB,4.2100893525538674e-05
159,emiss_agropec_full,4.034716969155054e-05
5,near_mines,3.991628690012474e-05
186,vote_participation_proportion,3.844697144388698e-05
46,n_companies_CLEANING AND SEWAGE,3.687494422790931e-05
95,n_jobs_EDUCATION,3.562940488501924e-05
102,n_jobs_WOOD PROD,3.4792279040439445e-05
47,n_companies_MACHINERY,3.114592714783957e-05
26,public_jobs,2.9851539254082637e-05
54,n_companies_PERSONAL SERVICES,2.9650433531550776e-05
135,n_companies_TOTAL INDUSTRIAL,2.5968974618779564e-05
15,fed_election_year,2.571331940209131e-05
136,n_companies_TOTAL SERVICE,2.571133720071108e-05
61,n_companies_METALLIC PRODUCTS,2.5304198481032462e-05
100,n_jobs_BASIC METALLURGY,2.4084504740199633e-05
21,gold,2.3274397265324547e-05
101,n_jobs_MINING,2.2928595414608952e-05
2,elevation,2.1167026669736846e-05
50,n_companies_WOOD PROD,2.110124565413942e-05
193,mosaic_ag,2.023190432300336e-05
94,n_jobs_EDITING AND PRINTING,1.938017744772958e-05
32,n_companies_ACCOMODATION AND FOOD,1.879065532276966e-05
123,n_jobs_REAL ESTATE,1.8392778116441363e-05
113,n_jobs_METALLIC PRODUCTS,1.818164744525234e-05
87,n_jobs_ASSOCIATIVE ACTIVITIES,1.8115868688612395e-05
118,n_jobs_INTERNATIONAL BODIES,1.796928408655114e-05
9,mun_election_year,1.7605642136377073e-05
88,n_jobs_AUTOMOBILES AND TRANSPORT,1.689953038152359e-05
19,silver,1.660127591480098e-05
36,n_companies_AUTOMOBILES AND TRANSPORT,1.6590343407539566e-05
39,n_companies_CONSTRUCTION,1.6408689871867436e-05
6,near_roads,1.6278067028754592e-05
138,n_jobs_TOTAL,1.6176032808422017e-05
155,illegal_industry,1.581742161582545e-05
42,n_companies_EDITING AND PRINTING,1.4530711489858694e-05
110,n_jobs_RETAIL,1.38028013243448e-05
86,n_jobs_WHOLESALE,1.3261223443940643e-05
179,runnerup_partido_PT,1.289983775773852e-05
133,n_jobs_TOTAL INDUSTRIAL,1.2759656329705713e-05
111,n_jobs_COMPUTING,1.2560959596398177e-05
60,n_companies_INSURANCE AND SOCIAL SECURITY,1.2548819506792475e-05
63,n_companies_FORESTRY,1.2441576788695487e-05
58,n_companies_RETAIL,1.1196153120765829e-05
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,1.1002679117461294e-05
96,n_jobs_ELECTRICITY AND GAS,1.0913359595990485e-05
93,n_jobs_CULTURE AND SPORT,1.042321466162509e-05
17,pib_pc,1.0019990518295711e-05
84,n_jobs_ACCOMODATION AND FOOD,9.918795438716179e-06
108,n_jobs_GROUND TRANSPORT,9.555199478715007e-06
69,n_companies_CHEMICALS,8.744468107137421e-06
134,n_jobs_TOTAL SERVICE,8.547271576296587e-06
35,n_companies_ASSOCIATIVE ACTIVITIES,8.088272543894841e-06
30,n_companies_AGRICULTURE,8.056794347403217e-06
24,ag_jobs,7.678220772377833e-06
4,aspect,7.657456849232728e-06
121,n_jobs_CHEMICALS,7.583923549498279e-06
43,n_companies_EDUCATION,7.449541851495395e-06
105,n_jobs_SERVICES FOR COMPANIES,7.11865205275325e-06
85,n_jobs_EQUIPMENT RENTAL,6.009242201604296e-06
48,n_companies_BASIC METALLURGY,5.85415038328295e-06
195,mining,3.843681522879909e-06
65,n_companies_PAPER,0.0
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0
14,bolsonaro,0.0
59,n_companies_COMPUTING,0.0
13,temer,0.0
188,savanna,0.0
62,n_companies_DOMESTIC SERVICES,0.0
12,dilma,0.0
11,lula,0.0
10,new_forest_code,0.0
8,indigenous_homol,0.0
185,winner_votes_proportion,0.0
184,runnerup_partido_other,0.0
56,n_companies_GROUND TRANSPORT,0.0
67,n_companies_OIL AND GAS,0.0
7,near_hidrovia,0.0
68,n_companies_FISHING AND AQUACULTURE,0.0
201,citrus,0.0
3,slope,0.0
1,rain1,0.0
70,n_companies_WATER-BASED TRANSPORTATION,0.0
71,n_companies_REAL ESTATE,0.0
72,n_companies_RECYCLING,0.0
73,n_companies_LEATHERS AND FOOTWEAR,0.0
74,n_companies_RUBBER AND PLASTIC,0.0
200,coffee,0.0
34,n_companies_WHOLESALE,0.0
33,n_companies_EQUIPMENT RENTAL,0.0
196,water,0.0
31,n_companies_FOOD AND DRINKS,0.0
37,n_companies_FINANCIAL ASSISTANCE,0.0
38,n_companies_TRADE REP VEHICLES,0.0
29,n_companies_PUBLIC ADMIN,0.0
40,n_companies_MAIL AND TELECOM,0.0
41,n_companies_CULTURE AND SPORT,0.0
194,urban,0.0
76,n_companies_RESEARCH AND DEVELOPMENT,0.0
44,n_companies_ELECTRICITY AND GAS,0.0
27,construction_jobs,0.0
45,n_companies_FINANCES,0.0
192,sugarcane,0.0
55,n_companies_TRANSPORTATION,0.0
23,beef_price,0.0
49,n_companies_MINING,0.0
197,soybean,0.0
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0
198,rice,0.0
52,n_companies_HEALTH,0.0
20,copper,0.0
18,ironore,0.0
53,n_companies_SERVICES FOR COMPANIES,0.0
16,populacao,0.0
189,mangrove,0.0
75,n_companies_TEXTILES,0.0
175,overall_winner_partido_PSDB,0.0
77,n_companies_AERO TRANSPORT,0.0
145,expen_agr_org,0.0
152,expen_min_fuel,0.0
151,expen_agr_defense,0.0
150,expen_other_agr,0.0
149,expen_prom_veg_pro,0.0
148,expen_prom_ani_pro,0.0
147,expen_petrol,0.0
146,expen_mining,0.0
144,expen_env_man,0.0
78,n_companies_SMOKE,0.0
143,expen_agri,0.0
142,f_emitted_count,0.0
141,assassination_attempt,0.0
140,assassination,0.0
139,murder_threats,0.0
177,overall_winner_partido_PL,0.0
178,overall_winner_partido_other,0.0
153,illegal_mining,0.0
154,illegal_other,0.0
156,audits,0.0
157,emiss_pec_full,0.0
172,overall_winner_mining_job,0.0
171,overall_winner_professional_job,0.0
170,overall_winner_technical_job,0.0
169,overall_winner_law_job,0.0
168,overall_winner_corporate_job,0.0
167,overall_winner_health_job,0.0
166,overall_winner_public_service_job,0.0
165,overall_winner_agriculture_job,0.0
164,overall_winner_feminino,0.0
163,overall_winner_complete_college,0.0
162,special,0.0
161,term_limited_seat,0.0
160,incumbant,0.0
176,overall_winner_partido_DEM,0.0
158,emiss_agr_full,0.0
132,n_jobs_,0.0
