,Feature,Coeff
187,forest_formation,0.4755338331027042
203,forest_lag,0.4703829395380987
191,pasture,0.03038474869054333
159,emiss_agropec_full,0.004985180732931872
1,rain1,0.0019523495896606046
96,n_jobs_ELECTRICITY AND GAS,0.001571030734944645
199,other_crop,0.001119004755326691
16,populacao,0.0007898723773562419
17,pib_pc,0.0007386120366152477
102,n_jobs_WOOD PROD,0.0006943961913371301
7,near_hidrovia,0.0006604598192458592
5,near_mines,0.0006543580888842148
46,n_companies_CLEANING AND SEWAGE,0.00046614110426706384
45,n_companies_FINANCES,0.000464442878509216
121,n_jobs_CHEMICALS,0.00045738743380262643
202,other_perennial,0.0004397879147181561
2,elevation,0.00042513137931273224
3,slope,0.00039509984068621383
188,savanna,0.0003741784626277764
98,n_jobs_CLEANING AND SEWAGE,0.0003445889067863324
83,n_jobs_FOOD AND DRINKS,0.0003012995559638594
53,n_companies_SERVICES FOR COMPANIES,0.0002873846604870964
123,n_jobs_REAL ESTATE,0.00027521453247995094
21,gold,0.00027085569137062136
190,silvicultura,0.0002697370652373608
32,n_companies_ACCOMODATION AND FOOD,0.00026923315869919903
6,near_roads,0.0002597141225629009
26,public_jobs,0.00025557743272689267
186,vote_participation_proportion,0.0002519786038067999
30,n_companies_AGRICULTURE,0.0002403984706270817
73,n_companies_LEATHERS AND FOOTWEAR,0.00023558646078754324
114,n_jobs_DOMESTIC SERVICES,0.00023380353809712636
41,n_companies_CULTURE AND SPORT,0.0001817499164935539
43,n_companies_EDUCATION,0.00017204297264179975
140,assassination,0.0001589964325495639
58,n_companies_RETAIL,0.00015722351438793327
54,n_companies_PERSONAL SERVICES,0.00015316103035284756
44,n_companies_ELECTRICITY AND GAS,0.0001476811621559058
18,ironore,0.00014479822280525977
82,n_jobs_AGRICULTURE,0.00013822551891713768
122,n_jobs_WATER-BASED TRANSPORTATION,0.00013488083090739303
61,n_companies_METALLIC PRODUCTS,0.00013427629182068772
35,n_companies_ASSOCIATIVE ACTIVITIES,0.00013136342067643315
0,year,0.00013001551822134028
136,n_companies_TOTAL SERVICE,0.0001252866126597092
69,n_companies_CHEMICALS,0.0001241606923094462
101,n_jobs_MINING,0.00011233702017123226
196,water,0.00010894083429235452
94,n_jobs_EDITING AND PRINTING,0.00010617053918903397
48,n_companies_BASIC METALLURGY,0.00010176003181148745
23,beef_price,0.00010063384898493297
57,n_companies_WATER TREATMENT AND DISTRIBUTION,9.637062721500216e-05
158,emiss_agr_full,9.425808709645213e-05
68,n_companies_FISHING AND AQUACULTURE,8.723790826534593e-05
29,n_companies_PUBLIC ADMIN,7.772202403820208e-05
38,n_companies_TRADE REP VEHICLES,7.771923037466321e-05
127,n_jobs_TEXTILES,7.060352325739483e-05
37,n_companies_FINANCIAL ASSISTANCE,6.866236699171764e-05
144,expen_env_man,6.547182523878601e-05
20,copper,5.635818561647531e-05
105,n_jobs_SERVICES FOR COMPANIES,4.767325747287043e-05
64,n_companies_CLOTHING,4.745017680000938e-05
135,n_companies_TOTAL INDUSTRIAL,4.69466814137217e-05
71,n_companies_REAL ESTATE,4.535754711374109e-05
15,fed_election_year,4.4354544467922614e-05
106,n_jobs_PERSONAL SERVICES,4.231539880647627e-05
31,n_companies_FOOD AND DRINKS,3.7704302721248287e-05
195,mining,3.6808375097632544e-05
116,n_jobs_CLOTHING,3.612397613388685e-05
149,expen_prom_veg_pro,3.5910650584285805e-05
125,n_jobs_LEATHERS AND FOOTWEAR,3.250354712383051e-05
133,n_jobs_TOTAL INDUSTRIAL,3.1165497510496624e-05
76,n_companies_RESEARCH AND DEVELOPMENT,3.0130162987907175e-05
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,2.8662565279964084e-05
97,n_jobs_FINANCES,2.8358014217465802e-05
193,mosaic_ag,2.2697637725510366e-05
84,n_jobs_ACCOMODATION AND FOOD,2.2435582721387265e-05
88,n_jobs_AUTOMOBILES AND TRANSPORT,1.914388612502036e-05
87,n_jobs_ASSOCIATIVE ACTIVITIES,1.592810840269753e-05
36,n_companies_AUTOMOBILES AND TRANSPORT,1.3675815981203682e-05
142,f_emitted_count,1.336703069061337e-05
70,n_companies_WATER-BASED TRANSPORTATION,1.3125597038509095e-05
75,n_companies_TEXTILES,1.2733539577778998e-05
157,emiss_pec_full,1.0296713077752075e-05
40,n_companies_MAIL AND TELECOM,9.358726925547952e-06
8,indigenous_homol,7.5019011986232905e-06
99,n_jobs_MACHINERY,7.274469744051776e-06
4,aspect,4.010473821023834e-06
27,construction_jobs,3.822558850379286e-06
52,n_companies_HEALTH,2.880877407294188e-06
92,n_jobs_MAIL AND TELECOM,2.650799571901868e-06
11,lula,1.7882105570523718e-06
42,n_companies_EDITING AND PRINTING,1.518943687165149e-06
174,overall_winner_partido_PMDB_MDB,1.1838925962971286e-06
50,n_companies_WOOD PROD,7.054759213801468e-07
55,n_companies_TRANSPORTATION,0.0
175,overall_winner_partido_PSDB,0.0
56,n_companies_GROUND TRANSPORT,0.0
176,overall_winner_partido_DEM,0.0
198,rice,0.0
200,coffee,0.0
59,n_companies_COMPUTING,0.0
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.0
173,overall_winner_partido_PT,0.0
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0
62,n_companies_DOMESTIC SERVICES,0.0
63,n_companies_FORESTRY,0.0
201,citrus,0.0
49,n_companies_MINING,0.0
13,temer,0.0
197,soybean,0.0
9,mun_election_year,0.0
194,urban,0.0
192,sugarcane,0.0
19,silver,0.0
12,dilma,0.0
189,mangrove,0.0
22,soy_price,0.0
10,new_forest_code,0.0
24,ag_jobs,0.0
25,mining_jobs,0.0
185,winner_votes_proportion,0.0
28,PIB,0.0
184,runnerup_partido_other,0.0
47,n_companies_MACHINERY,0.0
183,runnerup_partido_PL,0.0
33,n_companies_EQUIPMENT RENTAL,0.0
34,n_companies_WHOLESALE,0.0
65,n_companies_PAPER,0.0
39,n_companies_CONSTRUCTION,0.0
181,runnerup_partido_PSDB,0.0
14,bolsonaro,0.0
180,runnerup_partido_PMDB_MDB,0.0
179,runnerup_partido_PT,0.0
178,overall_winner_partido_other,0.0
177,overall_winner_partido_PL,0.0
182,runnerup_partido_DEM,0.0
160,incumbant,0.0
66,n_companies_INTERNATIONAL BODIES,0.0
138,n_jobs_TOTAL,0.0
119,n_jobs_OIL AND GAS,0.0
120,n_jobs_FISHING AND AQUACULTURE,0.0
164,overall_winner_feminino,0.0
163,overall_winner_complete_college,0.0
162,special,0.0
124,n_jobs_RECYCLING,0.0
126,n_jobs_RUBBER AND PLASTIC,0.0
128,n_jobs_RESEARCH AND DEVELOPMENT,0.0
129,n_jobs_AERO TRANSPORT,0.0
130,n_jobs_SMOKE,0.0
131,n_jobs_PETROLEUM REFINING,0.0
132,n_jobs_,0.0
134,n_jobs_TOTAL SERVICE,0.0
137,n_companies_TOTAL,0.0
139,murder_threats,0.0
67,n_companies_OIL AND GAS,0.0
161,term_limited_seat,0.0
141,assassination_attempt,0.0
143,expen_agri,0.0
145,expen_agr_org,0.0
146,expen_mining,0.0
147,expen_petrol,0.0
148,expen_prom_ani_pro,0.0
150,expen_other_agr,0.0
151,expen_agr_defense,0.0
152,expen_min_fuel,0.0
153,illegal_mining,0.0
154,illegal_other,0.0
155,illegal_industry,0.0
156,audits,0.0
118,n_jobs_INTERNATIONAL BODIES,0.0
117,n_jobs_PAPER,0.0
115,n_jobs_FORESTRY,0.0
165,overall_winner_agriculture_job,0.0
72,n_companies_RECYCLING,0.0
172,overall_winner_mining_job,0.0
74,n_companies_RUBBER AND PLASTIC,0.0
77,n_companies_AERO TRANSPORT,0.0
78,n_companies_SMOKE,0.0
80,n_companies_,0.0
81,n_jobs_PUBLIC ADMIN,0.0
171,overall_winner_professional_job,0.0
170,overall_winner_technical_job,0.0
85,n_jobs_EQUIPMENT RENTAL,0.0
86,n_jobs_WHOLESALE,0.0
89,n_jobs_FINANCIAL ASSISTANCE,0.0
90,n_jobs_TRADE REP VEHICLES,0.0
91,n_jobs_CONSTRUCTION,0.0
93,n_jobs_CULTURE AND SPORT,0.0
95,n_jobs_EDUCATION,0.0
169,overall_winner_law_job,0.0
168,overall_winner_corporate_job,0.0
100,n_jobs_BASIC METALLURGY,0.0
167,overall_winner_health_job,0.0
166,overall_winner_public_service_job,0.0
104,n_jobs_HEALTH,0.0
107,n_jobs_TRANSPORTATION,0.0
108,n_jobs_GROUND TRANSPORT,0.0
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.0
110,n_jobs_RETAIL,0.0
111,n_jobs_COMPUTING,0.0
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0
113,n_jobs_METALLIC PRODUCTS,0.0
79,n_companies_PETROLEUM REFINING,0.0
