year,muni
2020,3140001
2020,2205516
2020,3548807
2020,2910909
2020,3303906
2020,3304607
2020,3502200
2020,3529807
2020,3538204
2020,3549953
2020,2310506
2020,5100102
2020,2503308
2020,3509452
2020,2308401
2020,5001508
2020,4316709
2020,3515004
2004,2802601
2020,2307007
2020,5203500
2020,3129400
2020,4314506
2020,3111002
2020,1503093
2020,2601201
2012,5203500
2020,2701506
2020,5210802
2020,3102902
2020,1508001
2020,2603801
2020,3548104
2020,3162005
2020,3502705
2020,4100301
2020,3305604
2020,4212700
2020,3526704
2020,3537701
2020,3555604
2020,2404507
2004,2803609
2020,2307908
2020,2506251
2020,3302254
2020,3556354
2020,3135308
2020,3137908
2020,2610103
2020,3201001
2020,5000856
2020,2610905
2020,4116307
2020,3554755
2020,5006358
2020,5007901
2020,3509254
2020,3542503
2020,4315206
2020,3522158
2020,3529500
2020,5108204
2016,3203809
2016,5214606
2016,3102407
2016,3103009
2016,3111150
2016,3111408
2016,3111705
2016,3117702
2016,3120409
2016,3124005
2016,3128006
2016,3128253
2016,3130002
2016,3131307
2016,3136504
2016,3157377
2016,3158300
2016,3159357
2016,3160801
2016,3168705
2016,4109500
2016,4301404
2016,4302709
2016,4309209
2016,4316451
2016,4319752
2016,4319802
2016,4200101
2016,4202503
2016,4215455
2016,2801504
2016,2803609
2016,3505203
2016,3509205
2016,3515905
2016,3516903
2016,3517208
2016,3519105
2016,3526308
2016,3529609
2016,3530102
2016,3530508
2016,3539103
2016,3545506
2016,3546306
2016,3551306
2016,3555307
