,Feature,Coeff
187,forest_formation,452.74642712694776
203,forest_lag,-451.5308834417024
136,n_companies_TOTAL SERVICE,0.3269396048421435
16,populacao,-0.23341028903912206
138,n_jobs_TOTAL,-0.223906332344433
28,PIB,0.1581989973815461
134,n_jobs_TOTAL SERVICE,0.140721320345571
159,emiss_agropec_full,-0.09811410167727147
191,pasture,-0.08373512079759737
135,n_companies_TOTAL INDUSTRIAL,-0.07532196665006813
137,n_companies_TOTAL,-0.06771435341890981
178,overall_winner_partido_other,-0.06300653686465443
157,emiss_pec_full,0.05853453552574597
175,overall_winner_partido_PSDB,-0.05480052816772903
128,n_jobs_RESEARCH AND DEVELOPMENT,-0.03880720923905043
177,overall_winner_partido_PL,-0.034999345222692275
173,overall_winner_partido_PT,-0.033872347829179375
174,overall_winner_partido_PMDB_MDB,-0.03004498717035284
1,rain1,0.026754934491601767
26,public_jobs,-0.02614535847718929
170,overall_winner_technical_job,0.02359957208202012
81,n_jobs_PUBLIC ADMIN,0.02353417609708434
24,ag_jobs,-0.023449631518335012
8,indigenous_homol,0.021769306465337153
133,n_jobs_TOTAL INDUSTRIAL,-0.021400628679524518
2,elevation,-0.02081805594661198
25,mining_jobs,0.02041611823221138
6,near_roads,0.020063243355050473
99,n_jobs_MACHINERY,0.018893560757539018
197,soybean,0.01726982707311823
153,illegal_mining,0.017148733157347787
199,other_crop,-0.015893183092768097
17,pib_pc,-0.015226062589459254
101,n_jobs_MINING,-0.014436152292883685
35,n_companies_ASSOCIATIVE ACTIVITIES,-0.014004104016242074
184,runnerup_partido_other,0.013782301827261095
82,n_jobs_AGRICULTURE,0.012446906311233328
111,n_jobs_COMPUTING,-0.012270973862063108
98,n_jobs_CLEANING AND SEWAGE,0.0118062860785611
124,n_jobs_RECYCLING,-0.011774180534165325
36,n_companies_AUTOMOBILES AND TRANSPORT,0.011652523522154458
168,overall_winner_corporate_job,0.011643437805997414
140,assassination,-0.011630856688865364
158,emiss_agr_full,-0.011100283131718562
42,n_companies_EDITING AND PRINTING,-0.011071646514445704
188,savanna,0.011059616877078026
131,n_jobs_PETROLEUM REFINING,-0.010791405604721607
115,n_jobs_FORESTRY,0.010654272739943292
186,vote_participation_proportion,-0.010395229761320962
56,n_companies_GROUND TRANSPORT,0.010268651406937963
69,n_companies_CHEMICALS,-0.009859855486412085
181,runnerup_partido_PSDB,0.009693068602654904
95,n_jobs_EDUCATION,-0.0093956205930439
180,runnerup_partido_PMDB_MDB,0.009252758895561658
94,n_jobs_EDITING AND PRINTING,0.009212704649811772
121,n_jobs_CHEMICALS,0.008795235126315392
144,expen_env_man,0.008787262189744292
27,construction_jobs,0.008553636991179213
50,n_companies_WOOD PROD,-0.008431351381964748
61,n_companies_METALLIC PRODUCTS,0.008382098880323695
91,n_jobs_CONSTRUCTION,-0.008329872829007108
67,n_companies_OIL AND GAS,-0.008282417114961768
167,overall_winner_health_job,0.008013219816877644
126,n_jobs_RUBBER AND PLASTIC,0.008000144722185167
110,n_jobs_RETAIL,-0.007959869134285738
160,incumbant,-0.007718579994643367
155,illegal_industry,-0.007600489725705583
79,n_companies_PETROLEUM REFINING,0.007460453499211707
77,n_companies_AERO TRANSPORT,0.0072614186558965605
78,n_companies_SMOKE,0.0072214286745790925
102,n_jobs_WOOD PROD,-0.0071981568804571705
143,expen_agri,0.007133171259259103
72,n_companies_RECYCLING,0.007042802447562928
52,n_companies_HEALTH,-0.006837445172216567
183,runnerup_partido_PL,0.006750853147702396
89,n_jobs_FINANCIAL ASSISTANCE,-0.006232710333113485
114,n_jobs_DOMESTIC SERVICES,-0.00613601422323872
73,n_companies_LEATHERS AND FOOTWEAR,-0.006120569600801457
86,n_jobs_WHOLESALE,0.006054330786964311
45,n_companies_FINANCES,0.006054118724138928
0,year,0.006002349375945758
29,n_companies_PUBLIC ADMIN,0.00583899274116468
122,n_jobs_WATER-BASED TRANSPORTATION,0.0057916679921450175
88,n_jobs_AUTOMOBILES AND TRANSPORT,-0.005599100298077372
179,runnerup_partido_PT,0.005592287668155967
125,n_jobs_LEATHERS AND FOOTWEAR,0.005503338806997578
31,n_companies_FOOD AND DRINKS,-0.005397126519170619
108,n_jobs_GROUND TRANSPORT,-0.005380957012975306
55,n_companies_TRANSPORTATION,-0.005308512642771399
127,n_jobs_TEXTILES,0.0052559088980865054
32,n_companies_ACCOMODATION AND FOOD,-0.0052324130350368805
141,assassination_attempt,0.005157984601060153
129,n_jobs_AERO TRANSPORT,-0.005073593991686485
185,winner_votes_proportion,0.005058384855189373
30,n_companies_AGRICULTURE,0.005012645577307299
76,n_companies_RESEARCH AND DEVELOPMENT,0.0050055302624699
171,overall_winner_professional_job,0.004964114033121285
48,n_companies_BASIC METALLURGY,0.004943662488905253
37,n_companies_FINANCIAL ASSISTANCE,-0.0049420743731150895
130,n_jobs_SMOKE,-0.0048324695516526505
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.004805493858216212
58,n_companies_RETAIL,0.00470911259526623
142,f_emitted_count,-0.004603698975565779
123,n_jobs_REAL ESTATE,-0.004550571667161349
105,n_jobs_SERVICES FOR COMPANIES,0.004435582655250888
53,n_companies_SERVICES FOR COMPANIES,0.004289855405773956
100,n_jobs_BASIC METALLURGY,-0.004235531990571707
92,n_jobs_MAIL AND TELECOM,-0.004159308245217526
196,water,-0.004107955819950165
117,n_jobs_PAPER,0.004028791166087644
71,n_companies_REAL ESTATE,0.004022083407299106
97,n_jobs_FINANCES,0.003860847761578578
90,n_jobs_TRADE REP VEHICLES,0.0037242608987309105
119,n_jobs_OIL AND GAS,-0.003567274859494593
106,n_jobs_PERSONAL SERVICES,-0.0035532828037259673
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,-0.0035432433390638774
34,n_companies_WHOLESALE,-0.0035319871249192103
169,overall_winner_law_job,0.00348609566192516
116,n_jobs_CLOTHING,0.0033480741892975836
3,slope,0.003109393517507193
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0030575217219339884
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,-0.0028595403248113166
62,n_companies_DOMESTIC SERVICES,0.0028587750649915577
75,n_companies_TEXTILES,0.002849342400547317
195,mining,-0.002840147482626415
18,ironore,0.0027846878763147917
145,expen_agr_org,-0.0027845624215490426
59,n_companies_COMPUTING,0.002603470946995223
