,Feature,Coeff
187,forest_formation,0.5072389296632983
203,forest_lag,0.46543140246546666
191,pasture,0.01364430449059833
159,emiss_agropec_full,0.0043331843090968145
193,mosaic_ag,0.0008828795199186797
140,assassination,0.0005905385344979643
17,pib_pc,0.000552461222309941
6,near_roads,0.000548700115592444
96,n_jobs_ELECTRICITY AND GAS,0.00045266596704874896
1,rain1,0.00039921097208349307
25,mining_jobs,0.0003441607146105306
43,n_companies_EDUCATION,0.000300520423249489
2,elevation,0.0002770538873975951
157,emiss_pec_full,0.0002537834019306742
196,water,0.0002343966303987633
16,populacao,0.00022101617735477668
58,n_companies_RETAIL,0.0002137609202534338
41,n_companies_CULTURE AND SPORT,0.00021356699295837272
5,near_mines,0.0002098147914988701
106,n_jobs_PERSONAL SERVICES,0.00020326036665641853
188,savanna,0.00019792435642133096
91,n_jobs_CONSTRUCTION,0.0001974905566333912
105,n_jobs_SERVICES FOR COMPANIES,0.00018968028410430035
102,n_jobs_WOOD PROD,0.00018809876495123112
83,n_jobs_FOOD AND DRINKS,0.00018382224575767126
74,n_companies_RUBBER AND PLASTIC,0.00012743155909902032
56,n_companies_GROUND TRANSPORT,0.0001252883679863896
50,n_companies_WOOD PROD,0.00011907119146348377
63,n_companies_FORESTRY,0.000102095379507546
195,mining,9.289759900405233e-05
186,vote_participation_proportion,8.251338597262445e-05
15,fed_election_year,7.858738188086779e-05
46,n_companies_CLEANING AND SEWAGE,7.777767670257344e-05
61,n_companies_METALLIC PRODUCTS,7.698949339076076e-05
60,n_companies_INSURANCE AND SOCIAL SECURITY,7.268177684056996e-05
40,n_companies_MAIL AND TELECOM,7.120468395721879e-05
31,n_companies_FOOD AND DRINKS,6.944166193068937e-05
126,n_jobs_RUBBER AND PLASTIC,6.876471048253348e-05
108,n_jobs_GROUND TRANSPORT,6.750554101442307e-05
199,other_crop,6.281729082661078e-05
18,ironore,6.103450848384909e-05
53,n_companies_SERVICES FOR COMPANIES,5.827761052658949e-05
45,n_companies_FINANCES,5.346113968093821e-05
32,n_companies_ACCOMODATION AND FOOD,5.312126384780717e-05
30,n_companies_AGRICULTURE,5.196473439496314e-05
94,n_jobs_EDITING AND PRINTING,5.138886579788703e-05
110,n_jobs_RETAIL,4.769886745092139e-05
82,n_jobs_AGRICULTURE,4.622078542006571e-05
134,n_jobs_TOTAL SERVICE,4.6103707765493195e-05
176,overall_winner_partido_DEM,4.326699904801615e-05
173,overall_winner_partido_PT,4.060968895580252e-05
135,n_companies_TOTAL INDUSTRIAL,3.783530112962869e-05
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,3.674986625196149e-05
7,near_hidrovia,3.4402691343482306e-05
