,Feature,Coeff
0,illegal_industry,0.27473244586268825
1,n_jobs_ACCOMODATION AND FOOD,0.032219125539462656
2,expen_prom_ani_pro,0.029205557201089267
3,gold,0.02665390071699379
4,soy_price,0.024646206149324803
5,silver,0.02137311368962704
6,overall_winner_feminino,0.02117049432873142
7,year,0.018194124008035818
8,n_companies_PAPER,0.017657634210749656
9,n_jobs_PAPER,0.015721653506197277
10,n_companies_DOMESTIC SERVICES,0.014268456071454326
11,copper,0.012589835010690576
12,murder_threats,0.012366136236381274
13,forest_lag,0.012175786377257195
14,populacao,0.012133545640346294
15,n_jobs_SERVICES FOR COMPANIES,0.010939879069915575
16,n_companies_COMPUTING,0.010900144239958151
17,overall_winner_agriculture_job,0.009874000317105024
18,n_companies_OIL AND GAS,0.009735728764948938
19,n_companies_EDITING AND PRINTING,0.009471320714967589
20,runnerup_partido_PL,0.009458195458960032
21,n_companies_TOTAL,0.009210302997580815
22,n_companies_INSURANCE AND SOCIAL SECURITY,0.008860235689725588
23,vote_participation_proportion,0.008830393292993984
24,n_companies_CLOTHING,0.008533900189204309
25,mining_jobs,0.008472462694317335
26,near_roads,0.007844403197673239
27,n_jobs_EQUIPMENT RENTAL,0.007423345840492253
28,indigenous_homol,0.0073381813547671315
29,expen_agri,0.0070364175484064605
30,n_jobs_MINING,0.007022688804977524
31,n_companies_WHOLESALE,0.006939630601641962
32,ag_jobs,0.006750204014290451
33,overall_winner_complete_college,0.006666287319532429
34,overall_winner_partido_other,0.006594385285333342
35,overall_winner_professional_job,0.006551206568773318
36,runnerup_partido_PSDB,0.005963453456684836
37,n_companies_EQUIPMENT RENTAL,0.00558304335467002
38,n_jobs_WATER-BASED TRANSPORTATION,0.005560390472863751
39,PIB,0.005433123501800318
40,n_companies_TRADE REP VEHICLES,0.005411594599561707
41,rain1,0.005388561709004443
42,n_companies_PUBLIC ADMIN,0.005257941181195989
43,mun_election_year,0.005194600531453201
44,n_companies_REAL ESTATE,0.005124927936586891
45,n_jobs_EDITING AND PRINTING,0.005112792125394281
46,runnerup_partido_PMDB_MDB,0.005039072942449328
47,overall_winner_public_service_job,0.004974891860753806
48,n_companies_CLEANING AND SEWAGE,0.004943036261836535
49,n_jobs_PUBLIC ADMIN,0.004912839399839662
50,n_jobs_TOTAL INDUSTRIAL,0.004897771428632683
51,n_companies_PETROLEUM REFINING,0.004864695268294546
52,n_companies_TRANSPORTATION,0.004848279304594486
53,pib_pc,0.004841100473921676
54,n_companies_TOTAL INDUSTRIAL,0.0044251429882430525
55,beef_price,0.004393984030118277
56,n_jobs_EDUCATION,0.004330753811725183
57,n_companies_LEATHERS AND FOOTWEAR,0.004319502646016585
58,ironore,0.0042814013999873885
59,near_mines,0.004236356776914391
60,n_jobs_COMPUTING,0.004176833109870565
61,emiss_agropec_full,0.00413209152013831
62,expen_env_man,0.0040230687779511535
63,n_companies_RESEARCH AND DEVELOPMENT,0.003988736232152887
64,n_companies_FINANCIAL ASSISTANCE,0.0038521280144544214
65,n_companies_RETAIL,0.003689907308102071
66,n_companies_ELECTRICITY AND GAS,0.0036294792381698954
67,emiss_pec_full,0.003400641807967219
68,n_companies_SERVICES FOR COMPANIES,0.0033421610327134376
69,aspect,0.0033088722678440504
70,forest_formation,0.0032477860779417116
71,n_jobs_WHOLESALE,0.0031596757267061066
72,n_companies_AERO TRANSPORT,0.0031221935088096278
73,n_companies_NON-METALLIC MINERAL PRODUCTS,0.003117170331150204
74,audits,0.002988888725791334
75,n_jobs_CHEMICALS,0.0029736865431312706
76,n_companies_ASSOCIATIVE ACTIVITIES,0.0029212935572572136
77,n_companies_MINING,0.0028033249742249852
78,n_companies_MAIL AND TELECOM,0.0027692972604384672
79,n_jobs_PERSONAL SERVICES,0.002692433236340117
80,n_jobs_HEALTH,0.002651545619463907
81,n_jobs_CULTURE AND SPORT,0.0026423222358973775
82,n_jobs_RUBBER AND PLASTIC,0.0026179973648022313
83,public_jobs,0.002437286566348683
84,n_jobs_RETAIL,0.002359231483271533
85,pasture,0.0023555691160017473
86,n_jobs_AERO TRANSPORT,0.002272137294069285
87,n_companies_CONSTRUCTION,0.0022186109866201512
88,construction_jobs,0.0022155866882221822
89,n_jobs_RESEARCH AND DEVELOPMENT,0.002158663117957047
90,n_companies_INTERNATIONAL BODIES,0.001987493379627412
91,n_companies_SMOKE,0.0018918567032145503
92,n_companies_GROUND TRANSPORT,0.0018322451450009094
93,n_jobs_CLOTHING,0.0018027100242110723
94,n_jobs_AUTOMOBILES AND TRANSPORT,0.0017969435883486691
95,emiss_agr_full,0.0017954091094435454
96,elevation,0.0017854347067088054
97,expen_prom_veg_pro,0.0017848795999841531
98,slope,0.0017825244822305458
99,incumbant,0.0017049024297315447
100,n_jobs_FISHING AND AQUACULTURE,0.0017019288270823435
101,n_companies_RECYCLING,0.0016529675692052218
102,overall_winner_partido_PT,0.0016173038840595927
103,n_companies_BASIC METALLURGY,0.001587324619100021
104,n_jobs_REAL ESTATE,0.0015646177940486614
105,urban,0.001496452525145363
106,n_companies_CULTURE AND SPORT,0.001355384924561291
107,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0013202094459748605
108,n_jobs_BASIC METALLURGY,0.0012957125776559603
109,near_hidrovia,0.0012899057713395218
110,assassination,0.001268235930196755
111,n_jobs_ASSOCIATIVE ACTIVITIES,0.001247573806341887
112,overall_winner_partido_PL,0.0011331646556515492
113,n_jobs_TRANSPORTATION,0.001115559816220983
114,n_jobs_WOOD PROD,0.0011113558685407216
115,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0010732481074032937
116,n_jobs_METALLIC PRODUCTS,0.0010652046147765714
117,n_jobs_ELECTRICITY AND GAS,0.0010465091475967798
118,n_jobs_FINANCIAL ASSISTANCE,0.0010299904917618022
119,fed_election_year,0.0009870716000282367
120,overall_winner_health_job,0.0009611806955886684
121,n_jobs_CLEANING AND SEWAGE,0.0009355176692139636
122,n_companies_WATER-BASED TRANSPORTATION,0.0009185836791972809
123,n_jobs_RECYCLING,0.0008791362985589765
124,f_emitted_count,0.0008104383504405352
125,n_companies_FOOD AND DRINKS,0.0008058486839394972
126,n_jobs_TRADE REP VEHICLES,0.0008032387205066159
127,n_jobs_GROUND TRANSPORT,0.0007952249456450622
128,n_companies_TOTAL SERVICE,0.0007706735741950064
129,n_jobs_FINANCES,0.0007371943177568131
130,assassination_attempt,0.000730593605734041
131,n_jobs_TOTAL,0.0007210536588197587
132,n_companies_FORESTRY,0.0007129012553968187
133,n_jobs_CONSTRUCTION,0.0007115247786348205
134,illegal_mining,0.0006818371310639331
135,n_companies_ACCOMODATION AND FOOD,0.0006797694564161372
136,n_companies_MACHINERY,0.0006778894204999595
137,n_companies_RUBBER AND PLASTIC,0.0006398376032895809
138,n_companies_CHEMICALS,0.0005657650070686786
139,n_companies_PERSONAL SERVICES,0.0005656161257113215
140,n_jobs_AGRICULTURE,0.0005654247742681583
141,n_jobs_LEATHERS AND FOOTWEAR,0.000561616761321995
142,overall_winner_partido_PSDB,0.0005469716575723884
143,n_jobs_INTERNATIONAL BODIES,0.0005146872111334785
144,n_companies_HEALTH,0.00051096090722815
145,expen_agr_org,0.0005059335327714073
146,mosaic_ag,0.00048153261747709865
147,runnerup_partido_PT,0.00047277583143424273
148,n_companies_WATER TREATMENT AND DISTRIBUTION,0.00047167902415350555
149,n_companies_TEXTILES,0.00044881824443999225
150,n_jobs_MAIL AND TELECOM,0.00042462349836952474
151,overall_winner_corporate_job,0.0004203634122254092
152,n_companies_FINANCES,0.00040102756983103087
153,n_companies_AUTOMOBILES AND TRANSPORT,0.0003897743645581799
154,soybean,0.0003674542342634123
155,n_jobs_TOTAL SERVICE,0.00036192962707443864
156,savanna,0.00035818405919537625
157,n_jobs_FORESTRY,0.0002647633414400496
158,n_companies_METALLIC PRODUCTS,0.00021810758143442843
159,n_jobs_MACHINERY,0.00021379309928765703
160,overall_winner_partido_PMDB_MDB,0.0002092792806667859
161,winner_votes_proportion,0.00020228137248104046
