,Feature,Coeff
203,forest_lag,0.16328624942889614
191,pasture,0.12349178805604583
113,n_jobs_METALLIC PRODUCTS,0.052912904643084645
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.04666079754117437
4,aspect,0.03134749166141519
94,n_jobs_EDITING AND PRINTING,0.03021952612012531
7,near_hidrovia,0.026014804080331428
50,n_companies_WOOD PROD,0.025632024355118178
199,other_crop,0.02507775943232909
120,n_jobs_FISHING AND AQUACULTURE,0.021557835824771776
61,n_companies_METALLIC PRODUCTS,0.01592044698916108
6,near_roads,0.015005740821349547
158,emiss_agr_full,0.013886258867640876
5,near_mines,0.013039733398494577
153,illegal_mining,0.01215110230250949
105,n_jobs_SERVICES FOR COMPANIES,0.010448626858206744
202,other_perennial,0.009882166268436257
69,n_companies_CHEMICALS,0.009814328030366554
1,rain1,0.008823359999311086
121,n_jobs_CHEMICALS,0.008547133963042663
70,n_companies_WATER-BASED TRANSPORTATION,0.008543814246168343
140,assassination,0.00854284451425741
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.008442907562617619
159,emiss_agropec_full,0.008044195586420524
78,n_companies_SMOKE,0.007724180410682633
2,elevation,0.007232563840102493
126,n_jobs_RUBBER AND PLASTIC,0.007125003495117884
187,forest_formation,0.006939956593307896
31,n_companies_FOOD AND DRINKS,0.0067564490164089865
30,n_companies_AGRICULTURE,0.006266469171192423
68,n_companies_FISHING AND AQUACULTURE,0.006261801421155512
79,n_companies_PETROLEUM REFINING,0.006256240864015071
102,n_jobs_WOOD PROD,0.006120253807720522
96,n_jobs_ELECTRICITY AND GAS,0.005770250486078958
97,n_jobs_FINANCES,0.0056923858410456675
86,n_jobs_WHOLESALE,0.005659289942069953
44,n_companies_ELECTRICITY AND GAS,0.005556679108346673
29,n_companies_PUBLIC ADMIN,0.005510079294183196
185,winner_votes_proportion,0.005346577218526703
63,n_companies_FORESTRY,0.005281261597899999
114,n_jobs_DOMESTIC SERVICES,0.005190128709763849
62,n_companies_DOMESTIC SERVICES,0.005089405896771377
90,n_jobs_TRADE REP VEHICLES,0.004997907453138839
122,n_jobs_WATER-BASED TRANSPORTATION,0.004801913748106375
83,n_jobs_FOOD AND DRINKS,0.004752465956633116
26,public_jobs,0.004735892126583563
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.004684486154253448
107,n_jobs_TRANSPORTATION,0.004536886835999335
167,overall_winner_health_job,0.004213155340737455
82,n_jobs_AGRICULTURE,0.004206425855250647
55,n_companies_TRANSPORTATION,0.004064638742082394
