,Feature,Coeff
0,illegal_mining,0.10726261527299608
1,overall_winner_feminino,0.06484109728158652
2,n_companies_AERO TRANSPORT,0.06299578023874379
3,silver,0.058062290742761716
4,soy_price,0.05428238690922808
5,year,0.03678855568120049
6,n_jobs_METALLIC PRODUCTS,0.02696295728192996
7,indigenous_homol,0.02673240972680586
8,runnerup_partido_PT,0.024942726914715097
9,gold,0.02193536979068989
10,n_companies_PERSONAL SERVICES,0.020852807289056974
11,aspect,0.018472080407476225
12,vote_participation_proportion,0.017344064255199364
13,runnerup_partido_PMDB_MDB,0.017023459229619346
14,ironore,0.015583618753867974
15,expen_prom_ani_pro,0.014792305972576344
16,n_jobs_WHOLESALE,0.012989603506249971
17,overall_winner_partido_PL,0.012825787863005145
18,copper,0.012759021335861894
19,overall_winner_professional_job,0.012040728136115664
20,n_jobs_FISHING AND AQUACULTURE,0.01197680847322295
21,n_companies_CLEANING AND SEWAGE,0.011555324250066836
22,n_companies_EDUCATION,0.011318931674572019
23,overall_winner_law_job,0.010983164066880342
24,n_jobs_LEATHERS AND FOOTWEAR,0.01090842495722016
25,n_companies_CLOTHING,0.01058238181625881
26,forest_formation,0.010217035715328289
27,expen_prom_veg_pro,0.01003270067075652
28,overall_winner_public_service_job,0.009039535212966156
29,n_companies_WATER-BASED TRANSPORTATION,0.008545686847102996
30,n_jobs_MAIL AND TELECOM,0.008466166481904519
31,emiss_agr_full,0.008302682635737808
32,n_jobs_PUBLIC ADMIN,0.008138232517290353
33,mining_jobs,0.007941458223505038
34,n_companies_AUTOMOBILES AND TRANSPORT,0.007915702814883555
35,overall_winner_agriculture_job,0.007486102210380039
36,populacao,0.007466412423420118
37,n_companies_WHOLESALE,0.007043023901251531
38,n_jobs_TOTAL INDUSTRIAL,0.007025593075957225
39,n_companies_SERVICES FOR COMPANIES,0.00681923151270989
40,n_companies_INTERNATIONAL BODIES,0.006389505070020171
41,runnerup_partido_other,0.006102603905240365
42,rain1,0.006042733872900124
43,n_jobs_RETAIL,0.0059365881789592585
44,overall_winner_partido_PSDB,0.005810544100496239
45,n_companies_FINANCIAL ASSISTANCE,0.005716033204882455
46,n_companies_TRADE REP VEHICLES,0.005565465915622339
47,near_roads,0.005365447853901548
48,n_companies_INSURANCE AND SOCIAL SECURITY,0.005289615613021771
49,n_jobs_CHEMICALS,0.005190404544099358
50,overall_winner_technical_job,0.00516375456494166
51,n_companies_EQUIPMENT RENTAL,0.00479661446162235
52,n_companies_RETAIL,0.004542915649120902
53,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.004470076669824841
54,public_jobs,0.004435634315392241
55,n_jobs_RUBBER AND PLASTIC,0.004188853563920717
56,construction_jobs,0.004133272057118465
57,n_companies_TEXTILES,0.004027809691677848
58,PIB,0.003938849240452501
59,n_companies_CHEMICALS,0.003844407126581111
60,n_jobs_BASIC METALLURGY,0.0038025098058169097
61,n_jobs_CLEANING AND SEWAGE,0.0037714546463910466
62,n_jobs_EDUCATION,0.0037010248940784534
63,overall_winner_corporate_job,0.0035922025348693897
64,n_jobs_COMPUTING,0.0034360758388441016
65,n_companies_METALLIC PRODUCTS,0.0031762755517473038
66,n_jobs_SERVICES FOR COMPANIES,0.0031680207255330765
67,n_jobs_FINANCES,0.0029676773821044103
68,n_jobs_TOTAL SERVICE,0.0029665214746017222
69,f_emitted_count,0.00293173676943863
70,n_companies_ASSOCIATIVE ACTIVITIES,0.00284812510927014
71,n_companies_RECYCLING,0.002824114792684783
72,n_companies_CONSTRUCTION,0.002708588764371076
73,near_hidrovia,0.0024110613663257847
74,n_companies_TOTAL,0.0023592505153512307
75,n_jobs_TOTAL,0.002317973277960232
76,n_companies_CULTURE AND SPORT,0.0022256291758246
77,mosaic_ag,0.002206525277348761
78,n_companies_PAPER,0.0021337536280950087
79,fed_election_year,0.002113395916292306
80,pasture,0.0020936821465710807
81,expen_env_man,0.002090777527609744
82,overall_winner_partido_PT,0.001996438058041543
83,n_companies_RESEARCH AND DEVELOPMENT,0.0018067709569684581
84,n_jobs_RESEARCH AND DEVELOPMENT,0.0017086323260887472
85,n_companies_AGRICULTURE,0.0016474947715542834
86,n_companies_SMOKE,0.001378349802110898
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.0013415790938021326
88,n_companies_MACHINERY,0.001300370814798251
89,n_jobs_ELECTRICITY AND GAS,0.0012290872322991535
90,elevation,0.00117294861645071
91,n_companies_EDITING AND PRINTING,0.0010652090596721638
92,n_companies_MINING,0.0006031438837277881
93,n_companies_LEATHERS AND FOOTWEAR,0.000520070352862552
94,overall_winner_health_job,0.00012985593150316593
95,other_crop,4.82763080930251e-05
98,citrus,0.0
99,assassination_attempt,0.0
202,n_jobs_FOOD AND DRINKS,0.0
97,coffee,0.0
96,expen_agri,0.0
100,expen_agr_org,0.0
203,forest_lag,0.0
102,soybean,0.0
166,mun_election_year,0.0
176,n_jobs_TEXTILES,0.0
175,n_jobs_AERO TRANSPORT,0.0
174,n_jobs_SMOKE,0.0
173,n_jobs_PETROLEUM REFINING,0.0
172,n_jobs_GROUND TRANSPORT,0.0
171,n_jobs_,0.0
170,n_companies_,0.0
169,n_companies_RUBBER AND PLASTIC,0.0
168,slope,0.0
167,near_mines,0.0
165,new_forest_code,0.0
153,n_companies_MAIL AND TELECOM,0.0
164,lula,0.0
163,dilma,0.0
162,temer,0.0
161,bolsonaro,0.0
160,pib_pc,0.0
159,beef_price,0.0
158,ag_jobs,0.0
157,n_companies_PUBLIC ADMIN,0.0
156,n_companies_FOOD AND DRINKS,0.0
155,n_companies_ACCOMODATION AND FOOD,0.0
177,n_jobs_RECYCLING,0.0
178,n_jobs_REAL ESTATE,0.0
179,n_jobs_WATER-BASED TRANSPORTATION,0.0
180,n_jobs_OIL AND GAS,0.0
201,n_jobs_ACCOMODATION AND FOOD,0.0
200,n_jobs_EQUIPMENT RENTAL,0.0
199,n_jobs_AUTOMOBILES AND TRANSPORT,0.0
198,n_jobs_FINANCIAL ASSISTANCE,0.0
197,n_jobs_TRADE REP VEHICLES,0.0
196,n_jobs_CONSTRUCTION,0.0
195,n_jobs_CULTURE AND SPORT,0.0
194,n_jobs_EDITING AND PRINTING,0.0
193,n_jobs_MACHINERY,0.0
192,n_jobs_MINING,0.0
191,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0
190,n_jobs_HEALTH,0.0
189,n_jobs_PERSONAL SERVICES,0.0
188,n_jobs_AGRICULTURE,0.0
187,n_jobs_TRANSPORTATION,0.0
186,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0
185,n_jobs_DOMESTIC SERVICES,0.0
184,n_jobs_FORESTRY,0.0
183,n_jobs_CLOTHING,0.0
182,n_jobs_PAPER,0.0
181,n_jobs_INTERNATIONAL BODIES,0.0
154,n_companies_PETROLEUM REFINING,0.0
152,n_companies_FINANCES,0.0
103,expen_mining,0.0
115,n_companies_TOTAL SERVICE,0.0
125,urban,0.0
124,incumbant,0.0
123,winner_votes_proportion,0.0
122,special,0.0
121,overall_winner_complete_college,0.0
120,runnerup_partido_PL,0.0
119,runnerup_partido_DEM,0.0
118,runnerup_partido_PSDB,0.0
117,overall_winner_partido_other,0.0
116,overall_winner_partido_DEM,0.0
114,term_limited_seat,0.0
151,n_companies_BASIC METALLURGY,0.0
113,expen_min_fuel,0.0
112,overall_winner_mining_job,0.0
111,expen_agr_defense,0.0
110,other_perennial,0.0
109,expen_other_agr,0.0
108,murder_threats,0.0
107,mining,0.0
106,water,0.0
105,assassination,0.0
104,expen_petrol,0.0
126,emiss_agropec_full,0.0
127,savanna,0.0
128,mangrove,0.0
129,silvicultura,0.0
150,n_companies_WOOD PROD,0.0
149,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0
148,n_companies_HEALTH,0.0
147,n_companies_TRANSPORTATION,0.0
146,n_companies_GROUND TRANSPORT,0.0
145,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0
144,n_companies_COMPUTING,0.0
143,n_companies_DOMESTIC SERVICES,0.0
142,n_companies_FORESTRY,0.0
141,n_companies_OIL AND GAS,0.0
140,n_companies_FISHING AND AQUACULTURE,0.0
139,n_companies_REAL ESTATE,0.0
138,n_companies_ELECTRICITY AND GAS,0.0
137,n_companies_TOTAL INDUSTRIAL,0.0
136,n_jobs_WOOD PROD,0.0
135,overall_winner_partido_PMDB_MDB,0.0
134,sugarcane,0.0
133,illegal_other,0.0
132,illegal_industry,0.0
131,audits,0.0
130,emiss_pec_full,0.0
101,rice,0.0
