,Feature,Coeff
43,n_companies_EDUCATION,0.17244469315363645
4,aspect,0.13815700696211022
48,n_companies_BASIC METALLURGY,0.10755526913075308
69,n_companies_CHEMICALS,0.10743621067530265
59,n_companies_COMPUTING,0.10566805265733971
100,n_jobs_BASIC METALLURGY,0.0772545906710443
190,silvicultura,0.029416597435929233
102,n_jobs_WOOD PROD,0.021994516249088908
6,near_roads,0.02144218399071115
177,overall_winner_partido_PL,0.018345397341585412
63,n_companies_FORESTRY,0.016167027092947404
27,construction_jobs,0.01348313145932123
91,n_jobs_CONSTRUCTION,0.012639030088403985
74,n_companies_RUBBER AND PLASTIC,0.012326266796253479
141,assassination_attempt,0.008904973841473198
142,f_emitted_count,0.00864276706011675
145,expen_agr_org,0.00835446831326727
35,n_companies_ASSOCIATIVE ACTIVITIES,0.00499666843885346
86,n_jobs_WHOLESALE,0.00453241117196162
93,n_jobs_CULTURE AND SPORT,0.004288954569464085
111,n_jobs_COMPUTING,0.003876243844594395
3,slope,0.003730770550172086
5,near_mines,0.0035238343282144318
56,n_companies_GROUND TRANSPORT,0.0030192699733520355
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0030005485348899696
24,ag_jobs,0.0029986990597557464
97,n_jobs_FINANCES,0.00290841001472672
186,vote_participation_proportion,0.002783751753253981
68,n_companies_FISHING AND AQUACULTURE,0.0027453831517939556
58,n_companies_RETAIL,0.0026996139837359204
120,n_jobs_FISHING AND AQUACULTURE,0.0026196756930142577
191,pasture,0.0026106303991274807
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.002411491216096967
185,winner_votes_proportion,0.002266815800122674
29,n_companies_PUBLIC ADMIN,0.001917225708969616
1,rain1,0.0018384678512331173
110,n_jobs_RETAIL,0.0017914744886978083
90,n_jobs_TRADE REP VEHICLES,0.0017904007485396293
39,n_companies_CONSTRUCTION,0.0016868798750263947
61,n_companies_METALLIC PRODUCTS,0.001614839060442971
31,n_companies_FOOD AND DRINKS,0.0015388357073332518
115,n_jobs_FORESTRY,0.0014723938887213162
50,n_companies_WOOD PROD,0.0014647475957907466
105,n_jobs_SERVICES FOR COMPANIES,0.0013986296388665185
7,near_hidrovia,0.0013899551058403985
84,n_jobs_ACCOMODATION AND FOOD,0.0013330564209271705
17,pib_pc,0.0012934335249761319
92,n_jobs_MAIL AND TELECOM,0.0012628291128866883
32,n_companies_ACCOMODATION AND FOOD,0.001261573876557414
26,public_jobs,0.0012045906479350014
40,n_companies_MAIL AND TELECOM,0.0011989925037473035
81,n_jobs_PUBLIC ADMIN,0.0011982945478205824
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0011810687687839334
98,n_jobs_CLEANING AND SEWAGE,0.0011521061867950518
116,n_jobs_CLOTHING,0.0011495419316447316
139,murder_threats,0.0011027444686074288
75,n_companies_TEXTILES,0.0010839051990670062
41,n_companies_CULTURE AND SPORT,0.0010819682661513434
25,mining_jobs,0.001011152695504234
85,n_jobs_EQUIPMENT RENTAL,0.0009914068026599134
143,expen_agri,0.000940721596311306
138,n_jobs_TOTAL,0.0009215767041719825
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0009143052202534838
108,n_jobs_GROUND TRANSPORT,0.0009081913179342147
96,n_jobs_ELECTRICITY AND GAS,0.0009074067734616808
94,n_jobs_EDITING AND PRINTING,0.0009012832880879192
42,n_companies_EDITING AND PRINTING,0.0008987201509831489
49,n_companies_MINING,0.000852184943843619
179,runnerup_partido_PT,0.0008112905997906008
55,n_companies_TRANSPORTATION,0.0008035860998888701
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0007716166235987523
20,copper,0.0007170254372581813
136,n_companies_TOTAL SERVICE,0.0006843654510205458
155,illegal_industry,0.0006807620134183715
46,n_companies_CLEANING AND SEWAGE,0.0006747331058370284
30,n_companies_AGRICULTURE,0.0006649194390044851
133,n_jobs_TOTAL INDUSTRIAL,0.0006638860845038506
16,populacao,0.0006581040696365089
33,n_companies_EQUIPMENT RENTAL,0.0006446609212538962
71,n_companies_REAL ESTATE,0.0006082985586386614
44,n_companies_ELECTRICITY AND GAS,0.0006040751370166239
52,n_companies_HEALTH,0.0005904536628131906
34,n_companies_WHOLESALE,0.0005882700770183948
37,n_companies_FINANCIAL ASSISTANCE,0.0005862075126372547
187,forest_formation,0.0005851362314943627
159,emiss_agropec_full,0.0005491465609315016
99,n_jobs_MACHINERY,0.0005288725364972508
135,n_companies_TOTAL INDUSTRIAL,0.0005166989935804407
82,n_jobs_AGRICULTURE,0.0004843485258195721
134,n_jobs_TOTAL SERVICE,0.00043839457392515766
28,PIB,0.0004076233374180414
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0003981755377642185
117,n_jobs_PAPER,0.00039526485114007535
165,overall_winner_agriculture_job,0.00038332796775245915
156,audits,0.0003779369823115515
54,n_companies_PERSONAL SERVICES,0.00035766690557876283
174,overall_winner_partido_PMDB_MDB,0.00032966366156503204
64,n_companies_CLOTHING,0.00032533968146427293
203,forest_lag,0.0003102144962525495
137,n_companies_TOTAL,0.00029970307851943587
