,Feature,Coeff
4,aspect,0.3112371145555777
43,n_companies_EDUCATION,0.13627941782118355
59,n_companies_COMPUTING,0.10113755548136984
48,n_companies_BASIC METALLURGY,0.09932451440048441
102,n_jobs_WOOD PROD,0.06969694510713467
69,n_companies_CHEMICALS,0.05664187471359257
42,n_companies_EDITING AND PRINTING,0.03266499423201351
5,near_mines,0.0260718955516181
6,near_roads,0.021326446280650085
110,n_jobs_RETAIL,0.02078018743938623
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.01794811590923622
123,n_jobs_REAL ESTATE,0.015549887815106255
190,silvicultura,-0.01370295011993246
2,elevation,0.013122628525368817
16,populacao,0.013041874679774086
158,emiss_agr_full,0.011527489040305271
34,n_companies_WHOLESALE,0.008964841936962047
49,n_companies_MINING,0.007962067745186246
58,n_companies_RETAIL,0.007029430556722073
104,n_jobs_HEALTH,0.006160374033790386
90,n_jobs_TRADE REP VEHICLES,0.0060103587793742886
100,n_jobs_BASIC METALLURGY,0.00566772371084301
177,overall_winner_partido_PL,-0.005555883131983803
186,vote_participation_proportion,0.005079316611563156
141,assassination_attempt,-0.0038702192004723647
91,n_jobs_CONSTRUCTION,-0.003788930403174497
74,n_companies_RUBBER AND PLASTIC,-0.0037288741491093617
64,n_companies_CLOTHING,0.003690729781781506
83,n_jobs_FOOD AND DRINKS,0.003675615182205035
145,expen_agr_org,-0.003636048736079654
37,n_companies_FINANCIAL ASSISTANCE,0.003160658098199349
169,overall_winner_law_job,0.0031568269125514317
191,pasture,0.0031418231260851594
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.003116109149067759
128,n_jobs_RESEARCH AND DEVELOPMENT,0.002521629490842575
181,runnerup_partido_PSDB,0.002515366306312718
96,n_jobs_ELECTRICITY AND GAS,0.0025122005336602397
111,n_jobs_COMPUTING,-0.002304906169630214
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0022465403461914605
159,emiss_agropec_full,0.0022464420883632433
199,other_crop,0.0022451472400754095
55,n_companies_TRANSPORTATION,0.0020182855292505547
95,n_jobs_EDUCATION,0.0019906663274396478
63,n_companies_FORESTRY,-0.001885160255392657
50,n_companies_WOOD PROD,-0.0017963642445250098
166,overall_winner_public_service_job,0.0017860628137412943
27,construction_jobs,-0.0017636319639135814
65,n_companies_PAPER,0.0017479724369369074
120,n_jobs_FISHING AND AQUACULTURE,-0.0017151017270939997
203,forest_lag,0.0016104386781716224
129,n_jobs_AERO TRANSPORT,0.0013234163725051192
143,expen_agri,0.001208639099670788
89,n_jobs_FINANCIAL ASSISTANCE,0.0011997876470435712
1,rain1,0.001199123843385593
108,n_jobs_GROUND TRANSPORT,0.0011888668842740605
174,overall_winner_partido_PMDB_MDB,0.0011513052491729605
86,n_jobs_WHOLESALE,-0.001150157187541573
139,murder_threats,-0.0011499367478517025
3,slope,0.0010944196697586102
93,n_jobs_CULTURE AND SPORT,0.0010637967703234067
67,n_companies_OIL AND GAS,0.0010091651191418975
0,year,0.0009576166283606756
87,n_jobs_ASSOCIATIVE ACTIVITIES,-0.0009111189968615377
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0009008696205841672
122,n_jobs_WATER-BASED TRANSPORTATION,0.0008686262475073412
22,soy_price,0.0007875794767300417
40,n_companies_MAIL AND TELECOM,0.0007745845387475749
97,n_jobs_FINANCES,-0.00077137659272895
53,n_companies_SERVICES FOR COMPANIES,0.000766207347425781
19,silver,0.0007332411215776257
168,overall_winner_corporate_job,0.0007104208976658562
70,n_companies_WATER-BASED TRANSPORTATION,0.0006557208145130487
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,-0.000619006679006063
30,n_companies_AGRICULTURE,0.0006040991956020778
24,ag_jobs,-0.0005907705033003755
116,n_jobs_CLOTHING,-0.0005855973073820237
28,PIB,-0.0005300461115162098
56,n_companies_GROUND TRANSPORT,-0.0005248910797686577
142,f_emitted_count,-0.0005025259441728483
29,n_companies_PUBLIC ADMIN,-0.0005007207908859642
196,water,0.0004992641458450153
99,n_jobs_MACHINERY,0.0004936112720724498
136,n_companies_TOTAL SERVICE,-0.00047533317009140557
52,n_companies_HEALTH,-0.0004625114387934486
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0004340825236493348
115,n_jobs_FORESTRY,-0.0004128609792614061
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0004126008601971678
126,n_jobs_RUBBER AND PLASTIC,0.00040016091530127693
101,n_jobs_MINING,-0.0003951650813023461
81,n_jobs_PUBLIC ADMIN,-0.00038596830766812805
133,n_jobs_TOTAL INDUSTRIAL,-0.00036195622621359893
26,public_jobs,0.0003604461626725307
7,near_hidrovia,-0.0003547840409695815
31,n_companies_FOOD AND DRINKS,0.0003532470096862206
113,n_jobs_METALLIC PRODUCTS,0.00034779815020871804
39,n_companies_CONSTRUCTION,-0.000345293746361023
185,winner_votes_proportion,-0.0003305265189957241
114,n_jobs_DOMESTIC SERVICES,0.0003087120879177974
38,n_companies_TRADE REP VEHICLES,-0.00028373505199136214
25,mining_jobs,-0.00028117020084335195
45,n_companies_FINANCES,-0.00027223262188708525
106,n_jobs_PERSONAL SERVICES,-0.0002711145829970084
32,n_companies_ACCOMODATION AND FOOD,-0.0002685691404466943
167,overall_winner_health_job,0.0002657771943985676
9,mun_election_year,-0.00026058872857910256
75,n_companies_TEXTILES,-0.0002586129655138776
84,n_jobs_ACCOMODATION AND FOOD,0.00025825249397856773
18,ironore,0.0002559748460716339
44,n_companies_ELECTRICITY AND GAS,0.00024194328566801192
156,audits,-0.00024074157062370702
47,n_companies_MACHINERY,-0.0002378557943576195
60,n_companies_INSURANCE AND SOCIAL SECURITY,-0.00022074279275742802
163,overall_winner_complete_college,0.00020860261311600505
71,n_companies_REAL ESTATE,-0.0002076521720530175
17,pib_pc,-0.00020587684824422027
137,n_companies_TOTAL,-0.00020436786408275948
130,n_jobs_SMOKE,0.0002034946057340977
54,n_companies_PERSONAL SERVICES,-0.00019886384364849557
187,forest_formation,-0.0001970883195626785
98,n_jobs_CLEANING AND SEWAGE,0.00018697130319631853
82,n_jobs_AGRICULTURE,-0.0001814515987043321
118,n_jobs_INTERNATIONAL BODIES,0.00017371568696354715
15,fed_election_year,0.0001723025032042529
148,expen_prom_ani_pro,0.00016582133797256207
