,Feature,Coeff
50,n_companies_WOOD PROD,0.3854080133986304
63,n_companies_FORESTRY,0.17859674316225718
58,n_companies_RETAIL,0.11951531515718815
61,n_companies_METALLIC PRODUCTS,0.082492121147716
203,forest_lag,0.039165287938207505
191,pasture,0.018760293254813976
24,ag_jobs,0.01742517561193221
178,overall_winner_partido_other,0.01577607259334074
43,n_companies_EDUCATION,0.008829241626445272
6,near_roads,0.008534365751421462
165,overall_winner_agriculture_job,0.007533215403744156
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.006169509811531747
7,near_hidrovia,0.005978151967198452
115,n_jobs_FORESTRY,0.0055414822988254005
5,near_mines,0.005467136485995161
116,n_jobs_CLOTHING,0.005195776464314732
157,emiss_pec_full,0.005028424027276587
138,n_jobs_TOTAL,0.0050111850697190045
51,n_companies_NON-METALLIC MINERAL PRODUCTS,0.0049444651730569346
88,n_jobs_AUTOMOBILES AND TRANSPORT,0.0041106210587533954
187,forest_formation,0.004075991532921309
195,mining,0.0038472032562702437
136,n_companies_TOTAL SERVICE,0.0038183418581394075
40,n_companies_MAIL AND TELECOM,0.0036375789868843262
29,n_companies_PUBLIC ADMIN,0.0031078028884717864
1,rain1,0.002983216018461027
135,n_companies_TOTAL INDUSTRIAL,0.002799500185649763
4,aspect,0.002710751826827091
54,n_companies_PERSONAL SERVICES,0.0026246107682526753
83,n_jobs_FOOD AND DRINKS,0.0021691440104937344
97,n_jobs_FINANCES,0.0021243722526382474
3,slope,0.0020127631569074704
26,public_jobs,0.0019901495969939617
102,n_jobs_WOOD PROD,0.0019031146956114985
56,n_companies_GROUND TRANSPORT,0.0018247291301905196
158,emiss_agr_full,0.0018193711925329678
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0017981723018397609
17,pib_pc,0.0016521071431519101
46,n_companies_CLEANING AND SEWAGE,0.0014852609362070068
55,n_companies_TRANSPORTATION,0.00139140836853001
91,n_jobs_CONSTRUCTION,0.0013050999975859358
121,n_jobs_CHEMICALS,0.001236335404673381
160,incumbant,0.001176048625236917
159,emiss_agropec_full,0.001063975558733599
104,n_jobs_HEALTH,0.0010613558445624917
32,n_companies_ACCOMODATION AND FOOD,0.0009489932804552296
2,elevation,0.000930217584376368
52,n_companies_HEALTH,0.0008680081211990021
110,n_jobs_RETAIL,0.0008516236803293226
53,n_companies_SERVICES FOR COMPANIES,0.0007344566934210448
39,n_companies_CONSTRUCTION,0.0007104199497298199
77,n_companies_AERO TRANSPORT,0.000682859259272141
69,n_companies_CHEMICALS,0.0006635495565470764
184,runnerup_partido_other,0.0006421269690550403
185,winner_votes_proportion,0.0006414954241454694
72,n_companies_RECYCLING,0.0006107836498929581
31,n_companies_FOOD AND DRINKS,0.0005900647161283768
35,n_companies_ASSOCIATIVE ACTIVITIES,0.0005883571174913386
153,illegal_mining,0.0005824724624259727
189,mangrove,0.0005263956667527973
109,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.00042374138750989553
167,overall_winner_health_job,0.0004207674799768819
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.00040854921499372944
27,construction_jobs,0.00040329768781965914
186,vote_participation_proportion,0.00037886198587487157
129,n_jobs_AERO TRANSPORT,0.00032814966782803703
181,runnerup_partido_PSDB,0.00028779575142074613
75,n_companies_TEXTILES,0.00027847016392997404
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.0002723972210742502
30,n_companies_AGRICULTURE,0.0002507618875528676
64,n_companies_CLOTHING,0.000211376393866203
0,year,0.00013650392082957752
183,runnerup_partido_PL,0.00012461339621340267
175,overall_winner_partido_PSDB,0.00012213383414463853
45,n_companies_FINANCES,0.00011722067568887928
168,overall_winner_corporate_job,8.587683320042627e-05
128,n_jobs_RESEARCH AND DEVELOPMENT,7.66554267182832e-05
131,n_jobs_PETROLEUM REFINING,0.0
44,n_companies_ELECTRICITY AND GAS,0.0
174,overall_winner_partido_PMDB_MDB,0.0
42,n_companies_EDITING AND PRINTING,0.0
41,n_companies_CULTURE AND SPORT,0.0
176,overall_winner_partido_DEM,0.0
47,n_companies_MACHINERY,0.0
38,n_companies_TRADE REP VEHICLES,0.0
37,n_companies_FINANCIAL ASSISTANCE,0.0
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0
177,overall_winner_partido_PL,0.0
34,n_companies_WHOLESALE,0.0
173,overall_winner_partido_PT,0.0
48,n_companies_BASIC METALLURGY,0.0
179,runnerup_partido_PT,0.0
49,n_companies_MINING,0.0
172,overall_winner_mining_job,0.0
171,overall_winner_professional_job,0.0
170,overall_winner_technical_job,0.0
169,overall_winner_law_job,0.0
166,overall_winner_public_service_job,0.0
164,overall_winner_feminino,0.0
163,overall_winner_complete_college,0.0
162,special,0.0
59,n_companies_COMPUTING,0.0
161,term_limited_seat,0.0
156,audits,0.0
62,n_companies_DOMESTIC SERVICES,0.0
33,n_companies_EQUIPMENT RENTAL,0.0
180,runnerup_partido_PMDB_MDB,0.0
154,illegal_other,0.0
14,bolsonaro,0.0
201,citrus,0.0
200,coffee,0.0
199,other_crop,0.0
198,rice,0.0
197,soybean,0.0
196,water,0.0
194,urban,0.0
8,indigenous_homol,0.0
9,mun_election_year,0.0
10,new_forest_code,0.0
11,lula,0.0
12,dilma,0.0
13,temer,0.0
15,fed_election_year,0.0
182,runnerup_partido_DEM,0.0
16,populacao,0.0
193,mosaic_ag,0.0
18,ironore,0.0
19,silver,0.0
20,copper,0.0
21,gold,0.0
22,soy_price,0.0
23,beef_price,0.0
192,sugarcane,0.0
25,mining_jobs,0.0
190,silvicultura,0.0
188,savanna,0.0
28,PIB,0.0
155,illegal_industry,0.0
65,n_companies_PAPER,0.0
130,n_jobs_SMOKE,0.0
98,n_jobs_CLEANING AND SEWAGE,0.0
100,n_jobs_BASIC METALLURGY,0.0
202,other_perennial,0.0
143,expen_agri,0.0
142,f_emitted_count,0.0
141,assassination_attempt,0.0
105,n_jobs_SERVICES FOR COMPANIES,0.0
106,n_jobs_PERSONAL SERVICES,0.0
107,n_jobs_TRANSPORTATION,0.0
108,n_jobs_GROUND TRANSPORT,0.0
140,assassination,0.0
139,murder_threats,0.0
111,n_jobs_COMPUTING,0.0
112,n_jobs_INSURANCE AND SOCIAL SECURITY,0.0
