,Feature,Coeff
50,n_companies_WOOD PROD,0.2640241462144712
58,n_companies_RETAIL,0.14094195109835259
63,n_companies_FORESTRY,0.09683571929042063
61,n_companies_METALLIC PRODUCTS,0.08705515463969382
121,n_jobs_CHEMICALS,0.043327095620765796
69,n_companies_CHEMICALS,0.02623577098163535
115,n_jobs_FORESTRY,0.020716207619034997
7,near_hidrovia,0.018760094739262746
46,n_companies_CLEANING AND SEWAGE,0.01624174332589422
1,rain1,0.012716966925315383
60,n_companies_INSURANCE AND SOCIAL SECURITY,0.012394746037262885
4,aspect,0.011515136936678317
97,n_jobs_FINANCES,0.010968240660719582
203,forest_lag,0.01087713751674446
35,n_companies_ASSOCIATIVE ACTIVITIES,0.010734032700659299
191,pasture,0.008222749644396208
5,near_mines,0.008056721569634025
187,forest_formation,0.006615208409135647
195,mining,0.00654886168571677
31,n_companies_FOOD AND DRINKS,0.006343747038084547
190,silvicultura,0.006060464652710002
6,near_roads,0.005614438190020443
34,n_companies_WHOLESALE,0.0054374431689543645
159,emiss_agropec_full,0.005026568756087122
116,n_jobs_CLOTHING,0.004716963360088461
56,n_companies_GROUND TRANSPORT,0.004688665695624431
2,elevation,0.0046044926542546565
24,ag_jobs,0.0044507569966578345
91,n_jobs_CONSTRUCTION,0.003931570354202706
81,n_jobs_PUBLIC ADMIN,0.0038825934126902445
38,n_companies_TRADE REP VEHICLES,0.0037289501845799915
92,n_jobs_MAIL AND TELECOM,0.003655558864996623
90,n_jobs_TRADE REP VEHICLES,0.0036313526979197103
57,n_companies_WATER TREATMENT AND DISTRIBUTION,0.003605938833243573
137,n_companies_TOTAL,0.0035929019011610094
102,n_jobs_WOOD PROD,0.0035739639809186227
186,vote_participation_proportion,0.0033803161709632054
158,emiss_agr_full,0.0032735882404343465
82,n_jobs_AGRICULTURE,0.003266734256019005
133,n_jobs_TOTAL INDUSTRIAL,0.003260171672899128
110,n_jobs_RETAIL,0.0032371641237393424
30,n_companies_AGRICULTURE,0.0031844578731960323
157,emiss_pec_full,0.003149462672005366
27,construction_jobs,0.0030745912960009605
39,n_companies_CONSTRUCTION,0.003068573230347707
87,n_jobs_ASSOCIATIVE ACTIVITIES,0.0027207175322030755
86,n_jobs_WHOLESALE,0.00244137707559104
32,n_companies_ACCOMODATION AND FOOD,0.0024113850728121225
28,PIB,0.0023392103928938307
55,n_companies_TRANSPORTATION,0.0021686102554216743
84,n_jobs_ACCOMODATION AND FOOD,0.002001202864083301
118,n_jobs_INTERNATIONAL BODIES,0.0019607875158535143
40,n_companies_MAIL AND TELECOM,0.0019443651049910254
72,n_companies_RECYCLING,0.0019338154505308348
42,n_companies_EDITING AND PRINTING,0.0019331249865119193
23,beef_price,0.0019328057057352024
136,n_companies_TOTAL SERVICE,0.0019114798957474619
29,n_companies_PUBLIC ADMIN,0.0018749615861864458
52,n_companies_HEALTH,0.0018652641804794185
49,n_companies_MINING,0.0018603108861798465
68,n_companies_FISHING AND AQUACULTURE,0.0017709522061879026
185,winner_votes_proportion,0.0017590952055924862
96,n_jobs_ELECTRICITY AND GAS,0.001713625762105373
26,public_jobs,0.001686085666682696
36,n_companies_AUTOMOBILES AND TRANSPORT,0.0016795148663220462
142,f_emitted_count,0.0016096094819574676
134,n_jobs_TOTAL SERVICE,0.0015706502085864379
83,n_jobs_FOOD AND DRINKS,0.001556184981947955
64,n_companies_CLOTHING,0.00153551157696822
138,n_jobs_TOTAL,0.0015198547322160102
135,n_companies_TOTAL INDUSTRIAL,0.00146732922400891
16,populacao,0.0014546448323668293
17,pib_pc,0.0014307254050637134
108,n_jobs_GROUND TRANSPORT,0.0014269954322097228
160,incumbant,0.0013407880679656362
41,n_companies_CULTURE AND SPORT,0.0012093323021651003
143,expen_agri,0.0011932415747999583
25,mining_jobs,0.0011717056653128134
3,slope,0.0011377661857054147
155,illegal_industry,0.0011314397827115617
165,overall_winner_agriculture_job,0.0011010343449187113
130,n_jobs_SMOKE,0.001058044591432326
21,gold,0.0010381778469177533
144,expen_env_man,0.0009941085010086743
0,year,0.000979551726570832
53,n_companies_SERVICES FOR COMPANIES,0.0009406509485303449
45,n_companies_FINANCES,0.0009165508110837369
85,n_jobs_EQUIPMENT RENTAL,0.0009065880315100434
43,n_companies_EDUCATION,0.0008948381575421542
104,n_jobs_HEALTH,0.000808040107939216
129,n_jobs_AERO TRANSPORT,0.0008046491389416463
44,n_companies_ELECTRICITY AND GAS,0.0007689829926104293
196,water,0.0006841671610733578
149,expen_prom_veg_pro,0.0006816645721357088
114,n_jobs_DOMESTIC SERVICES,0.0006691461136099032
47,n_companies_MACHINERY,0.0006223152892338806
18,ironore,0.0005861005884720115
106,n_jobs_PERSONAL SERVICES,0.0005690714559349721
167,overall_winner_health_job,0.0005642209857895158
33,n_companies_EQUIPMENT RENTAL,0.0005604140436721539
107,n_jobs_TRANSPORTATION,0.0005322063883264298
54,n_companies_PERSONAL SERVICES,0.0005220132306140807
37,n_companies_FINANCIAL ASSISTANCE,0.0004634363523404954
94,n_jobs_EDITING AND PRINTING,0.0004033528526985721
48,n_companies_BASIC METALLURGY,0.0003891469083470852
125,n_jobs_LEATHERS AND FOOTWEAR,0.0002940875413053539
139,murder_threats,0.00027595526411744193
73,n_companies_LEATHERS AND FOOTWEAR,0.0002701338970028647
153,illegal_mining,0.0002537589280972208
19,silver,0.0002491126672573286
95,n_jobs_EDUCATION,0.00023200390082040616
103,n_jobs_NON-METALLIC MINERAL PRODUCTS,0.0002093043983252205
