,Feature,Coeff
0,expen_agr_org,0.11641501204111546
1,n_companies_EDUCATION,0.07510624614308571
2,soy_price,0.045150998734288336
3,n_jobs_EQUIPMENT RENTAL,0.044159274052197044
4,expen_env_man,0.04015321757557249
5,pib_pc,0.028343449506460637
6,silver,0.023393764521786566
7,n_companies_RETAIL,0.023167038680895955
8,overall_winner_feminino,0.021544610280972435
9,forest_lag,0.020791655806442374
10,n_jobs_MINING,0.02029455156849464
11,n_companies_WATER-BASED TRANSPORTATION,0.01771802769595317
12,illegal_industry,0.017564207248435475
13,n_jobs_INSURANCE AND SOCIAL SECURITY,0.016293500275083753
14,n_companies_MACHINERY,0.015640852145511492
15,gold,0.015397233559514674
16,n_jobs_HEALTH,0.014571139428037392
17,overall_winner_partido_PMDB_MDB,0.013696750004357484
18,n_companies_TRADE REP VEHICLES,0.013084347471734346
19,rain1,0.012283333257704499
20,n_jobs_TOTAL INDUSTRIAL,0.012062717769173038
21,n_companies_RUBBER AND PLASTIC,0.012055863146687372
22,n_jobs_RUBBER AND PLASTIC,0.011662392095200135
23,n_jobs_DOMESTIC SERVICES,0.011570384318298222
24,overall_winner_partido_PL,0.01128187811623569
25,n_companies_BASIC METALLURGY,0.011242264788664443
26,near_roads,0.010728175010170008
27,n_companies_SERVICES FOR COMPANIES,0.010536970885770476
28,n_jobs_GROUND TRANSPORT,0.010500236545771056
29,overall_winner_partido_PSDB,0.009611023892417752
30,incumbant,0.009465832125048389
31,expen_agri,0.008894084408235742
32,n_jobs_TOTAL SERVICE,0.00871773371588538
33,n_jobs_PERSONAL SERVICES,0.007697537658453551
34,runnerup_partido_PMDB_MDB,0.0072680933436435335
35,overall_winner_partido_PT,0.007214572826818187
36,overall_winner_public_service_job,0.006885006404871113
37,n_jobs_COMPUTING,0.006702060572113769
38,n_companies_PAPER,0.006345234640842547
39,n_companies_AERO TRANSPORT,0.00618018954479332
40,n_jobs_FORESTRY,0.005976090857424689
41,n_companies_INTERNATIONAL BODIES,0.005851121339244414
42,n_companies_COMPUTING,0.005626571645626356
43,n_companies_CHEMICALS,0.005396669250729367
44,n_jobs_WATER TREATMENT AND DISTRIBUTION,0.005309799987115036
45,n_companies_GROUND TRANSPORT,0.00529886111209958
46,n_jobs_PUBLIC ADMIN,0.005252196936810734
47,n_jobs_AGRICULTURE,0.005190218492683052
48,n_companies_WHOLESALE,0.005174959809734162
49,n_companies_INSURANCE AND SOCIAL SECURITY,0.005095288594750505
50,n_companies_RESEARCH AND DEVELOPMENT,0.004966101775245042
51,n_companies_PUBLIC ADMIN,0.004919781955569313
52,n_companies_MINING,0.004541677914917401
53,n_companies_PERSONAL SERVICES,0.004454072255164794
54,other_crop,0.004441017849083975
55,ironore,0.004194640133853697
56,n_jobs_PAPER,0.004097192026420779
57,overall_winner_health_job,0.004059125769365814
58,n_companies_TOTAL SERVICE,0.003968560121799533
59,n_companies_FINANCES,0.003932706546172714
60,n_jobs_FINANCIAL ASSISTANCE,0.0036451908899092825
61,n_jobs_LEATHERS AND FOOTWEAR,0.003631854129923244
62,emiss_agr_full,0.0035687592621544873
63,n_companies_NON-METALLIC MINERAL PRODUCTS,0.003534519722442892
64,copper,0.0033058965603009406
65,elevation,0.003148005838651466
66,overall_winner_agriculture_job,0.003098272783770931
67,f_emitted_count,0.0030955151162022788
68,forest_formation,0.0030636144732102168
69,aspect,0.003030674819523999
70,n_companies_FISHING AND AQUACULTURE,0.0030233343493656683
71,savanna,0.0030072420871605104
72,assassination_attempt,0.0028297500628070064
73,n_jobs_AUTOMOBILES AND TRANSPORT,0.0027146666558520525
74,expen_prom_veg_pro,0.002600083412977685
75,n_jobs_ASSOCIATIVE ACTIVITIES,0.002452302799883911
76,n_companies_EQUIPMENT RENTAL,0.002441944302843514
77,n_companies_TRANSPORTATION,0.0024380142035281107
78,runnerup_partido_other,0.002414951085786478
79,n_companies_METALLIC PRODUCTS,0.0023330038256862513
80,n_jobs_CHEMICALS,0.002328152977652809
81,overall_winner_professional_job,0.0023198895371327193
82,n_companies_ASSOCIATIVE ACTIVITIES,0.0023018175002940526
83,winner_votes_proportion,0.0021382615371497676
84,emiss_pec_full,0.0021261271063335294
85,ag_jobs,0.0021003676807962507
86,slope,0.002012325083184954
87,n_companies_FOOD AND DRINKS,0.0019675721323663105
88,n_jobs_BASIC METALLURGY,0.0019510941718550207
89,n_companies_HEALTH,0.0018336669131346103
90,year,0.001739639208352393
91,near_hidrovia,0.0017105835196131911
92,overall_winner_partido_other,0.001703221969372545
93,n_jobs_TOTAL,0.0016931621502073208
94,n_companies_TEXTILES,0.0016258189479782818
95,n_companies_CLEANING AND SEWAGE,0.0016077088880962255
96,fed_election_year,0.0014818261363506275
97,n_jobs_FOOD AND DRINKS,0.001450134118155471
98,beef_price,0.0014317511035557254
99,n_jobs_WATER-BASED TRANSPORTATION,0.0014168085412464067
100,n_companies_WOOD PROD,0.0014132683729706707
101,audits,0.0014068469285041805
102,n_companies_ACCOMODATION AND FOOD,0.001384245429407618
103,n_jobs_TRANSPORTATION,0.001377382817258922
104,emiss_agropec_full,0.0013654309160841872
105,n_jobs_REAL ESTATE,0.0013285482550424096
106,mun_election_year,0.0013194415994377282
107,n_jobs_ELECTRICITY AND GAS,0.0012246860423410987
108,n_jobs_MAIL AND TELECOM,0.0011942441854729253
109,n_jobs_MACHINERY,0.0011818512849851442
110,n_jobs_CLEANING AND SEWAGE,0.0010970099107021755
111,n_companies_LEATHERS AND FOOTWEAR,0.0010753019902239413
112,n_jobs_RETAIL,0.0010294157132113525
113,n_companies_CONSTRUCTION,0.0009869026592962344
114,n_companies_DOMESTIC SERVICES,0.0008861535145171044
115,n_jobs_WOOD PROD,0.000796628641896688
116,water,0.0007945415139709397
117,n_jobs_FINANCES,0.000770298356719129
118,overall_winner_corporate_job,0.0006241679355456642
119,n_companies_MAIL AND TELECOM,0.0006131438641046561
120,n_jobs_CULTURE AND SPORT,0.0006100310540440442
121,public_jobs,0.0004103961184484162
122,n_jobs_WHOLESALE,0.00033047056966172385
123,n_jobs_CONSTRUCTION,0.0002734789736701342
124,n_companies_SMOKE,0.0002689102639255759
125,populacao,0.00024421127718548684
126,n_jobs_RECYCLING,0.00022755055555920566
127,n_companies_ELECTRICITY AND GAS,0.00021210587317981134
128,n_jobs_NON-METALLIC MINERAL PRODUCTS,6.935772504962442e-05
129,n_jobs_AERO TRANSPORT,2.368923856403233e-05
130,n_jobs_SMOKE,4.646633661294688e-06
182,n_jobs_TEXTILES,0.0
181,n_jobs_RESEARCH AND DEVELOPMENT,0.0
176,n_companies_TOTAL INDUSTRIAL,0.0
180,n_jobs_PETROLEUM REFINING,0.0
179,n_jobs_,0.0
178,n_companies_WATER TREATMENT AND DISTRIBUTION,0.0
177,n_jobs_FISHING AND AQUACULTURE,0.0
202,expen_prom_ani_pro,0.0
175,n_jobs_OIL AND GAS,0.0
174,n_companies_TOTAL,0.0
173,n_jobs_INTERNATIONAL BODIES,0.0
172,murder_threats,0.0
171,assassination,0.0
170,n_companies_EDITING AND PRINTING,0.0
169,n_companies_CULTURE AND SPORT,0.0
184,n_companies_OIL AND GAS,0.0
183,n_companies_CLOTHING,0.0
199,expen_agr_defense,0.0
185,expen_mining,0.0
186,n_companies_FORESTRY,0.0
201,n_companies_FINANCIAL ASSISTANCE,0.0
200,expen_other_agr,0.0
167,n_companies_PETROLEUM REFINING,0.0
198,expen_min_fuel,0.0
197,illegal_mining,0.0
196,illegal_other,0.0
195,n_companies_AUTOMOBILES AND TRANSPORT,0.0
194,n_companies_RECYCLING,0.0
193,n_jobs_METALLIC PRODUCTS,0.0
192,n_companies_AGRICULTURE,0.0
191,PIB,0.0
190,term_limited_seat,0.0
189,special,0.0
188,overall_winner_complete_college,0.0
187,n_companies_REAL ESTATE,0.0
168,n_jobs_CLOTHING,0.0
152,near_mines,0.0
166,construction_jobs,0.0
165,n_companies_,0.0
145,runnerup_partido_PL,0.0
144,n_jobs_SERVICES FOR COMPANIES,0.0
143,overall_winner_law_job,0.0
142,overall_winner_technical_job,0.0
141,overall_winner_mining_job,0.0
140,new_forest_code,0.0
139,temer,0.0
138,overall_winner_partido_DEM,0.0
137,bolsonaro,0.0
136,n_jobs_ACCOMODATION AND FOOD,0.0
135,runnerup_partido_PT,0.0
134,lula,0.0
133,runnerup_partido_PSDB,0.0
132,runnerup_partido_DEM,0.0
131,dilma,0.0
146,vote_participation_proportion,0.0
147,n_jobs_TRADE REP VEHICLES,0.0
148,mining,0.0
158,mosaic_ag,0.0
164,indigenous_homol,0.0
163,n_jobs_EDUCATION,0.0
162,mangrove,0.0
161,silvicultura,0.0
160,pasture,0.0
159,sugarcane,0.0
157,mining_jobs,0.0
149,other_perennial,0.0
156,urban,0.0
155,n_jobs_EDITING AND PRINTING,0.0
154,soybean,0.0
153,rice,0.0
151,coffee,0.0
150,citrus,0.0
203,expen_petrol,0.0
